n,paper2_signed,current,orig_nosigns,nosigns_anchor,ceiling,anchor_flipped_signed,anchor_flipped_raw,cell,subset
500,0.7623222365869424,0.7623222365869424,0.23767776341305752,0.7623222365869424,0.7623222365869424,False,True,ars_gsm8k_r1distill8b,GOOD_6
621,0.7331949276175513,0.7331949276175513,0.26680507238244866,0.7331949276175513,0.7331949276175513,False,True,epr_triviaqa_mistral24b,GOOD_6
4504,0.6673670403915383,0.6673670403915383,0.33263295960846173,0.6673670403915383,0.6673670403915383,False,True,inside_coqa_llama7b,GOOD_6
500,0.703590217956871,0.703590217956871,0.29640978204312884,0.703590217956871,0.703590217956871,False,True,internalstates_gsm8k_qwen25_7b,GOOD_6
1319,0.7025209223522402,0.7025209223522402,0.2974790776477597,0.7025209223522402,0.7025209223522402,False,True,lapeigvals_gsm8k_llama3b,GOOD_6
500,0.8186404035551285,0.8186404035551285,0.18135959644487148,0.8186404035551285,0.8186404035551285,False,True,lapeigvals_gsm8k_llama8b,GOOD_6
1319,0.808749715672151,0.808749715672151,0.19125028432784896,0.808749715672151,0.808749715672151,False,True,lapeigvals_gsm8k_mistral24b,GOOD_6
1319,0.8013325208206379,0.8013325208206379,0.19866747917936217,0.8013325208206379,0.8013325208206379,False,True,lapeigvals_gsm8k_nemo,GOOD_6
1319,0.812493881220018,0.812493881220018,0.18750611877998202,0.812493881220018,0.812493881220018,False,True,lapeigvals_gsm8k_phi35,GOOD_6
500,0.5809721303562809,0.5809721303562809,0.4190278696437191,0.5809721303562809,0.5809721303562809,False,True,losnet_hotpotqa_mistral7b,GOOD_6
300,0.7868023969388491,0.7868023969388491,0.21319760306115082,0.7868023969388491,0.7868023969388491,False,True,math500_dsmath7b,GOOD_6
300,0.10991379310344829,0.8900862068965518,0.8900862068965518,0.8900862068965518,0.8900862068965518,True,False,math500_qwenmath7b,GOOD_6
300,0.8357422299500108,0.8357422299500108,0.16425777004998912,0.8357422299500108,0.8357422299500108,False,True,math500_r1distill8b,GOOD_6
300,0.8328896361683247,0.8328896361683247,0.16711036383167535,0.8328896361683247,0.8328896361683247,False,True,math500_r1distill8b_mn4096,GOOD_6
1319,0.7902344702003504,0.7902344702003504,0.20976552979964963,0.7902344702003504,0.7902344702003504,False,True,noise_gsm8k_mistral7b,GOOD_6
1319,0.6800590256856576,0.6800590256856576,0.31994097431434243,0.6800590256856576,0.6800590256856576,False,True,noise_gsm8k_phi3mini,GOOD_6
198,0.7477498006152443,0.7477498006152443,0.25225019938475557,0.7477498006152443,0.7477498006152443,False,True,sciq_llama8b,GOOD_6
8460,0.7303111911630826,0.7303111911630826,0.26968880883691726,0.7303111911630826,0.7303111911630826,False,True,se_nq_open_llama8b,GOOD_6
2933,0.8110489074602057,0.8110489074602057,0.1889510925397943,0.8110489074602057,0.8110489074602057,False,True,se_squad_v2_llama8b,GOOD_6
4993,0.5883956570917686,0.5883956570917686,0.41160434290823134,0.5883956570917686,0.5883956570917686,False,True,seiclr_triviaqa_opt30b,GOOD_6
4392,0.8159613899549709,0.8159613899549709,0.184038610045029,0.8159613899549709,0.8159613899549709,False,True,semenergy_triviaqa_qwen3_8b,GOOD_6
256,0.942,0.942,0.057999999999999996,0.942,0.942,False,True,spilled_triviaqa_llama8b,GOOD_6
5000,0.8092908020421608,0.8092908020421608,0.19070919795783925,0.8092908020421608,0.8092908020421608,False,True,trace_gsm8k_llama8b_k10,GOOD_6
3000,0.6759889194811037,0.6759889194811037,0.3240110805188963,0.6759889194811037,0.6759889194811037,False,True,trace_math500_qwenmath15b_k10,GOOD_6
7633,0.6571993052949163,0.6571993052949163,0.3428006947050837,0.6571993052949163,0.6571993052949163,False,True,truthfulqa_llama8b,GOOD_6
