cell,domain,k_eff,k_mp,auc_full_30,auc_mrmr_eff,auc_mrmr_mp,auc_good6
ars_gsm8k_r1distill8b,repgrid,3,14,0.6464730122818358,0.6442105688429218,0.6450589851325146,0.7010140594699419
epr_triviaqa_mistral24b,repgrid,3,13,0.6567725283357648,0.5995960049377175,0.600227247222534,0.6966670407361688
inside_coqa_llama7b,repgrid,3,14,0.5400423998704098,0.5224785366383005,0.5094098302904296,0.5379393128264326
internalstates_gsm8k_qwen25_7b,repgrid,3,13,0.7078106029947389,0.7060376558555433,0.7096799059567169,0.6886550654256037
lapeigvals_gsm8k_llama3b,repgrid,3,14,0.6445434319174091,0.6425349791940124,0.6426583256532709,0.651962837806388
lapeigvals_gsm8k_llama8b,repgrid,3,14,0.7781848026263111,0.7670349907918969,0.7788654015533668,0.7673352550244215
lapeigvals_gsm8k_mistral24b,repgrid,3,14,0.798999165971643,0.7967472894078398,0.7966638865721434,0.8149670179695201
lapeigvals_gsm8k_nemo,repgrid,3,14,0.7009343895998376,0.6955352427381678,0.7003412553321146,0.7028844200690636
lapeigvals_gsm8k_phi35,repgrid,3,13,0.6496987335237943,0.623990957555692,0.634484108972134,0.7629873886382044
losnet_hotpotqa_mistral7b,repgrid,3,14,0.5654909812474302,0.5644541375426804,0.5643290012334865,0.5523695453976654
math500_dsmath7b,repgrid,3,14,0.7211031694462494,0.7169157461555121,0.720309002960075,0.7560464948379177
math500_qwenmath7b,repgrid,3,13,0.9248225152129818,0.9260902636916836,0.9248225152129818,0.9276115618661258
math500_r1distill8b,repgrid,3,13,0.8614975005433603,0.8542164746794175,0.8618778526407302,0.8411758313410128
math500_r1distill8b_mn4096,repgrid,3,13,0.8362990985941806,0.8254635467750222,0.8362990985941806,0.8052870020083136
noise_gsm8k_mistral7b,repgrid,3,14,0.7704891271859436,0.7681393669902377,0.7689785670601327,0.736438296952669
noise_gsm8k_phi3mini,repgrid,3,13,0.55318448595211,0.5524229541853563,0.5513852625471424,0.577645555778715
sciq_llama8b,repgrid,3,12,0.7037712202347044,0.7053662982795944,0.7175572519083969,0.7289506665147544
se_nq_open_llama8b,repgrid,3,15,0.6631679045044616,0.6218901370594792,0.6237368390876127,0.7031548152612744
se_squad_v2_llama8b,repgrid,3,14,0.790909353248762,0.7085394711022359,0.76537924347535,0.8009563330370644
seiclr_triviaqa_opt30b,repgrid,3,14,0.6021879353124315,0.6047715483584438,0.6044216051395532,0.6269858471351262
semenergy_triviaqa_qwen3_8b,repgrid,3,14,0.5975190834935573,0.613744521002857,0.5999951787318901,0.7736709717265875
spilled_triviaqa_llama8b,repgrid,3,13,0.9226666666666667,0.91,0.9106666666666666,0.9226666666666667
trace_gsm8k_llama8b_k10,repgrid,3,15,0.7670289855072464,0.7674610918972331,0.764581480566535,0.7534967885375494
trace_math500_qwenmath15b_k10,repgrid,3,15,0.6659113390184361,0.6681260657655267,0.6651853370554003,0.6815628397157499
truthfulqa_llama8b,repgrid,3,14,0.6765591013756436,0.676441723170023,0.6763355755951872,0.6696368666105377
