file,cell,variant,auroc_now,auroc_csv,delta,K_now,K_csv,p_pool_csv,p_pool_now,stale
a1_residual__c46.csv,math500_dsmath7b,a1.good5+K_kn,0.7512092989675836,0.7683199768969748,-0.01711067792939125,2,4,30,30,True
a1_residual__c46.csv,math500_dsmath7b,a1.minres+K_ah,0.7713522489350949,0.7713522489350949,0.0,2,2,30,30,False
a1_residual__c46.csv,math500_qwenmath7b,a1.relres_greedy,0.9044117647058824,0.9044117647058824,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_qwenmath7b,a1.upcrres_greedy,0.9281186612576064,0.9281186612576064,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_qwenmath7b,a1.good5+K_ah,0.9108772819472617,0.9088488843813387,0.0020283975659229903,2,3,28,28,True
a1_residual__c46.csv,math500_qwenmath7b,a1.good5+K_kn,0.9108772819472617,0.9082150101419877,0.002662271805274008,2,4,28,28,True
a1_residual__c46.csv,math500_qwenmath7b,a1.minres+K_ah,0.9044117647058824,0.9044117647058824,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_r1distill8b,a1.relres_greedy,0.7564116496413822,0.7564116496413822,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_r1distill8b,a1.upcrres_greedy,0.8181373614431645,0.8181373614431645,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_r1distill8b,a1.good5+K_ah,0.8357965659639208,0.8357965659639208,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_r1distill8b,a1.good5+K_kn,0.8357965659639208,0.8329167572266898,0.0028798087372310377,2,3,28,28,True
a1_residual__c46.csv,math500_r1distill8b,a1.minres+K_ah,0.7564116496413822,0.7564116496413822,0.0,2,2,28,28,False
a1_residual__c46.csv,math500_r1distill8b_mn4096,a1.relres_greedy,0.6810517958058941,0.6810517958058941,0.0,2,2,29,29,False
a1_residual__c46.csv,math500_r1distill8b_mn4096,a1.upcrres_greedy,0.8505908178039325,0.8505908178039325,0.0,2,2,29,29,False
a1_residual__c46.csv,math500_r1distill8b_mn4096,a1.good5+K_ah,0.8361589836999673,0.8361589836999673,0.0,2,2,29,29,False
a1_residual__c46.csv,math500_r1distill8b_mn4096,a1.good5+K_kn,0.8361589836999673,0.8263042361403017,0.009854747559665644,2,3,29,29,True
a1_residual__c46.csv,math500_r1distill8b_mn4096,a1.minres+K_ah,0.6810517958058941,0.6810517958058941,0.0,2,2,29,29,False
a1_residual__c46.csv,trace_gsm8k_llama8b_k10,a1.relres_greedy,0.7951665431488801,0.7951665431488801,0.0,2,2,29,29,False
