cell,group,n,greedy_halfA,greedy_halfB,good5_halfB,optimism_gap,honest_gain,insample_gain,fulloracle_halfB,pos_rate,K_good6,p_pool,n_anti_oriented
spilled_triviaqa_llama8b,QA,256.0,0.9967888888888888,0.8474333333333334,0.9336777777777778,0.14935555555555546,-0.08624444444444446,0.063111111111111,0.9691555555555555,0.32,2.0,28.0,13
inside_coqa_llama7b,QA,4504.0,0.71441,0.63252,0.6855800000000001,0.08189000000000002,-0.05306000000000011,0.02882999999999991,0.6834100000000001,0.1324,2.0,27.0,12
sciq_llama8b,QA,198.0,0.7842800000000001,0.73333,0.7474000000000001,0.05095000000000005,-0.014070000000000027,0.036880000000000024,0.77237,0.877,2.0,30.0,14
ars_gsm8k_r1distill8b,math,500.0,0.79588,0.7427699999999999,0.7456699999999999,0.0531100000000001,-0.0029000000000000137,0.05021000000000009,0.6509400000000001,0.728,2.0,30.0,12
lapeigvals_gsm8k_llama8b,math,500.0,0.8382400000000001,0.8149000000000001,0.8177099999999999,0.023340000000000027,-0.002809999999999868,0.02053000000000016,0.83618,0.724,3.0,29.0,15
lapeigvals_gsm8k_phi35,math,1319.0,0.83077,0.79957,0.8015100000000001,0.031200000000000006,-0.0019400000000000528,0.029259999999999953,0.79784,0.8476,2.0,29.0,12
losnet_hotpotqa_mistral7b,QA,500.0,0.63733,0.56831,0.56531,0.06901999999999997,0.0030000000000000027,0.07201999999999997,0.60347,0.338,2.0,29.0,11
math500_r1distill8b_mn4096,math,300.0,0.88049,0.8460599999999999,0.8356899999999999,0.03443000000000007,0.01036999999999999,0.04480000000000006,,0.39,2.0,29.0,12
semenergy_triviaqa_qwen3_8b,QA,4392.0,0.81857,0.82006,0.80268,-0.0014899999999999913,0.017380000000000062,0.01589000000000007,0.8111,0.4926,3.0,27.0,11
trace_gsm8k_llama8b_k10,math,5000.0,0.8271499999999999,0.8192600000000001,0.80169,0.007889999999999842,0.017570000000000086,0.025459999999999927,,0.736,2.0,29.0,15
lapeigvals_gsm8k_llama3b,math,1319.0,0.7288,0.70775,0.68974,0.021050000000000013,0.01800999999999997,0.039059999999999984,0.65108,0.445,4.0,30.0,16
math500_r1distill8b,math,300.0,0.89793,0.8430799999999999,0.82391,0.054850000000000065,0.01916999999999991,0.07401999999999997,,0.2867,3.0,28.0,12
noise_gsm8k_phi3mini,math,1319.0,0.69494,0.6868000000000001,0.66661,0.008139999999999925,0.02019000000000004,0.028329999999999966,0.6758599999999999,0.7096,2.0,29.0,11
lapeigvals_gsm8k_nemo,math,1319.0,0.8293900000000001,0.80916,0.7843199999999999,0.02023000000000008,0.024840000000000084,0.045070000000000165,0.80708,0.8294,2.0,29.0,13
noise_gsm8k_mistral7b,math,1319.0,0.82277,0.8082900000000001,0.78209,0.014479999999999937,0.026200000000000112,0.04068000000000005,0.8147800000000001,0.4989,2.0,29.0,13
se_squad_v2_llama8b,QA,2933.0,0.83019,0.83015,0.80137,3.999999999992898e-05,0.028780000000000028,0.028819999999999957,0.81966,0.6059,2.0,27.0,13
truthfulqa_llama8b,QA,7633.0,0.69538,0.69041,0.6590900000000001,0.00497000000000003,0.031319999999999903,0.03628999999999993,0.6865,0.1157,2.0,29.0,13
math500_qwenmath7b,math,300.0,0.9600799999999999,0.94368,0.90833,0.01639999999999997,0.03534999999999999,0.05174999999999996,,0.2267,2.0,28.0,16
epr_triviaqa_mistral24b,QA,621.0,0.77365,0.7313,0.6931,0.04235,0.0381999999999999,0.0805499999999999,0.70614,0.786,2.0,28.0,14
se_nq_open_llama8b,QA,8460.0,0.7572599999999999,0.75835,0.71867,-0.0010900000000000354,0.03967999999999994,0.0385899999999999,0.7089700000000001,0.5007,2.0,27.0,13
internalstates_gsm8k_qwen25_7b,math,500.0,0.77824,0.7358499999999999,0.69231,0.04239000000000015,0.04353999999999991,0.08593000000000006,0.72247,0.294,2.0,29.0,13
seiclr_triviaqa_opt30b,QA,4993.0,0.6603399999999999,0.6439,0.59361,0.0164399999999999,0.05029000000000006,0.06672999999999996,0.6343,0.4648,2.0,28.0,10
trace_math500_qwenmath15b_k10,math,3000.0,0.71354,0.71794,0.66543,-0.0044000000000000705,0.05251000000000006,0.048109999999999986,,0.1763,2.0,30.0,17
lapeigvals_gsm8k_mistral24b,math,1319.0,0.88255,0.8512000000000001,0.7936799999999999,0.03134999999999988,0.05752000000000013,0.08887,0.84203,0.9174,3.0,30.0,15
math500_dsmath7b,math,300.0,0.8267899999999999,0.79076,0.72938,0.036029999999999895,0.06137999999999999,0.09740999999999989,,0.19,3.0,30.0,13
