arm,n_cells,macro_all,macro_qa,macro_math,mean_size,delta_vs_ref.GOOD_5,p_vs_ref.GOOD_5,delta_vs_a6.pl_dufs,p_vs_a6.pl_dufs
ref.GOOD_6,25,0.7594,0.7274,0.7807,6.0,0.0075,0.00631,0.0067,0.41953
D1_D2,25,0.758,0.7244,0.7804,12.08,0.0061,0.05782,0.0053,0.77753
D2_alone,25,0.7573,0.7191,0.7828,15.0,0.0054,0.037,0.0046,0.20596
a6.pruned_dufs,25,0.7537,0.7141,0.7801,17.0,0.0018,0.27761,0.001,0.7751
a6.pl_dufs,25,0.7527,0.7124,0.7796,20.2,0.0008,0.20599,0.0,
ref.GOOD_5,25,0.7519,0.721,0.7725,5.0,0.0,,-0.0008,0.20599
D1_alone,25,0.7506,0.7116,0.7765,12.52,-0.0013,0.87174,-0.0022,0.14904
