cell,subset,n,K_residual,K_eigengap,auroc_residual,auroc_eigengap,delta
ars_gsm8k_r1distill8b,GOOD_6,500,2,2,0.7623222365869424,0.7623222365869424,0.0
ars_gsm8k_r1distill8b,LOCO_5,500,3,2,0.7668673238526179,0.7839972527472527,-0.017129928894634827
ars_gsm8k_r1distill8b,ALL_H16,500,4,2,0.36433419521654814,0.6578660310277957,-0.2935318358112476
epr_triviaqa_mistral24b,GOOD_6,621,2,2,0.7331949276175513,0.7331949276175513,0.0
epr_triviaqa_mistral24b,LOCO_5,621,2,2,0.7365896083492313,0.7365896083492313,0.0
epr_triviaqa_mistral24b,ALL_H16,621,4,2,0.6678122545168894,0.6466866793850299,0.02112557513185953
inside_coqa_llama7b,GOOD_6,4504,2,2,0.6673670403915383,0.6673670403915383,0.0
inside_coqa_llama7b,ALL_H16,4504,3,2,0.4960926380551418,0.47208780044381465,0.024004837611327157
internalstates_gsm8k_qwen25_7b,GOOD_6,500,2,2,0.703590217956871,0.703590217956871,0.0
internalstates_gsm8k_qwen25_7b,LOCO_5,500,3,2,0.7411497176774392,0.7333641671966237,0.0077855504808155285
internalstates_gsm8k_qwen25_7b,ALL_H16,500,5,2,0.6798288720587385,0.7033782351467499,-0.023549363088011366
lapeigvals_gsm8k_llama3b,GOOD_6,1319,4,2,0.7025209223522402,0.6971588423120247,0.005362080040215433
lapeigvals_gsm8k_llama3b,LOCO_5,1319,4,2,0.6475177106897162,0.616830042542892,0.03068766814682422
lapeigvals_gsm8k_llama3b,ALL_H16,1319,5,2,0.6483485538209475,0.6537013246944265,-0.0053527708734790735
lapeigvals_gsm8k_llama8b,GOOD_6,500,3,2,0.8186404035551285,0.8184602450156137,0.00018015853951480754
lapeigvals_gsm8k_llama8b,LOCO_5,500,3,2,0.8154976379213708,0.7983425414364642,0.01715509648490654
lapeigvals_gsm8k_llama8b,ALL_H16,500,5,2,0.7944991592601489,0.7930578909440308,0.0014412683161181272
lapeigvals_gsm8k_mistral24b,GOOD_6,1319,3,2,0.808749715672151,0.7795132307225718,0.0292364849495792
lapeigvals_gsm8k_mistral24b,LOCO_5,1319,2,2,0.8127833800894684,0.8127833800894684,0.0
lapeigvals_gsm8k_mistral24b,ALL_H16,1319,7,2,0.8079308514671317,0.8207597240124346,-0.01282887254530285
lapeigvals_gsm8k_nemo,GOOD_6,1319,2,2,0.8013325208206379,0.8013325208206379,0.0
lapeigvals_gsm8k_nemo,LOCO_5,1319,3,2,0.8073979280926264,0.8047978874669917,0.002600040625634792
lapeigvals_gsm8k_nemo,ALL_H16,1319,5,2,0.7389315458054032,0.7252528945764778,0.01367865122892542
lapeigvals_gsm8k_phi35,GOOD_6,1319,2,2,0.812493881220018,0.812493881220018,0.0
lapeigvals_gsm8k_phi35,LOCO_5,1319,3,2,0.8041723404444682,0.7702186740715029,0.03395366637296526
lapeigvals_gsm8k_phi35,ALL_H16,1319,6,2,0.7356998549292891,0.7391797719808828,-0.003479917051593673
losnet_hotpotqa_mistral7b,GOOD_6,500,2,2,0.5809721303562809,0.5809721303562809,0.0
losnet_hotpotqa_mistral7b,LOCO_5,500,2,2,0.5802391891167165,0.5802391891167165,0.0
losnet_hotpotqa_mistral7b,ALL_H16,500,6,2,0.5433597311357015,0.5274137900212732,0.015945941114428264
math500_dsmath7b,GOOD_6,300,3,2,0.7868023969388491,0.7854306548263663,0.00137174211248281
math500_dsmath7b,LOCO_5,300,2,2,0.8109883762905206,0.8109883762905206,0.0
math500_dsmath7b,ALL_H16,300,4,2,0.7097682477799436,0.7121507472384665,-0.0023824994585228687
math500_qwenmath7b,GOOD_6,300,2,2,0.8900862068965518,0.8900862068965518,0.0
math500_qwenmath7b,LOCO_5,300,2,2,0.9316683569979716,0.9316683569979716,0.0
math500_qwenmath7b,ALL_H16,300,6,2,0.8919878296146043,0.9021932048681544,-0.01020537525355003
math500_r1distill8b,GOOD_6,300,3,2,0.8357422299500108,0.8317213649206694,0.004020865029341403
math500_r1distill8b,LOCO_5,300,2,2,0.8453053683981744,0.8453053683981744,0.0
math500_r1distill8b,ALL_H16,300,4,2,0.8064007824386002,0.7866768093892631,0.01972397304933715
math500_r1distill8b_mn4096,GOOD_6,300,2,2,0.8328896361683247,0.8328896361683247,0.0
math500_r1distill8b_mn4096,LOCO_5,300,2,2,0.8509644575218346,0.8509644575218346,0.0
math500_r1distill8b_mn4096,ALL_H16,300,6,2,0.7583485124468731,0.7320536172995189,0.02629489514735417
noise_gsm8k_mistral7b,GOOD_6,1319,2,2,0.7902344702003504,0.7902344702003504,0.0
noise_gsm8k_mistral7b,LOCO_5,1319,2,2,0.8021373161232175,0.8021373161232175,0.0
noise_gsm8k_mistral7b,ALL_H16,1319,7,2,0.7200543525743899,0.7484055198671995,-0.02835116729280962
noise_gsm8k_phi3mini,GOOD_6,1319,2,2,0.6800590256856576,0.6800590256856576,0.0
noise_gsm8k_phi3mini,LOCO_5,1319,2,2,0.6674756198254892,0.6674756198254892,0.0
noise_gsm8k_phi3mini,ALL_H16,1319,6,2,0.5987982861351009,0.4800969627993127,0.1187013233357882
sciq_llama8b,GOOD_6,198,2,2,0.7477498006152443,0.7477498006152443,0.0
sciq_llama8b,LOCO_5,198,2,2,0.7472940640309901,0.7472940640309901,0.0
sciq_llama8b,ALL_H16,198,4,2,0.7215449470206221,0.7168736470320155,0.004671299988606603
se_nq_open_llama8b,GOOD_6,8460,2,2,0.7303111911630826,0.7303111911630826,0.0
se_nq_open_llama8b,LOCO_5,8460,2,2,0.7356237457889975,0.7356237457889975,0.0
se_nq_open_llama8b,ALL_H16,8460,4,2,0.6731042063177974,0.6433339533010484,0.02977025301674907
se_squad_v2_llama8b,GOOD_6,2933,2,2,0.8110489074602057,0.8110489074602057,0.0
se_squad_v2_llama8b,LOCO_5,2933,2,2,0.8319866563549687,0.8319866563549687,0.0
