cell,group,n,pos_rate,p_used,n_labelfree_sign_wrong,frac_labelfree_sign_wrong,regime_sign_disagree_frac,nonmono_gain_mean,nonmono_gain_p90,nonmono_gain_max,lsml_K,lsml_residual,anchor_name,anchor_auc
ars_gsm8k_r1distill8b,math,500,0.728,30,12,0.4,0.1111,-0.0109,0.0219,0.058,4,88.4549,epr,0.6906
epr_triviaqa_mistral24b,QA,621,0.7552,28,14,0.5,0.1786,-0.0088,0.0025,0.0318,8,125.5513,epr,0.7375
inside_coqa_llama7b,QA,4504,0.147,27,12,0.4444,0.2346,0.0393,0.1128,0.1351,6,99.564,epr,0.5728
internalstates_gsm8k_qwen25_7b,math,500,0.294,29,13,0.4483,0.1609,-0.0046,0.0256,0.0546,8,107.4811,epr,0.6311
lapeigvals_gsm8k_llama3b,math,1319,0.445,30,16,0.5333,0.1556,-0.0103,-0.0004,0.0756,6,160.7587,epr,0.7077
lapeigvals_gsm8k_llama8b,math,500,0.724,29,15,0.5172,0.1609,-0.0158,0.0138,0.0521,8,167.3364,epr,0.7844
lapeigvals_gsm8k_mistral24b,math,1319,0.9174,30,15,0.5,0.2,-0.0349,0.0035,0.0629,7,164.9683,epr,0.8473
lapeigvals_gsm8k_nemo,math,1319,0.8294,29,13,0.4483,0.1839,-0.0184,-0.0035,0.0193,8,105.0302,epr,0.7656
lapeigvals_gsm8k_phi35,math,1319,0.8476,29,12,0.4138,0.1379,-0.0105,0.0184,0.0818,7,94.0461,epr,0.7702
losnet_hotpotqa_mistral7b,QA,500,0.338,29,11,0.3793,0.3333,-0.0026,0.0251,0.043,8,96.2911,epr,0.5598
math500_dsmath7b,math,300,0.19,30,13,0.4333,0.1,-0.0152,0.0166,0.0702,4,101.587,epr,0.7706
math500_qwenmath7b,math,300,0.2267,28,16,0.5714,0.4048,-0.016,0.0229,0.0745,7,237.8495,epr,0.9306
math500_r1distill8b,math,300,0.2867,28,12,0.4286,0.1786,-0.0163,-0.0002,0.0856,6,170.4658,epr,0.8218
math500_r1distill8b_mn4096,math,300,0.39,29,12,0.4138,0.2299,-0.0013,0.039,0.1153,4,225.1217,epr,0.819
noise_gsm8k_mistral7b,math,1319,0.4989,29,13,0.4483,0.023,-0.0123,-0.0058,0.0131,4,121.4459,epr,0.7431
noise_gsm8k_phi3mini,math,1319,0.7096,29,11,0.3793,0.1379,-0.0047,0.0196,0.0301,5,81.1133,epr,0.6683
sciq_llama8b,QA,198,0.6616,30,14,0.4667,0.1556,-0.0077,0.041,0.1425,7,166.7052,epr,0.7389
se_nq_open_llama8b,QA,8460,0.4852,27,13,0.4815,0.1481,-0.0064,0.0006,0.0582,8,87.2074,epr,0.7416
se_squad_v2_llama8b,QA,2933,0.2796,27,13,0.4815,0.0864,0.0,0.038,0.0983,6,82.7413,epr,0.7464
seiclr_triviaqa_opt30b,QA,4993,0.4645,28,10,0.3571,0.2857,-0.0033,0.0048,0.0165,7,77.7427,epr,0.5737
semenergy_triviaqa_qwen3_8b,QA,4392,0.4768,27,11,0.4074,0.0494,0.005,0.0517,0.0936,7,74.7253,epr,0.7813
spilled_triviaqa_llama8b,QA,256,0.0234,28,13,0.4643,0.0476,-0.0149,0.0691,0.0833,8,148.3456,epr,0.872
trace_gsm8k_llama8b_k10,math,5000,0.736,29,15,0.5172,0.0345,-0.0203,-0.007,0.0076,8,166.3979,epr,0.7865
trace_math500_qwenmath15b_k10,math,3000,0.1763,30,17,0.5667,0.1,-0.0092,-0.0021,0.0128,7,183.1732,epr,0.6724
truthfulqa_llama8b,QA,7633,0.106,29,13,0.4483,0.1954,0.0004,0.0352,0.0715,6,79.739,epr,0.6057
