arm,n_cells,macro_all,macro_qa,macro_math,cells_below_0.5,delta_vs_good6,wins,losses,wilcoxon_p
good6,25,0.7594,0.7274,0.7807,0,0.0,0,0,
a7_anchored,25,0.7378,0.7013,0.7621,0,-0.0216,8,17,0.01051
a7_prior_free,25,0.6524,0.7013,0.6198,3,-0.107,6,19,0.00103
