cell,domain,oracle_auroc,oracle_size,oracle_feats,our_auroc,our_size,our_feats,gap_pp,good5_auroc,good6_auroc,feat_overlap_jaccard
epr_triviaqa_mistral24b,QA,0.7597,5,hl_ratio|epr_spilled|min_spilled|min_energy|topk_tail_mass,0.7445,20,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,1.5178,0.7073,0.7332,0.19
inside_coqa_llama7b,QA,0.7768,4,spectral_entropy|stft_spectral_entropy|mean_top1_logprob|topk_tail_mass,0.5263,22,epr|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,25.0464,0.6841,0.6674,0.182
losnet_hotpotqa_mistral7b,QA,0.622,5,spectral_entropy|stft_max_high_power|pe_mean|sw_var_peak_spilled|sw_var_peak_energy,0.5704,17,epr|spectral_entropy|low_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,5.1628,0.5754,0.581,0.1
sciq_llama8b,QA,0.7708,5,spectral_entropy|spectral_centroid|sw_var_peak_energy|logprob_margin|varentropy,0.7405,22,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,3.0306,0.7381,0.7477,0.125
se_nq_open_llama8b,QA,0.7596,5,spectral_entropy|epr_energy|varentropy|renyi_entropy_2|topk_tail_mass,0.7514,19,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.816,0.718,0.7303,0.263
se_squad_v2_llama8b,QA,0.8379,5,epr|trace_length|spectral_entropy|min_energy|logprob_margin,0.806,20,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|dominant_freq|spectral_centroid|rpdi|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,3.1862,0.7982,0.811,0.19
seiclr_triviaqa_opt30b,QA,0.6706,3,cusum_max|cusum_shift_idx|min_energy,0.5668,18,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,10.3785,0.5948,0.5884,0.05
semenergy_triviaqa_qwen3_8b,QA,0.8313,5,low_band_power|sw_var_peak|cusum_max_energy|varentropy|topk_tail_mass,0.789,20,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|rpdi|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,4.2297,0.8006,0.816,0.25
spilled_triviaqa_llama8b,QA,0.9927,5,spectral_entropy|cusum_shift_idx|epr_spilled|cusum_max_spilled|varentropy,0.9333,23,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,5.9333,0.934,0.942,0.167
truthfulqa_llama8b,QA,0.7029,5,trace_length|spectral_entropy|rpdi|epr_energy|min_energy,0.6628,18,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|stft_max_high_power|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,4.0114,0.6596,0.6572,0.095
ars_gsm8k_r1distill8b,math,0.7979,5,rpdi|cusum_max|cusum_max_spilled|epr_energy|sw_var_peak_energy,0.7095,19,epr|spectral_entropy|low_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,8.8377,0.75,0.7623,0.143
internalstates_gsm8k_qwen25_7b,math,0.7725,5,spectral_entropy|hurst_exponent|cusum_max_spilled|epr_energy|logprob_margin,0.7093,19,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,6.319,0.7039,0.7036,0.2
lapeigvals_gsm8k_llama3b,math,0.7251,5,cusum_max|sw_var_peak_energy|cusum_max_energy|logprob_margin|varentropy,0.709,18,epr|spectral_entropy|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,1.6165,0.6845,0.7025,0.211
