cell,group,n,pos_rate,auc_pl,auc_pl_abs,sign_wrong,auc_anchor4,cons_anchor4,nviews_anchor4,auc_good5,cons_good5,nviews_good5,auc_good6,cons_good6,nviews_good6,auc_loco5,cons_loco5,nviews_loco5,auc_hybrid_caq,cons_hybrid_caq,nviews_hybrid_caq,auc_best_seed,best_seed_name,fallback_name,auc_fallback,auc_fallback_abs,n_seeds,seeds,degraded,lsml_residual
noise_gsm8k_phi3mini,math,1319,0.7096,0.6801,0.6801,False,0.4798,0.5905,4,0.6643,0.6814,5,0.6801,0.6756,6,0.6675,0.6031,5,0.6819,0.691,5,0.6735,varentropy,logprob_margin,0.6516,0.6516,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,1.37215
sciq_llama8b,QA,198,0.6616,0.7477,0.7477,False,0.7472,0.7819,4,0.7381,0.8041,5,0.7477,0.8169,6,0.7473,0.8395,5,0.7541,0.8491,5,0.7438,varentropy,logprob_margin,0.7409,0.7409,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,5.11816
se_nq_open_llama8b,QA,8460,0.4852,0.7303,0.7303,False,0.6822,0.7506,4,0.718,0.7683,5,0.7303,0.7696,6,0.7356,0.7374,5,0.7439,0.7573,5,0.7465,varentropy,logprob_margin,0.7213,0.7213,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,3.13401
se_squad_v2_llama8b,QA,2933,0.2796,0.811,0.811,False,0.7959,0.7578,4,0.7982,0.7732,5,0.811,0.7665,6,0.832,0.7318,5,0.822,0.7504,5,0.7707,cusum_max,logprob_margin,0.7676,0.7676,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,3.17447
seiclr_triviaqa_opt30b,QA,4993,0.4645,0.5884,0.5884,False,0.575,0.649,4,0.5948,0.637,5,0.5884,0.6581,6,0.6342,0.6275,5,0.5901,0.6768,5,0.6248,cusum_max,logprob_margin,0.5448,0.5448,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,0.84026
semenergy_triviaqa_qwen3_8b,QA,4392,0.4768,0.816,0.816,False,0.762,0.6821,4,0.8006,0.6745,5,0.816,0.665,6,0.7941,0.5778,5,0.6915,0.6892,5,0.7967,varentropy,logprob_margin,0.6175,0.6175,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,2.81019
spilled_triviaqa_llama8b,QA,256,0.0234,0.942,0.942,False,0.918,0.807,4,0.934,0.8127,5,0.942,0.8175,6,0.9567,0.8342,5,0.954,0.8565,5,0.8987,varentropy,logprob_margin,0.9073,0.9073,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,4.70976
trace_gsm8k_llama8b_k10,math,5000,0.736,0.8093,0.8093,False,0.7933,0.729,4,0.7997,0.7505,5,0.8093,0.7719,6,0.8102,0.7637,5,0.8043,0.7818,5,0.8023,varentropy,logprob_margin,0.7861,0.7861,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,4.10249
trace_math500_qwenmath15b_k10,math,3000,0.1763,0.676,0.676,False,0.6575,0.8584,4,0.6649,0.8264,5,0.676,0.824,6,0.6852,0.7983,5,0.6727,0.839,5,0.6872,varentropy,logprob_margin,0.6927,0.6927,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,4.99945
truthfulqa_llama8b,QA,7633,0.106,0.6572,0.6572,False,0.6463,0.697,4,0.6596,0.7162,5,0.6572,0.7002,6,0.6764,0.6963,5,0.6431,0.6983,5,0.6747,spectral_entropy,logprob_margin,0.5466,0.5466,6,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max|varentropy,False,1.61786
