n,paper2_signed,current,distr_orient,orig_nosigns,nosigns_anchor,ceiling,anchor_flipped_signed,anchor_flipped_raw,distr_flipped,cell,subset
500,0.325933257918552,0.6740667420814479,0.6740667420814479,0.325933257918552,0.6740667420814479,0.6740667420814479,True,True,True,ars_gsm8k_r1distill8b,FULL_POOL
621,0.7281870721580068,0.7281870721580068,0.7281870721580068,0.27181292784199307,0.7281870721580068,0.7281870721580068,False,True,False,epr_triviaqa_mistral24b,FULL_POOL
4504,0.5168168328743684,0.5168168328743684,0.5168168328743684,0.4831831671256317,0.5168168328743684,0.5168168328743684,False,True,False,inside_coqa_llama7b,FULL_POOL
500,0.7137461216781331,0.7137461216781331,0.7137461216781331,0.286253878321867,0.7137461216781331,0.7137461216781331,False,True,False,internalstates_gsm8k_qwen25_7b,FULL_POOL
1319,0.32392642034611485,0.6760735796538853,0.6760735796538853,0.32392642034611485,0.6760735796538853,0.6760735796538853,True,True,True,lapeigvals_gsm8k_llama3b,FULL_POOL
500,0.17999839859075986,0.82000160140924,0.82000160140924,0.17999839859075986,0.82000160140924,0.82000160140924,True,True,True,lapeigvals_gsm8k_llama8b,FULL_POOL
1319,0.8451664265675942,0.8451664265675942,0.8451664265675942,0.15483357343240575,0.8451664265675942,0.8451664265675942,False,True,False,lapeigvals_gsm8k_mistral24b,FULL_POOL
1319,0.785151330489539,0.785151330489539,0.785151330489539,0.21484866951046108,0.785151330489539,0.785151330489539,False,True,False,lapeigvals_gsm8k_nemo,FULL_POOL
1319,0.21358769657971327,0.7864123034202868,0.7864123034202868,0.21358769657971327,0.7864123034202868,0.7864123034202868,True,True,True,lapeigvals_gsm8k_phi35,FULL_POOL
500,0.42812706698367864,0.5718729330163214,0.5718729330163214,0.42812706698367864,0.5718729330163214,0.5718729330163214,True,True,True,losnet_hotpotqa_mistral7b,FULL_POOL
300,0.21536351165980794,0.7846364883401921,0.7846364883401921,0.21536351165980794,0.7846364883401921,0.7846364883401921,True,True,True,math500_dsmath7b,FULL_POOL
300,0.9040314401622719,0.9040314401622719,0.0959685598377282,0.0959685598377282,0.9040314401622719,0.9040314401622719,False,True,True,math500_qwenmath7b,FULL_POOL
300,0.15991088893718758,0.8400891110628125,0.15991088893718758,0.15991088893718758,0.8400891110628125,0.8400891110628125,True,True,False,math500_r1distill8b,FULL_POOL
300,0.8166830134043249,0.8166830134043249,0.18331698659567514,0.18331698659567514,0.8166830134043249,0.8166830134043249,False,True,True,math500_r1distill8b_mn4096,FULL_POOL
1319,0.7818079818272949,0.7818079818272949,0.7818079818272949,0.21819201817270506,0.7818079818272949,0.7818079818272949,False,True,False,noise_gsm8k_mistral7b,FULL_POOL
1319,0.3735550422887237,0.6264449577112763,0.6264449577112763,0.6264449577112763,0.6264449577112763,0.6264449577112763,True,False,True,noise_gsm8k_phi3mini,FULL_POOL
198,0.7403440811211118,0.7403440811211118,0.259655918878888,0.259655918878888,0.7403440811211118,0.7403440811211118,False,True,True,sciq_llama8b,FULL_POOL
8460,0.7304529353606743,0.7304529353606743,0.7304529353606743,0.26954706463932565,0.7304529353606743,0.7304529353606743,False,True,False,se_nq_open_llama8b,FULL_POOL
2933,0.18902496739117888,0.8109750326088212,0.8109750326088212,0.18902496739117888,0.8109750326088212,0.8109750326088212,True,True,True,se_squad_v2_llama8b,FULL_POOL
4993,0.4320548956088738,0.5679451043911261,0.5679451043911261,0.4320548956088738,0.5679451043911261,0.5679451043911261,True,True,True,seiclr_triviaqa_opt30b,FULL_POOL
4392,0.7682958812239039,0.7682958812239039,0.7682958812239039,0.23170411877609612,0.7682958812239039,0.7682958812239039,False,True,False,semenergy_triviaqa_qwen3_8b,FULL_POOL
256,0.9400000000000001,0.9400000000000001,0.9400000000000001,0.05999999999999999,0.9400000000000001,0.9400000000000001,False,True,False,spilled_triviaqa_llama8b,FULL_POOL
5000,0.8062656455862978,0.8062656455862978,0.8062656455862978,0.19373435441370224,0.8062656455862978,0.8062656455862978,False,True,False,trace_gsm8k_llama8b_k10,FULL_POOL
3000,0.3106592235527583,0.6893407764472417,0.3106592235527583,0.6893407764472417,0.6893407764472417,0.6893407764472417,True,False,False,trace_math500_qwenmath15b_k10,FULL_POOL
7633,0.666653322745143,0.666653322745143,0.33334667725485706,0.33334667725485706,0.666653322745143,0.666653322745143,False,True,True,truthfulqa_llama8b,FULL_POOL
