held_out,consensus_subset,consensus_auroc_held,good5_auroc,delta_consensus_vs_good5,n_pruned,pruned_views,ceiling_full,ceiling_pruned,delta_prune_ceiling
ars_gsm8k_r1distill8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.7669,0.7500,+0.0168,0,,0.7979,0.7979,+0.0000
epr_triviaqa_mistral24b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.7366,0.7073,+0.0293,0,,0.7597,0.7597,+0.0000
inside_coqa_llama7b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,,0.6841,,0,,0.7768,0.7768,+0.0000
internalstates_gsm8k_qwen25_7b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.7411,0.7039,+0.0373,0,,0.7725,0.7725,+0.0000
lapeigvals_gsm8k_llama3b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.6475,0.6845,-0.0370,0,,0.7251,0.7251,+0.0000
lapeigvals_gsm8k_llama8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8155,0.8152,+0.0003,0,,0.8378,0.8378,+0.0000
lapeigvals_gsm8k_mistral24b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8128,0.8006,+0.0122,0,,0.8717,0.8717,+0.0000
lapeigvals_gsm8k_nemo,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8074,0.7820,+0.0254,0,,0.8239,0.8239,+0.0000
lapeigvals_gsm8k_phi35,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8042,0.8032,+0.0010,0,,0.8284,0.8284,+0.0000
losnet_hotpotqa_mistral7b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.5802,0.5754,+0.0048,0,,0.6220,0.6220,+0.0000
math500_dsmath7b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8110,0.7512,+0.0598,0,,0.8244,0.8244,+0.0000
math500_qwenmath7b,cusum_max|mean_logprob_entropy|rpdi|trace_length|varentropy,,0.9109,,0,,0.9575,0.9575,+0.0000
math500_r1distill8b,cusum_max|mean_logprob_entropy|rpdi|trace_length|varentropy,,0.8358,,0,,0.8806,0.8806,+0.0000
math500_r1distill8b_mn4096,cusum_max|mean_logprob_entropy|rpdi|trace_length|varentropy,,0.8362,,0,,0.8759,0.8759,+0.0000
noise_gsm8k_mistral7b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8021,0.7851,+0.0171,0,,0.8216,0.8216,+0.0000
noise_gsm8k_phi3mini,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.6675,0.6643,+0.0032,0,,0.6976,0.6976,+0.0000
sciq_llama8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.7473,0.7381,+0.0092,0,,0.7708,0.7708,+0.0000
se_nq_open_llama8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.7356,0.7180,+0.0176,0,,0.7596,0.7596,+0.0000
se_squad_v2_llama8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8320,0.7982,+0.0338,0,,0.8379,0.8379,+0.0000
seiclr_triviaqa_opt30b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.6342,0.5948,+0.0394,0,,0.6706,0.6706,+0.0000
semenergy_triviaqa_qwen3_8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.7941,0.8006,-0.0065,0,,0.8313,0.8313,+0.0000
spilled_triviaqa_llama8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.9567,0.9340,+0.0227,0,,0.9927,0.9927,+0.0000
trace_gsm8k_llama8b_k10,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.8102,0.7997,+0.0105,0,,0.8261,0.8261,+0.0000
trace_math500_qwenmath15b_k10,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.6852,0.6649,+0.0203,0,,0.7292,0.7292,+0.0000
truthfulqa_llama8b,cusum_max|logprob_margin|min_energy|spectral_entropy|topk_tail_mass,0.6764,0.6596,+0.0168,0,,0.7029,0.7029,+0.0000
