cell,C,lambda1,readout,n_selected,auroc
ars_gsm8k_r1distill8b,2,0.0,per_feature,4,0.6825509049773756
ars_gsm8k_r1distill8b,2,0.0,group_median,15,0.6862071751777634
ars_gsm8k_r1distill8b,2,0.01,per_feature,4,0.6825509049773756
ars_gsm8k_r1distill8b,2,0.01,group_median,15,0.6862071751777634
ars_gsm8k_r1distill8b,2,0.1,per_feature,4,0.6825509049773756
ars_gsm8k_r1distill8b,2,0.1,group_median,15,0.6862071751777634
ars_gsm8k_r1distill8b,2,1.0,per_feature,4,0.6825509049773756
ars_gsm8k_r1distill8b,2,1.0,group_median,15,0.6862071751777634
ars_gsm8k_r1distill8b,3,0.0,per_feature,6,0.682389301874596
ars_gsm8k_r1distill8b,3,0.0,group_median,3,0.6819650937297996
ars_gsm8k_r1distill8b,3,0.01,per_feature,6,0.682389301874596
ars_gsm8k_r1distill8b,3,0.01,group_median,3,0.6819650937297996
ars_gsm8k_r1distill8b,3,0.1,per_feature,6,0.682389301874596
ars_gsm8k_r1distill8b,3,0.1,group_median,3,0.6819650937297996
ars_gsm8k_r1distill8b,3,1.0,per_feature,6,0.682389301874596
ars_gsm8k_r1distill8b,3,1.0,group_median,3,0.6819650937297996
ars_gsm8k_r1distill8b,4,0.0,per_feature,8,0.6821468972204267
ars_gsm8k_r1distill8b,4,0.0,group_median,4,0.6819650937297996
ars_gsm8k_r1distill8b,4,0.01,per_feature,8,0.6821468972204267
ars_gsm8k_r1distill8b,4,0.01,group_median,4,0.6819650937297996
ars_gsm8k_r1distill8b,4,0.1,per_feature,8,0.6821468972204267
ars_gsm8k_r1distill8b,4,0.1,group_median,4,0.6819650937297996
ars_gsm8k_r1distill8b,4,1.0,per_feature,8,0.6821468972204267
ars_gsm8k_r1distill8b,4,1.0,group_median,4,0.6819650937297996
ars_gsm8k_r1distill8b,5,0.0,per_feature,10,0.6825307045895281
ars_gsm8k_r1distill8b,5,0.0,group_median,5,0.6823691014867486
ars_gsm8k_r1distill8b,5,0.01,per_feature,10,0.6825307045895281
ars_gsm8k_r1distill8b,5,0.01,group_median,5,0.6823691014867486
ars_gsm8k_r1distill8b,5,0.1,per_feature,10,0.6825307045895281
ars_gsm8k_r1distill8b,5,0.1,group_median,5,0.6823691014867486
ars_gsm8k_r1distill8b,5,1.0,per_feature,10,0.6825307045895281
ars_gsm8k_r1distill8b,5,1.0,group_median,5,0.6823691014867486
ars_gsm8k_r1distill8b,6,0.0,per_feature,11,0.684469941822883
ars_gsm8k_r1distill8b,6,0.0,group_median,6,0.6830155138978669
ars_gsm8k_r1distill8b,6,0.01,per_feature,11,0.684469941822883
ars_gsm8k_r1distill8b,6,0.01,group_median,6,0.6830155138978669
ars_gsm8k_r1distill8b,6,0.1,per_feature,11,0.684469941822883
ars_gsm8k_r1distill8b,6,0.1,group_median,6,0.6830155138978669
ars_gsm8k_r1distill8b,6,1.0,per_feature,11,0.684469941822883
ars_gsm8k_r1distill8b,6,1.0,group_median,6,0.6830155138978669
ars_gsm8k_r1distill8b,7,0.0,per_feature,12,0.6842073367808662
ars_gsm8k_r1distill8b,7,0.0,group_median,7,0.6830155138978669
ars_gsm8k_r1distill8b,7,0.01,per_feature,12,0.6842073367808662
ars_gsm8k_r1distill8b,7,0.01,group_median,7,0.6830155138978669
ars_gsm8k_r1distill8b,7,0.1,per_feature,12,0.6842073367808662
ars_gsm8k_r1distill8b,7,0.1,group_median,7,0.6830155138978669
ars_gsm8k_r1distill8b,7,1.0,per_feature,12,0.6842073367808662
ars_gsm8k_r1distill8b,7,1.0,group_median,7,0.6830155138978669
ars_gsm8k_r1distill8b,8,0.0,per_feature,14,0.6843285391079509
ars_gsm8k_r1distill8b,8,0.0,group_median,8,0.6831771170006464
ars_gsm8k_r1distill8b,8,0.01,per_feature,14,0.6843285391079509
ars_gsm8k_r1distill8b,8,0.01,group_median,8,0.6831771170006464
ars_gsm8k_r1distill8b,8,0.1,per_feature,14,0.6843285391079509
ars_gsm8k_r1distill8b,8,0.1,group_median,8,0.6831771170006464
ars_gsm8k_r1distill8b,8,1.0,per_feature,14,0.6843285391079509
ars_gsm8k_r1distill8b,8,1.0,group_median,8,0.6831771170006464
epr_triviaqa_mistral24b,2,0.0,per_feature,4,0.6100465716530131
epr_triviaqa_mistral24b,2,0.0,group_median,15,0.603411513859275
epr_triviaqa_mistral24b,2,0.01,per_feature,4,0.6100465716530131
epr_triviaqa_mistral24b,2,0.01,group_median,15,0.603411513859275
epr_triviaqa_mistral24b,2,0.1,per_feature,4,0.6100465716530131
epr_triviaqa_mistral24b,2,0.1,group_median,15,0.603411513859275
epr_triviaqa_mistral24b,2,1.0,per_feature,4,0.6100465716530131
epr_triviaqa_mistral24b,2,1.0,group_median,15,0.603411513859275
epr_triviaqa_mistral24b,3,0.0,per_feature,6,0.6100886544720008
epr_triviaqa_mistral24b,3,0.0,group_median,3,0.6096678262821231
epr_triviaqa_mistral24b,3,0.01,per_feature,6,0.6100886544720008
epr_triviaqa_mistral24b,3,0.01,group_median,3,0.6096678262821231
epr_triviaqa_mistral24b,3,0.1,per_feature,6,0.6100886544720008
epr_triviaqa_mistral24b,3,0.1,group_median,3,0.6096678262821231
epr_triviaqa_mistral24b,3,1.0,per_feature,6,0.6100886544720008
epr_triviaqa_mistral24b,3,1.0,group_median,3,0.6096678262821231
epr_triviaqa_mistral24b,4,0.0,per_feature,6,0.6040006733251038
epr_triviaqa_mistral24b,4,0.0,group_median,4,0.6193889574682976
epr_triviaqa_mistral24b,4,0.01,per_feature,6,0.6040006733251038
epr_triviaqa_mistral24b,4,0.01,group_median,4,0.6193889574682976
epr_triviaqa_mistral24b,4,0.1,per_feature,6,0.6040006733251038
epr_triviaqa_mistral24b,4,0.1,group_median,4,0.6193889574682976
epr_triviaqa_mistral24b,4,1.0,per_feature,6,0.6040006733251038
epr_triviaqa_mistral24b,4,1.0,group_median,4,0.6193889574682976
epr_triviaqa_mistral24b,5,0.0,per_feature,8,0.60143362136685
epr_triviaqa_mistral24b,5,0.0,group_median,5,0.6193889574682976
epr_triviaqa_mistral24b,5,0.01,per_feature,8,0.60143362136685
epr_triviaqa_mistral24b,5,0.01,group_median,5,0.6193889574682976
epr_triviaqa_mistral24b,5,0.1,per_feature,8,0.60143362136685
epr_triviaqa_mistral24b,5,0.1,group_median,5,0.6193889574682976
epr_triviaqa_mistral24b,5,1.0,per_feature,8,0.60143362136685
epr_triviaqa_mistral24b,5,1.0,group_median,5,0.6193889574682976
epr_triviaqa_mistral24b,6,0.0,per_feature,9,0.600998765570643
epr_triviaqa_mistral24b,6,0.0,group_median,6,0.60444955672764
epr_triviaqa_mistral24b,6,0.01,per_feature,9,0.600998765570643
epr_triviaqa_mistral24b,6,0.01,group_median,6,0.60444955672764
epr_triviaqa_mistral24b,6,0.1,per_feature,9,0.600998765570643
epr_triviaqa_mistral24b,6,0.1,group_median,6,0.60444955672764
epr_triviaqa_mistral24b,6,1.0,per_feature,9,0.600998765570643
epr_triviaqa_mistral24b,6,1.0,group_median,6,0.60444955672764
epr_triviaqa_mistral24b,7,0.0,per_feature,11,0.6012372348782403
epr_triviaqa_mistral24b,7,0.0,group_median,7,0.5241976209179666
epr_triviaqa_mistral24b,7,0.01,per_feature,11,0.6012372348782403
epr_triviaqa_mistral24b,7,0.01,group_median,7,0.5241976209179666
epr_triviaqa_mistral24b,7,0.1,per_feature,11,0.6012372348782403
epr_triviaqa_mistral24b,7,0.1,group_median,7,0.5241976209179666
epr_triviaqa_mistral24b,7,1.0,per_feature,11,0.6012372348782403
epr_triviaqa_mistral24b,7,1.0,group_median,7,0.5241976209179666
epr_triviaqa_mistral24b,8,0.0,per_feature,13,0.6013073729098868
epr_triviaqa_mistral24b,8,0.0,group_median,8,0.60143362136685
epr_triviaqa_mistral24b,8,0.01,per_feature,13,0.6013073729098868
epr_triviaqa_mistral24b,8,0.01,group_median,8,0.60143362136685
epr_triviaqa_mistral24b,8,0.1,per_feature,13,0.6013073729098868
epr_triviaqa_mistral24b,8,0.1,group_median,8,0.60143362136685
epr_triviaqa_mistral24b,8,1.0,per_feature,13,0.6013073729098868
epr_triviaqa_mistral24b,8,1.0,group_median,8,0.60143362136685
inside_coqa_llama7b,2,0.0,per_feature,4,0.5528181916832717
inside_coqa_llama7b,2,0.0,group_median,15,0.5002547766693769
inside_coqa_llama7b,2,0.01,per_feature,4,0.5528181916832717
inside_coqa_llama7b,2,0.01,group_median,15,0.5002547766693769
inside_coqa_llama7b,2,0.1,per_feature,4,0.5528181916832717
inside_coqa_llama7b,2,0.1,group_median,15,0.5002547766693769
inside_coqa_llama7b,2,1.0,per_feature,4,0.5528181916832717
inside_coqa_llama7b,2,1.0,group_median,15,0.5002547766693769
inside_coqa_llama7b,3,0.0,per_feature,6,0.6570332515007447
inside_coqa_llama7b,3,0.0,group_median,3,0.5957905232515164
inside_coqa_llama7b,3,0.01,per_feature,6,0.6570332515007447
inside_coqa_llama7b,3,0.01,group_median,3,0.5957905232515164
inside_coqa_llama7b,3,0.1,per_feature,6,0.6570332515007447
inside_coqa_llama7b,3,0.1,group_median,3,0.5957905232515164
inside_coqa_llama7b,3,1.0,per_feature,6,0.6570332515007447
inside_coqa_llama7b,3,1.0,group_median,3,0.5957905232515164
inside_coqa_llama7b,4,0.0,per_feature,8,0.505882274306402
inside_coqa_llama7b,4,0.0,group_median,4,0.5137127251510181
inside_coqa_llama7b,4,0.01,per_feature,8,0.505882274306402
inside_coqa_llama7b,4,0.01,group_median,4,0.5137127251510181
inside_coqa_llama7b,4,0.1,per_feature,8,0.505882274306402
inside_coqa_llama7b,4,0.1,group_median,4,0.5137127251510181
inside_coqa_llama7b,4,1.0,per_feature,8,0.505882274306402
inside_coqa_llama7b,4,1.0,group_median,4,0.5137127251510181
inside_coqa_llama7b,5,0.0,per_feature,9,0.5041806177862423
inside_coqa_llama7b,5,0.0,group_median,5,0.5384472934696964
inside_coqa_llama7b,5,0.01,per_feature,9,0.5041806177862423
inside_coqa_llama7b,5,0.01,group_median,5,0.5384472934696964
inside_coqa_llama7b,5,0.1,per_feature,9,0.5041806177862423
inside_coqa_llama7b,5,0.1,group_median,5,0.5384472934696964
inside_coqa_llama7b,5,1.0,per_feature,9,0.5041806177862423
inside_coqa_llama7b,5,1.0,group_median,5,0.5384472934696964
inside_coqa_llama7b,6,0.0,per_feature,11,0.5810366736861309
inside_coqa_llama7b,6,0.0,group_median,6,0.5291251409528333
inside_coqa_llama7b,6,0.01,per_feature,11,0.5810366736861309
inside_coqa_llama7b,6,0.01,group_median,6,0.5291251409528333
inside_coqa_llama7b,6,0.1,per_feature,11,0.5810366736861309
inside_coqa_llama7b,6,0.1,group_median,6,0.5291251409528333
inside_coqa_llama7b,6,1.0,per_feature,11,0.5810366736861309
inside_coqa_llama7b,6,1.0,group_median,6,0.5291251409528333
inside_coqa_llama7b,7,0.0,per_feature,13,0.5445855239670929
inside_coqa_llama7b,7,0.0,group_median,7,0.5042462778229491
inside_coqa_llama7b,7,0.01,per_feature,13,0.5445855239670929
inside_coqa_llama7b,7,0.01,group_median,7,0.5042462778229491
inside_coqa_llama7b,7,0.1,per_feature,13,0.5445855239670929
inside_coqa_llama7b,7,0.1,group_median,7,0.5042462778229491
inside_coqa_llama7b,7,1.0,per_feature,13,0.5445855239670929
inside_coqa_llama7b,7,1.0,group_median,7,0.5042462778229491
inside_coqa_llama7b,8,0.0,per_feature,13,0.5442249835260148
inside_coqa_llama7b,8,0.0,group_median,8,0.5738301897771648
inside_coqa_llama7b,8,0.01,per_feature,13,0.5442249835260148
inside_coqa_llama7b,8,0.01,group_median,8,0.5738301897771648
inside_coqa_llama7b,8,0.1,per_feature,13,0.5442249835260148
inside_coqa_llama7b,8,0.1,group_median,8,0.5738301897771648
inside_coqa_llama7b,8,1.0,per_feature,13,0.5442249835260148
inside_coqa_llama7b,8,1.0,group_median,8,0.5738301897771648
internalstates_gsm8k_qwen25_7b,2,0.0,per_feature,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,2,0.0,group_median,15,0.7115106665895821
internalstates_gsm8k_qwen25_7b,2,0.01,per_feature,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,2,0.01,group_median,15,0.7115106665895821
internalstates_gsm8k_qwen25_7b,2,0.1,per_feature,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,2,0.1,group_median,15,0.7115106665895821
internalstates_gsm8k_qwen25_7b,2,1.0,per_feature,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,2,1.0,group_median,15,0.7115106665895821
internalstates_gsm8k_qwen25_7b,3,0.0,per_feature,6,0.7074829931972789
internalstates_gsm8k_qwen25_7b,3,0.0,group_median,3,0.707810602994739
internalstates_gsm8k_qwen25_7b,3,0.01,per_feature,6,0.7074829931972789
internalstates_gsm8k_qwen25_7b,3,0.01,group_median,3,0.707810602994739
internalstates_gsm8k_qwen25_7b,3,0.1,per_feature,6,0.7074829931972789
internalstates_gsm8k_qwen25_7b,3,0.1,group_median,3,0.707810602994739
internalstates_gsm8k_qwen25_7b,3,1.0,per_feature,6,0.7074829931972789
internalstates_gsm8k_qwen25_7b,3,1.0,group_median,3,0.707810602994739
internalstates_gsm8k_qwen25_7b,4,0.0,per_feature,8,0.7072902815517141
internalstates_gsm8k_qwen25_7b,4,0.0,group_median,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,4,0.01,per_feature,8,0.7072902815517141
internalstates_gsm8k_qwen25_7b,4,0.01,group_median,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,4,0.1,per_feature,8,0.7072902815517141
internalstates_gsm8k_qwen25_7b,4,0.1,group_median,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,4,1.0,per_feature,8,0.7072902815517141
internalstates_gsm8k_qwen25_7b,4,1.0,group_median,4,0.7074829931972789
internalstates_gsm8k_qwen25_7b,5,0.0,per_feature,10,0.7075215355263919
internalstates_gsm8k_qwen25_7b,5,0.0,group_median,5,0.7088705170453451
internalstates_gsm8k_qwen25_7b,5,0.01,per_feature,10,0.7075215355263919
internalstates_gsm8k_qwen25_7b,5,0.01,group_median,5,0.7088705170453451
internalstates_gsm8k_qwen25_7b,5,0.1,per_feature,10,0.7075215355263919
internalstates_gsm8k_qwen25_7b,5,0.1,group_median,5,0.7088705170453451
internalstates_gsm8k_qwen25_7b,5,1.0,per_feature,10,0.7075215355263919
internalstates_gsm8k_qwen25_7b,5,1.0,group_median,5,0.7088705170453451
internalstates_gsm8k_qwen25_7b,6,0.0,per_feature,11,0.7067314177795765
internalstates_gsm8k_qwen25_7b,6,0.0,group_median,6,0.7088705170453451
internalstates_gsm8k_qwen25_7b,6,0.01,per_feature,11,0.7067314177795765
internalstates_gsm8k_qwen25_7b,6,0.01,group_median,6,0.7088705170453451
internalstates_gsm8k_qwen25_7b,6,0.1,per_feature,11,0.7067314177795765
internalstates_gsm8k_qwen25_7b,6,0.1,group_median,6,0.7088705170453451
internalstates_gsm8k_qwen25_7b,6,1.0,per_feature,11,0.7067314177795765
internalstates_gsm8k_qwen25_7b,6,1.0,group_median,6,0.7088705170453451
internalstates_gsm8k_qwen25_7b,7,0.0,per_feature,13,0.7066928754504636
internalstates_gsm8k_qwen25_7b,7,0.0,group_median,7,0.7087934323871192
internalstates_gsm8k_qwen25_7b,7,0.01,per_feature,13,0.7066928754504636
internalstates_gsm8k_qwen25_7b,7,0.01,group_median,7,0.7087934323871192
internalstates_gsm8k_qwen25_7b,7,0.1,per_feature,13,0.7066928754504636
internalstates_gsm8k_qwen25_7b,7,0.1,group_median,7,0.7087934323871192
internalstates_gsm8k_qwen25_7b,7,1.0,per_feature,13,0.7066928754504636
internalstates_gsm8k_qwen25_7b,7,1.0,group_median,7,0.7087934323871192
internalstates_gsm8k_qwen25_7b,8,0.0,per_feature,14,0.7067506889441328
internalstates_gsm8k_qwen25_7b,8,0.0,group_median,8,0.7087741612225626
internalstates_gsm8k_qwen25_7b,8,0.01,per_feature,14,0.7067506889441328
internalstates_gsm8k_qwen25_7b,8,0.01,group_median,8,0.7087741612225626
internalstates_gsm8k_qwen25_7b,8,0.1,per_feature,14,0.7067506889441328
internalstates_gsm8k_qwen25_7b,8,0.1,group_median,8,0.7087741612225626
internalstates_gsm8k_qwen25_7b,8,1.0,per_feature,14,0.7067506889441328
internalstates_gsm8k_qwen25_7b,8,1.0,group_median,8,0.7087741612225626
lapeigvals_gsm8k_llama3b,2,0.0,per_feature,4,0.6163738933728042
lapeigvals_gsm8k_llama3b,2,0.0,group_median,15,0.6236117705104216
lapeigvals_gsm8k_llama3b,2,0.01,per_feature,4,0.6163738933728042
lapeigvals_gsm8k_llama3b,2,0.01,group_median,15,0.6236117705104216
lapeigvals_gsm8k_llama3b,2,0.1,per_feature,4,0.6163738933728042
lapeigvals_gsm8k_llama3b,2,0.1,group_median,15,0.6236117705104216
lapeigvals_gsm8k_llama3b,2,1.0,per_feature,4,0.6163738933728042
lapeigvals_gsm8k_llama3b,2,1.0,group_median,15,0.6236117705104216
lapeigvals_gsm8k_llama3b,3,0.0,per_feature,6,0.6162924381638599
lapeigvals_gsm8k_llama3b,3,0.0,group_median,3,0.6555724672084602
lapeigvals_gsm8k_llama3b,3,0.01,per_feature,6,0.6162924381638599
lapeigvals_gsm8k_llama3b,3,0.01,group_median,3,0.6555724672084602
lapeigvals_gsm8k_llama3b,3,0.1,per_feature,6,0.6162924381638599
lapeigvals_gsm8k_llama3b,3,0.1,group_median,3,0.6555724672084602
lapeigvals_gsm8k_llama3b,3,1.0,per_feature,6,0.6162924381638599
lapeigvals_gsm8k_llama3b,3,1.0,group_median,3,0.6555724672084602
lapeigvals_gsm8k_llama3b,4,0.0,per_feature,7,0.6152800662812672
lapeigvals_gsm8k_llama3b,4,0.0,group_median,4,0.5841502127144599
lapeigvals_gsm8k_llama3b,4,0.01,per_feature,7,0.6152800662812672
lapeigvals_gsm8k_llama3b,4,0.01,group_median,4,0.5841502127144599
lapeigvals_gsm8k_llama3b,4,0.1,per_feature,7,0.6152800662812672
lapeigvals_gsm8k_llama3b,4,0.1,group_median,4,0.5841502127144599
lapeigvals_gsm8k_llama3b,4,1.0,per_feature,7,0.6152800662812672
lapeigvals_gsm8k_llama3b,4,1.0,group_median,4,0.5841502127144599
lapeigvals_gsm8k_llama3b,5,0.0,per_feature,9,0.6157850885767215
lapeigvals_gsm8k_llama3b,5,0.0,group_median,5,0.6150892283631693
lapeigvals_gsm8k_llama3b,5,0.01,per_feature,9,0.6157850885767215
lapeigvals_gsm8k_llama3b,5,0.01,group_median,5,0.6150892283631693
lapeigvals_gsm8k_llama3b,5,0.1,per_feature,9,0.6157850885767215
lapeigvals_gsm8k_llama3b,5,0.1,group_median,5,0.6150892283631693
lapeigvals_gsm8k_llama3b,5,1.0,per_feature,9,0.6157850885767215
lapeigvals_gsm8k_llama3b,5,1.0,group_median,5,0.6150892283631693
