subset,n_feats,n_cells,macro,qa,math,members
GOOD_6,6,25,0.7593977574189023,0.7274200349945559,0.7807162390351332,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy
GOOD_6+topk,7,25,0.758717055040466,0.7256769583648065,0.7807437861575725,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|topk_tail_mass
GOOD_6+renyi,7,25,0.7573847559624864,0.72437165790427,0.7793934880012974,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|renyi_entropy_2
GOOD_6+topk+renyi,8,25,0.7569166439616217,0.722483340967148,0.7798721792912708,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|topk_tail_mass|renyi_entropy_2
GOOD_5+logprob_ext,8,25,0.7569166439616217,0.722483340967148,0.7798721792912708,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|renyi_entropy_2|topk_tail_mass
GOOD_6+logprob,9,25,0.7563142553956651,0.7179024351872598,0.7819221355346021,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|mean_top1_logprob|logprob_margin|mean_logprob_entropy
GOOD_6+logprob+ext,11,25,0.7540802764562982,0.7166568905398061,0.7790292004006262,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|topk_tail_mass|renyi_entropy_2
GOOD_6+energy,10,25,0.7526158925371242,0.7064403137007871,0.7833996117613495,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy|varentropy|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy
GOOD_5,5,25,0.7518994447172106,0.7209997025093677,0.7724992728557727,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy
TOP8_info,8,25,0.7420297141428823,0.7014406250959471,0.7690891068408391,epr|sw_var_peak|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
TOP6_info,6,25,0.7354230598066855,0.6970030435262575,0.7610364039936375,epr|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
