cell,auroc_pl_dufs,auroc_pl_noseed,auroc_pl_rank,auroc_a6_ctrl,auroc_a2_dufs,auroc_good6,rho_gate_vs_featauroc,n_selected,seed_views,lambda3_mult
ars_gsm8k_r1distill8b,0.7094982223658695,0.7078215901745314,0.6082134776987719,0.7030542986425339,0.7030542986425339,0.7623222365869424,0.2520,15,epr|spectral_entropy|low_band_power|cusum_max,4.0
epr_triviaqa_mistral24b,0.7445152059252608,0.7464790708113567,0.7448238132645045,0.7453288070923577,0.7453288070923577,0.7331949276175513,0.3549,16,epr|spectral_entropy|low_band_power|cusum_max,1.0
inside_coqa_llama7b,0.5263194521987069,0.5270071133017012,0.4894409224802666,0.537157683167912,0.5220822173748253,0.6673670403915383,-0.0632,18,epr|spectral_entropy|low_band_power|cusum_max,0.5
internalstates_gsm8k_qwen25_7b,0.7092944826655876,0.7017787284885626,0.715576882310998,0.7009886107417471,0.7009886107417471,0.703590217956871,0.3938,15,epr|spectral_entropy|low_band_power|cusum_max,1.0
lapeigvals_gsm8k_llama3b,0.7089721749006246,0.7092398134442985,0.7085765353143241,0.7087347911488442,0.7087347911488442,0.7025209223522402,0.2339,14,epr|spectral_entropy|low_band_power|cusum_max,2.0
lapeigvals_gsm8k_llama8b,0.8203619184882698,0.8184602450156137,0.8184602450156137,0.8181799983985908,0.8181799983985908,0.8186404035551285,0.1054,19,epr|spectral_entropy|low_band_power|cusum_max,4.0
lapeigvals_gsm8k_mistral24b,0.842876639623929,0.8493593145803321,0.837394798695883,0.844408218970354,0.844408218970354,0.808749715672151,0.2116,18,epr|spectral_entropy|low_band_power|cusum_max,1.0
lapeigvals_gsm8k_nemo,0.7956286816981516,0.7916351817997158,0.7981921592524883,0.7897501523461306,0.7935486491976438,0.8013325208206379,0.2546,15,epr|spectral_entropy|low_band_power|cusum_max,4.0
lapeigvals_gsm8k_phi35,0.808288610614192,0.8047063430610809,0.8146120915992487,0.8048442937370394,0.8048442937370394,0.812493881220018,0.2238,12,epr|spectral_entropy|low_band_power|cusum_max,4.0
losnet_hotpotqa_mistral7b,0.5703891739215932,0.5691199342140546,0.5711399917767569,0.5634888003003271,0.5683691163588909,0.5809721303562809,0.3277,13,epr|spectral_entropy|low_band_power|cusum_max,4.0
math500_dsmath7b,0.785141867013212,0.7823261858349577,0.7839145188073063,0.7801602772363005,0.7834091401342863,0.7868023969388491,0.0694,16,epr|spectral_entropy|low_band_power|cusum_max,2.0
math500_qwenmath7b,0.904728701825558,0.897312373225152,0.904728701825558,0.904728701825558,0.904728701825558,0.8900862068965518,-0.1078,20,epr|spectral_entropy|low_band_power|cusum_max,2.0
math500_r1distill8b,0.8401434470767225,0.836176918061291,0.8418278635079331,0.8401434470767225,0.8401434470767225,0.8357422299500108,0.0426,17,epr|spectral_entropy|low_band_power|cusum_max,4.0
math500_r1distill8b_mn4096,0.8258838914576621,0.8239222829386762,0.8258838914576621,0.8198122460417542,0.8091635140815469,0.8328896361683247,0.1231,15,epr|spectral_entropy|low_band_power|cusum_max,4.0
noise_gsm8k_mistral7b,0.7874225751716337,0.7810193636794208,0.7841623403795484,0.7780626204194621,0.7780626204194621,0.7902344702003504,0.2515,16,epr|spectral_entropy|low_band_power|cusum_max,4.0
noise_gsm8k_phi3mini,0.6823631474414764,0.6791719667046038,0.6764354734328625,0.6786196469616835,0.6786196469616835,0.6800590256856576,0.3269,14,epr|spectral_entropy|low_band_power|cusum_max,4.0
sciq_llama8b,0.7404580152671755,0.7390908055144126,0.7406858835593028,0.7407998177053664,0.7407998177053664,0.7477498006152443,0.2718,18,epr|spectral_entropy|low_band_power|cusum_max,4.0
se_nq_open_llama8b,0.7514252032258831,0.7531529833265975,0.7500965331685057,0.7527359734635173,0.7527359734635173,0.7303111911630826,0.2737,15,epr|spectral_entropy|low_band_power|cusum_max,1.0
se_squad_v2_llama8b,0.8059890572876387,0.7906715685708678,0.8164867890988423,0.8118921196310874,0.8118921196310874,0.8110489074602057,0.2589,16,epr|spectral_entropy|low_band_power|cusum_max,2.0
seiclr_triviaqa_opt30b,0.566801418995563,0.5642487686675356,0.5710686298319982,0.5623585914930578,0.5614045527451514,0.5883956570917686,0.3478,14,epr|spectral_entropy|low_band_power|cusum_max,1.0
semenergy_triviaqa_qwen3_8b,0.7890325294284387,0.7488077752092057,0.8109497648800544,0.7890325294284387,0.7890325294284387,0.8159613899549709,0.3962,16,epr|spectral_entropy|low_band_power|cusum_max,1.0
spilled_triviaqa_llama8b,0.9333333333333333,0.9199999999999999,0.9339999999999999,0.9413333333333334,0.9413333333333334,0.942,0.0704,19,epr|spectral_entropy|low_band_power|cusum_max,0.5
trace_gsm8k_llama8b_k10,0.8098509552042161,0.812162178853755,0.8144705204216074,0.8109025032938076,0.8109025032938076,0.8092908020421608,0.0515,20,epr|spectral_entropy|low_band_power|cusum_max,0.5
trace_math500_qwenmath15b_k10,0.6887356473083994,0.6909618493236095,0.6891464619070825,0.6887356473083994,0.6887356473083994,0.6759889194811037,0.1132,20,epr|spectral_entropy|low_band_power|cusum_max,2.0
truthfulqa_llama8b,0.6627738643658607,0.649658480140622,0.6676872653341583,0.6541440303038646,0.6541440303038646,0.6571993052949163,0.4015,14,epr|spectral_entropy|low_band_power|cusum_max,2.0
