K_live,K_stored,cell,delta,live,status,stored,subset
6,6,semenergy_triviaqa_qwen3_8b,-0.0,0.709116,ok,0.709116,ALL_H16
2,2,spilled_triviaqa_llama8b,-0.0,0.934,ok,0.934,GOOD_5
3,3,spilled_triviaqa_llama8b,0.0,0.896667,ok,0.896667,STABLE_H9
2,2,spilled_triviaqa_llama8b,-0.0,0.945333,ok,0.945333,top_macro_5
2,2,spilled_triviaqa_llama8b,-0.0,0.962,ok,0.962,consensus_4
7,7,spilled_triviaqa_llama8b,-0.0,0.906667,ok,0.906667,ALL_H16
,,trace_gsm8k_llama8b_k10,,,NO-TABLE,,-
,,trace_math500_qwenmath15b_k10,,,NO-TABLE,,-
3,3,truthfulqa_llama8b,0.0,0.659621,ok,0.659621,GOOD_5
4,4,truthfulqa_llama8b,-0.0,0.602526,ok,0.602526,STABLE_H9
2,2,truthfulqa_llama8b,-0.0,0.671008,ok,0.671008,top_macro_5
2,2,truthfulqa_llama8b,0.0,0.657866,ok,0.657866,consensus_4
4,4,truthfulqa_llama8b,-0.0,0.655514,ok,0.655514,ALL_H16
