arm,n_cells,macro,delta_vs_good6,wins,losses,wilcoxon_p
LABEL_PEEKING_CEILING,25,0.7585,-0.0009,14,11,0.32539
label_free_LOCO,25,0.7474,-0.012,8,17,0.0802
