m,unit,eigen,complete
2,0.2500000000000001,0.2500000000000001,8.275845586403074e-25
3,0.4444444444444445,0.11111111111111126,1.5533812606923964e-25
4,0.5625,0.0625,1.4347407713707152e-29
5,0.64,0.03999999999999996,2.7741131896808676e-27
6,0.6944444444444443,0.02777777777777788,3.996895253119793e-30
7,0.7346938775510203,0.020408163265306083,1.3174681457284845e-29
8,0.765625,0.015624999999999972,8.0315680806534905e-28
9,0.7901234567901235,0.012345679012345815,1.9438025742711494e-27
10,0.8100000000000004,0.010000000000000075,9.559679403103295e-29
11,0.8264462809917356,0.008264462809917371,8.549006648314428e-28
