m,max_abs_diff,all_exact_zero
2,0.0,True
3,0.0,True
4,9.80118763926896e-17,False
5,1.951563910473908e-16,False
6,2.1163626406917047e-16,False
7,2.636779683484747e-16,False
8,6.938893903907228e-16,False
9,6.661338147750939e-16,False
