method,transform,outer_fold,calibration_steps,selected_quantile,selected_threshold,q80_threshold,calibration_prmscore_at_selected,calibration_prmscore_at_q80
evidence__all__plain__equal,C_RAW,0,74788,0.83,2.7702528457747255,2.2700459333073595,0.5865829914341439,0.5855355319892396
evidence__all__plain__equal,C_RAW,1,75038,0.83,2.7908731584082584,2.269830567126843,0.5827170782869642,0.5826969938005178
evidence__all__plain__equal,C_RAW,2,75980,0.83,2.8179153933508987,2.3215305004535516,0.5807963279307097,0.5801538524870464
evidence__all__plain__equal,C_RAW,3,75940,0.81,2.452343782447422,2.2818577234237925,0.5835545424731352,0.5834622803307479
evidence__all__plain__equal,C_RAW,4,75066,0.83,2.757357932520721,2.225713706772891,0.5842138258980635,0.5835452618855922
evidence__all__plain__equal,C_Z,0,74788,0.83,0.9888484173749146,0.8855596717177014,0.6370210997476743,0.6354807096813145
evidence__all__plain__equal,C_Z,1,75038,0.82,0.9606646048712117,0.8928103412292571,0.63827173541388,0.6359928084838706
evidence__all__plain__equal,C_Z,2,75980,0.83,0.9998343451210693,0.8970353917987955,0.6354294564197158,0.6349673669097851
evidence__all__plain__equal,C_Z,3,75940,0.83,0.9877154221863739,0.8872811862600994,0.6357243912692911,0.6352496152229365
evidence__all__plain__equal,C_Z,4,75066,0.81,0.9284405625429735,0.8927618289018169,0.6357014646500612,0.6350192982924715
evidence__all__plain__equal,C_ECDF,0,74788,0.79,0.7857142857142857,0.796875,0.6238042081991675,0.6213463613864543
evidence__all__plain__equal,C_ECDF,1,75038,0.83,0.8333333333333334,0.796875,0.6236246179517844,0.6209815320598007
evidence__all__plain__equal,C_ECDF,2,75980,0.83,0.8333333333333334,0.796875,0.6222840652142905,0.6190810502203115
evidence__all__plain__equal,C_ECDF,3,75940,0.79,0.7857142857142857,0.7962962962962963,0.6210943884436291,0.6183206374338008
evidence__all__plain__equal,C_ECDF,4,75066,0.79,0.7857142857142857,0.796875,0.6219152894418905,0.6191973688023705
evidence__all__position__equal,C_RAW,0,74788,0.8,2.0304501865917337,2.0304501865917337,0.5821719991652259,0.5821719991652259
evidence__all__position__equal,C_RAW,1,75038,0.79,1.89142073241627,2.047936144932065,0.5778723272995392,0.577709662663353
evidence__all__position__equal,C_RAW,2,75980,0.8,2.077969907146392,2.077969907146392,0.5754788794617701,0.5754788794617701
evidence__all__position__equal,C_RAW,3,75940,0.82,2.4055554560269177,2.06744071272231,0.5776509919361971,0.5767371502982299
evidence__all__position__equal,C_RAW,4,75066,0.8,1.9545728341809379,1.9545728341809379,0.5801658569573447,0.5801658569573447
evidence__all__position__equal,C_Z,0,74788,0.81,0.9213110204805272,0.8896360015119172,0.641349680799467,0.640547478927384
evidence__all__position__equal,C_Z,1,75038,0.82,0.9621956678092565,0.8952756422536566,0.6409277777935177,0.6391373717580383
evidence__all__position__equal,C_Z,2,75980,0.81,0.9315510508089562,0.8961256393149115,0.6391269463224736,0.6383910878068758
evidence__all__position__equal,C_Z,3,75940,0.81,0.9235817034734268,0.8910687209762767,0.6376682582801056,0.6371166065199174
evidence__all__position__equal,C_Z,4,75066,0.83,0.9982263329515875,0.8962579034092601,0.6394285506962585,0.6377326298748484
evidence__all__position__equal,C_ECDF,0,74788,0.83,0.8333333333333334,0.796875,0.6289149164183361,0.6249297161515073
evidence__all__position__equal,C_ECDF,1,75038,0.83,0.8333333333333334,0.796875,0.6294649726583552,0.6246630605173648
evidence__all__position__equal,C_ECDF,2,75980,0.83,0.8333333333333334,0.796875,0.6272102063917179,0.6228818778972192
evidence__all__position__equal,C_ECDF,3,75940,0.83,0.8333333333333334,0.7962962962962963,0.6264097389576602,0.621978906084595
evidence__all__position__equal,C_ECDF,4,75066,0.83,0.8333333333333334,0.796875,0.6263405822381101,0.6217058488626896
evidence__all__position2__equal,C_RAW,0,74788,0.81,2.2626015198564926,2.0666057878215502,0.5919864365506777,0.5916563599561303
evidence__all__position2__equal,C_RAW,1,75038,0.8,2.1287254421740585,2.1287254421740585,0.5875492541571816,0.5875492541571816
evidence__all__position2__equal,C_RAW,2,75980,0.81,2.3275588607329,2.1289463408809444,0.5857038641500749,0.5851189235255809
evidence__all__position2__equal,C_RAW,3,75940,0.81,2.312599440484413,2.1165560861676043,0.589526894462166,0.588675648730777
evidence__all__position2__equal,C_RAW,4,75066,0.8,2.053073921896065,2.053073921896065,0.5901453290641985,0.5901453290641985
evidence__all__position2__equal,C_Z,0,74788,0.82,0.9357158525077895,0.8839028985595121,0.6409752424138687,0.6393213643330143
evidence__all__position2__equal,C_Z,1,75038,0.82,0.940756809558667,0.886935796280139,0.6414255035944609,0.6395406462070681
evidence__all__position2__equal,C_Z,2,75980,0.82,0.9415005545074241,0.8870640268229588,0.6380781279074039,0.63759448308253
evidence__all__position2__equal,C_Z,3,75940,0.81,0.9076623979890578,0.8828055704770555,0.6382364335131132,0.637563195051634
evidence__all__position2__equal,C_Z,4,75066,0.81,0.9124313086674581,0.8859319737206027,0.6406348849193659,0.6405862335845229
evidence__all__position2__equal,C_ECDF,0,74788,0.79,0.7857142857142857,0.796875,0.6267020814911941,0.6240048853146206
evidence__all__position2__equal,C_ECDF,1,75038,0.83,0.8333333333333334,0.796875,0.6275545762590096,0.6241517371204808
evidence__all__position2__equal,C_ECDF,2,75980,0.83,0.8333333333333334,0.796875,0.6249907361908988,0.6220710346594789
evidence__all__position2__equal,C_ECDF,3,75940,0.79,0.7857142857142857,0.7962962962962963,0.624901994434533,0.6220805246582282
evidence__all__position2__equal,C_ECDF,4,75066,0.79,0.7857142857142857,0.796875,0.6257983747427343,0.6224225574513523
