outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4790,2010,81.77202505219206,72.0,156.0
error,4442,3713,729,85.03043361163479,75.0,159.0
clean,2358,1077,1281,70.5385329619313,60.0,135.0
