metric_id,source_metric_id,delta,ci_low,ci_high,cell_wins,cell_ties,cell_losses,worst_cell_delta,worst_cell_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,bootstrap_draws,interval
macro_f1,official_macro_f1,-0.07411926174341843,-0.09137785366071252,-0.056963565869692076,0,0,8,-0.10197748134215262,processbench_gsm8k_qwen3_8b,0,0,4,-0.08595502954631112,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
first_error_exact,first_error_exact,-0.0770579072312283,-0.09552616066238696,-0.058309766022541565,0,0,8,-0.13043478260869568,processbench_gsm8k_qwen3_8b,0,0,4,-0.11111111111111113,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
first_error_within_one,first_error_within_one,-0.05125547279234055,-0.0713467215784813,-0.03161236466282118,0,0,8,-0.09259259259259262,processbench_math_qwen3_8b,0,0,4,-0.0824915824915825,math,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
clean_abstention_accuracy,clean_abstention_accuracy,0.0019202361277120827,-0.009116598209305327,0.012934710519692819,4,1,3,-0.020725388601036288,processbench_gsm8k_qwen3_4b,3,0,1,-0.015544041450777202,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
overall_decision_accuracy,overall_decision_accuracy,-0.046999999999999986,-0.058750000000000024,-0.03518749999999998,0,0,8,-0.07250000000000001,processbench_gsm8k_qwen3_8b,0,0,4,-0.065,gsm8k,20000,unadjusted paired percentile; integration recomputes simultaneous primary interval across all opened reducers
