cell,domain,feature,n_min,headroom_pp,sv_auc,a_alone,a_mono,a_free,cond_view_gain_pp,cond_shape_gain_pp,absorbed_frac
math500_qwenmath7b,math,pe_mean,68,23.15,0.4578,0.9019,0.9229,0.9192,2.103,-0.375,1.016
sciq_llama8b,QA,pe_mean,67,18.65,0.4339,0.7452,0.7359,0.727,-0.929,-0.888,1.048
se_squad_v2_llama8b,QA,pe_mean,820,14.33,0.5084,0.8103,0.817,0.8161,0.676,-0.088,1.006
math500_r1distill8b_mn4096,math,hurst_exponent,117,13.13,0.5416,0.8375,0.8325,0.839,-0.495,0.651,0.95
math500_r1distill8b,math,cusum_shift_idx,86,12.16,0.4824,0.838,0.8158,0.817,-2.228,0.124,0.99
math500_dsmath7b,math,cusum_shift_idx,57,12.12,0.457,0.784,0.7594,0.7633,-2.458,0.383,0.968
truthfulqa_llama8b,QA,rpdi,809,11.81,0.4868,0.6631,0.6649,0.6706,0.179,0.567,0.952
semenergy_triviaqa_qwen3_8b,QA,epr_energy,2094,11.8,0.5538,0.8102,0.8368,0.8321,2.655,-0.474,1.04
se_squad_v2_llama8b,QA,cusum_shift_idx,820,11.18,0.5605,0.8103,0.8202,0.8199,0.99,-0.022,1.002
semenergy_triviaqa_qwen3_8b,QA,rpdi,2094,10.61,0.5565,0.8101,0.8204,0.8249,1.027,0.45,0.958
semenergy_triviaqa_qwen3_8b,QA,pe_mean,2094,10.37,0.5216,0.8142,0.8265,0.8264,1.234,-0.01,1.001
lapeigvals_gsm8k_llama3b,math,min_energy,587,9.67,0.526,0.7101,0.7036,0.7341,-0.654,3.05,0.685
math500_qwenmath7b,math,rpdi,68,9.46,0.7143,0.8957,0.909,0.9045,1.337,-0.449,1.047
seiclr_triviaqa_opt30b,QA,rpdi,2324,8.61,0.5388,0.8119,0.8317,0.8229,1.98,-0.879,1.102
se_squad_v2_llama8b,QA,hurst_exponent,820,7.18,0.6633,0.8076,0.8292,0.8231,2.155,-0.607,1.085
se_nq_open_llama8b,QA,rpdi,4105,7.05,0.5414,0.7469,0.7464,0.7475,-0.051,0.111,0.984
lapeigvals_gsm8k_phi35,math,rpdi,201,6.82,0.5204,0.8093,0.8043,0.8004,-0.499,-0.391,1.057
se_squad_v2_llama8b,QA,rpdi,820,6.67,0.6767,0.8103,0.8296,0.8249,1.937,-0.471,1.071
semenergy_triviaqa_qwen3_8b,QA,spectral_entropy,2094,6.6,0.5513,0.8102,0.8187,0.8203,0.844,0.165,0.975
internalstates_gsm8k_qwen25_7b,math,rpdi,147,6.51,0.4807,0.708,0.6909,0.6963,-1.714,0.544,0.916
semenergy_triviaqa_qwen3_8b,QA,cusum_shift_idx,2094,6.38,0.5555,0.8101,0.8218,0.8235,1.16,0.175,0.973
truthfulqa_llama8b,QA,cusum_shift_idx,809,6.08,0.4838,0.6631,0.6574,0.6623,-0.568,0.482,0.921
math500_r1distill8b_mn4096,math,pe_mean,117,6.07,0.5434,0.8351,0.8303,0.8309,-0.481,0.059,0.99
losnet_hotpotqa_mistral7b,QA,rpdi,169,5.62,0.4564,0.5706,0.5352,0.5325,-3.537,-0.27,1.048
se_squad_v2_llama8b,QA,high_band_power,820,5.58,0.5908,0.8115,0.819,0.8176,0.754,-0.146,1.026
semenergy_triviaqa_qwen3_8b,QA,logprob_margin,2094,5.29,0.6176,0.8142,0.8357,0.8353,2.15,-0.041,1.008
truthfulqa_llama8b,QA,pe_mean,809,5.13,0.5175,0.6631,0.6583,0.6618,-0.482,0.354,0.931
se_nq_open_llama8b,QA,pe_mean,4105,4.69,0.5061,0.7469,0.7464,0.7466,-0.054,0.026,0.995
truthfulqa_llama8b,QA,low_band_power,809,4.68,0.5327,0.6631,0.6633,0.6622,0.017,-0.109,1.023
truthfulqa_llama8b,QA,spectral_centroid,809,4.67,0.5331,0.6624,0.6623,0.6632,-0.005,0.092,0.98
epr_triviaqa_mistral24b,QA,pe_mean,152,4.56,0.4663,0.7453,0.7405,0.7357,-0.481,-0.479,1.105
epr_triviaqa_mistral24b,QA,rpdi,152,4.55,0.4729,0.7453,0.7375,0.7361,-0.785,-0.137,1.03
truthfulqa_llama8b,QA,hurst_exponent,809,3.99,0.5267,0.6631,0.6643,0.6622,0.121,-0.209,1.052
lapeigvals_gsm8k_llama3b,math,pe_mean,587,3.95,0.5348,0.6993,0.694,0.6971,-0.53,0.307,0.922
truthfulqa_llama8b,QA,hl_ratio,809,3.89,0.5212,0.6631,0.657,0.6595,-0.613,0.252,0.935
lapeigvals_gsm8k_mistral24b,math,stft_spectral_entropy,109,3.74,0.5254,0.8413,0.83,0.8341,-1.135,0.408,0.891
noise_gsm8k_phi3mini,math,hurst_exponent,383,3.59,0.4843,0.683,0.6768,0.6786,-0.623,0.181,0.95
ars_gsm8k_r1distill8b,math,cusum_shift_idx,136,3.56,0.4732,0.7388,0.7261,0.7212,-1.264,-0.496,1.139
