cell,domain,feature,flagged,recurrent,n,n_min,single_view_auc,single_view_auc_oriented,upcr_rho_hat,upcr_rho_rank,upcr_kept,upcr_w,dufs_selected
epr_triviaqa_mistral24b,QA,cusum_shift_idx,0,1,621,152,0.4238,0.5762,0.125258,24,0,,0
epr_triviaqa_mistral24b,QA,hurst_exponent,0,1,621,152,0.4469,0.5531,0.141633,23,0,,0
epr_triviaqa_mistral24b,QA,pe_mean,0,1,621,152,0.4889,0.5111,-0.05495,28,0,,0
epr_triviaqa_mistral24b,QA,rpdi,0,1,621,152,0.5072,0.5072,0.001031,26,0,,0
losnet_hotpotqa_mistral7b,QA,cusum_shift_idx,0,1,500,169,0.464,0.536,-0.039508,29,0,,0
losnet_hotpotqa_mistral7b,QA,hurst_exponent,0,1,500,169,0.4796,0.5204,0.224025,19,1,0.024035,0
losnet_hotpotqa_mistral7b,QA,pe_mean,0,1,500,169,0.527,0.527,0.008398,27,0,,0
losnet_hotpotqa_mistral7b,QA,rpdi,0,1,500,169,0.4991,0.5009,0.00561,28,0,,0
sciq_llama8b,QA,cusum_shift_idx,0,1,198,67,0.522,0.522,0.138932,26,0,,0
sciq_llama8b,QA,hurst_exponent,0,1,198,67,0.3423,0.6577,0.271343,21,1,0.023463,0
sciq_llama8b,QA,pe_mean,0,1,198,67,0.4974,0.5026,0.057606,27,0,,0
sciq_llama8b,QA,rpdi,0,1,198,67,0.4394,0.5606,0.281892,19,1,0.014929,1
se_nq_open_llama8b,QA,cusum_shift_idx,1,1,8460,4105,0.4839,0.5161,0.081894,24,0,,0
se_nq_open_llama8b,QA,hurst_exponent,0,1,8460,4105,0.4541,0.5459,0.140129,23,0,,0
se_nq_open_llama8b,QA,pe_mean,1,1,8460,4105,0.4939,0.5061,-0.05046,27,0,,0
se_nq_open_llama8b,QA,rpdi,1,1,8460,4105,0.5413,0.5413,-0.005028,26,0,,0
se_squad_v2_llama8b,QA,cusum_shift_idx,1,1,2933,820,0.4395,0.5605,0.088163,24,0,,0
se_squad_v2_llama8b,QA,high_band_power,1,0,2933,820,0.4094,0.5906,0.177739,22,1,0.018494,0
se_squad_v2_llama8b,QA,hurst_exponent,1,1,2933,820,0.3371,0.6629,0.17698,23,1,0.018241,0
se_squad_v2_llama8b,QA,pe_mean,1,1,2933,820,0.5078,0.5078,-0.028373,26,0,,0
se_squad_v2_llama8b,QA,rpdi,1,1,2933,820,0.6765,0.6765,-0.007208,25,0,,1
seiclr_triviaqa_opt30b,QA,rpdi,1,1,5000,2324,0.4613,0.5387,-0.105898,19,0,,1
semenergy_triviaqa_qwen3_8b,QA,cusum_shift_idx,1,1,4392,2094,0.5555,0.5555,-0.006531,24,0,,0
