outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4803,1997,122.5138455132209,109.0,203.0
error,4442,3723,719,126.18345420359925,113.0,211.0
clean,2358,1080,1278,109.8638888888889,97.0,184.0
