method,contract,n_cells,macro_auroc,qa_auroc,math_auroc,equal_family_auroc,orientation_failures,mean_n_features,mean_n_kept
deployed_upcr,fixed_all,24,0.7748146245245597,0.7595291113099174,0.783985932453345,0.7428777799876981,0,28.416666666666668,21.333333333333332
deployed_upcr,remove_unstable,24,0.7735279028911624,0.7587001308628751,0.7824245661081346,0.7414316184552328,0,24.75,20.416666666666668
deployed_upcr,replace_squared,24,0.7729500699611642,0.7584417568459265,0.7816550578303069,0.7412716306289632,0,28.416666666666668,21.041666666666668
deployed_upcr,replace_mode,24,0.7731047452286409,0.7583798927498223,0.7819396567159319,0.741276952610229,0,28.416666666666668,21.166666666666668
iu_pcr,fixed_all,24,0.7754027713054216,0.7598201890086485,0.7847523206834854,0.7423240609705886,0,28.416666666666668,28.416666666666668
iu_pcr,remove_unstable,24,0.7740628976408788,0.7591557199354133,0.7830072042641577,0.74158769390092,0,24.75,24.75
iu_pcr,replace_squared,24,0.775032201012578,0.75938431850903,0.7844209305147065,0.7417605924911774,0,28.416666666666668,28.416666666666668
iu_pcr,replace_mode,24,0.7755589011293068,0.759726906657623,0.7850580978123172,0.7422652629363855,0,28.416666666666668,28.416666666666668
su_pcr,fixed_all,24,0.7648481192963338,0.7313534234772218,0.784944936787801,0.7242181793384339,0,28.416666666666668,28.416666666666668
su_pcr,remove_unstable,24,0.7736505677612553,0.7591750741114134,0.7823358639511605,0.7413583498298728,0,24.75,24.75
su_pcr,replace_squared,24,0.7579709084343055,0.7482201244155549,0.7638213788455559,0.7337203971213753,0,28.416666666666668,28.416666666666668
su_pcr,replace_mode,24,0.7623205619846963,0.7487245113889933,0.770478192342118,0.7352679421232932,0,28.416666666666668,28.416666666666668
