method,heldout_family,chosen_contract,training_macro,cell,domain,auroc
su_pcr,gsm8k,remove_unstable,0.7756639641477746,lapeigvals_gsm8k_nemo,math,0.7970221409709527
su_pcr,gsm8k,remove_unstable,0.7756639641477746,lapeigvals_gsm8k_phi35,math,0.8121645796064401
su_pcr,gsm8k,remove_unstable,0.7756639641477746,noise_gsm8k_mistral7b,math,0.7837117014379061
su_pcr,gsm8k,remove_unstable,0.7756639641477746,noise_gsm8k_phi3mini,math,0.6783044341791078
su_pcr,gsm8k,remove_unstable,0.7756639641477746,trace_gsm8k_llama8b_k10,math,0.813570487483531
su_pcr,hotpotqa,remove_unstable,0.7824444939945644,losnet_hotpotqa_mistral7b,QA,0.5713902643951447
su_pcr,math500,remove_unstable,0.7653101997475791,math500_dsmath7b,math,0.7873077756118692
su_pcr,math500,remove_unstable,0.7653101997475791,math500_qwenmath7b,math,0.8891353955375253
su_pcr,math500,remove_unstable,0.7653101997475791,math500_r1distill8b,math,0.8320473810041294
su_pcr,math500,remove_unstable,0.7653101997475791,math500_r1distill8b_mn4096,math,0.8318621269440941
su_pcr,math500,remove_unstable,0.7653101997475791,trace_math500_qwenmath15b_k10,math,0.6863671519685057
su_pcr,nq_open,remove_unstable,0.7749172133715746,se_nq_open_llama8b,QA,0.7445177187239106
su_pcr,sciq,remove_unstable,0.7750739075834217,sciq_llama8b,QA,0.7409137518514299
su_pcr,squad_v2,remove_unstable,0.7720380532193324,se_squad_v2_llama8b,QA,0.81073840222548
su_pcr,triviaqa,remove_unstable,0.7631883714870336,epr_triviaqa_mistral24b,QA,0.7445152059252609
su_pcr,triviaqa,remove_unstable,0.7631883714870336,seiclr_triviaqa_opt30b,QA,0.8215773889922277
su_pcr,triviaqa,remove_unstable,0.7631883714870336,semenergy_triviaqa_qwen3_8b,QA,0.8057536016119662
su_pcr,triviaqa,remove_unstable,0.7631883714870336,spilled_triviaqa_llama8b,QA,0.932
su_pcr,truthfulqa,remove_unstable,0.7785410562170795,truthfulqa_llama8b,QA,0.6611693332773009
