method,reference,candidate,n_cells,mean_delta_pp,ci95_low_pp,ci95_high_pp,wins,losses,ties,p_wilcoxon
deployed_upcr,fixed_all,remove_unstable,24,-0.12867216333974685,-0.2122045305177252,-0.05851231609890353,2,15,7,0.002263335872858075
deployed_upcr,fixed_all,replace_squared,24,-0.1864554563395464,-0.31107636298154184,-0.08688085603889198,2,15,7,0.0010018794357967698
deployed_upcr,fixed_all,replace_mode,24,-0.1709879295918884,-0.29567808996744926,-0.07401318710205511,1,15,8,0.0013462033496218734
deployed_upcr,remove_unstable,fixed_all,24,0.12867216333974685,0.058256401688793986,0.21192785739157688,15,2,7,0.002263335872858075
deployed_upcr,remove_unstable,replace_squared,24,-0.05778329299979956,-0.1410822340186495,0.006910342328213988,5,7,12,0.23931654122149526
deployed_upcr,remove_unstable,replace_mode,24,-0.04231576625214155,-0.1279881081012344,0.027365331764960824,7,6,11,0.6001794871405539
iu_pcr,fixed_all,remove_unstable,24,-0.1339873664542926,-0.40424003215897236,0.07172718531890201,11,13,0,0.2522493600845337
iu_pcr,fixed_all,replace_squared,24,-0.03705702928437869,-0.13391245050710698,0.07445166902955641,7,17,0,0.20761656761169434
iu_pcr,fixed_all,replace_mode,24,0.01561298238853028,-0.09561127731107136,0.14065176827390408,10,14,0,0.5645889043807983
iu_pcr,remove_unstable,fixed_all,24,0.1339873664542926,-0.06741083375610053,0.4018275043992174,13,11,0,0.2522493600845337
iu_pcr,remove_unstable,replace_squared,24,0.09693033716991392,-0.08535167161588074,0.37640257285918705,11,13,0,0.7898378372192383
iu_pcr,remove_unstable,replace_mode,24,0.14960034884282286,-0.057729230817825015,0.4767162909738925,13,11,0,0.6431422233581543
su_pcr,fixed_all,remove_unstable,24,0.8802448464921517,-0.2437133938539475,2.339604705762649,10,14,0,0.3902466297149658
su_pcr,fixed_all,replace_squared,24,-0.6877210862028249,-2.406945774927457,0.9686955132086034,7,17,0,0.10109639167785645
su_pcr,fixed_all,replace_mode,24,-0.2527557311637521,-1.801745784121866,1.286368290218833,10,14,0,0.3165123462677002
su_pcr,remove_unstable,fixed_all,24,-0.8802448464921517,-2.3031005221606704,0.24462000005654314,14,10,0,0.3902466297149658
su_pcr,remove_unstable,replace_squared,24,-1.5679659326949769,-3.1993335667789538,-0.1886779771756455,11,13,0,0.27681541442871094
su_pcr,remove_unstable,replace_mode,24,-1.1330005776559038,-2.4757080513300966,-0.052661904208239005,13,11,0,0.7257407903671265
