cell,family,domain,method,contract,n,n_features,n_kept,auroc,score_mean,score_std,fit_residual,sparse_fraction,decomposition_converged
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,fixed_all,500,30,18,0.7391725921137686,3.552713678800501e-18,0.4539935500004458,0.12622611580620144,,
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,fixed_all,500,30,30,0.7565651260504201,5.3290705182007515e-18,0.36725133725160874,0.387786354439333,,
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,fixed_all,500,30,30,0.7550500969618616,1.0658141036401503e-17,0.3640251024401852,0.35262693963749614,0.013793103448275862,True
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,remove_unstable,500,26,18,0.7391725921137686,7.105427357601002e-18,0.4539935500004458,0.12622611580620144,,
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,remove_unstable,500,26,26,0.7575953458306399,3.552713678800501e-18,0.373298089478878,0.3500064257772454,,
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,remove_unstable,500,26,26,0.7553935035552681,1.0658141036401503e-17,0.3696395921147846,0.31113063003798314,0.018461538461538463,True
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,replace_squared,500,30,18,0.7391725921137686,3.552713678800501e-18,0.4539935500004456,0.12622611580620144,,
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,replace_squared,500,30,30,0.7584235617323853,-3.552713678800501e-18,0.36870244658224904,0.35217864628903617,,
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,replace_squared,500,30,30,0.756241919844861,-7.105427357601002e-18,0.3573153318056622,0.3122821728102672,0.016091954022988506,True
ars_gsm8k_r1distill8b,gsm8k,math,deployed_upcr,replace_mode,500,30,18,0.7391725921137686,3.552713678800501e-18,0.4539935500004456,0.12622611580620144,,
ars_gsm8k_r1distill8b,gsm8k,math,iu_pcr,replace_mode,500,30,30,0.7578983516483516,8.881784197001253e-18,0.36156152814708375,0.383927473433426,,
ars_gsm8k_r1distill8b,gsm8k,math,su_pcr,replace_mode,500,30,30,0.7565045248868778,1.0658141036401503e-17,0.3471790268935914,0.3414072417747758,0.013793103448275862,True
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,fixed_all,621,28,22,0.7457496352822355,0.0,0.5361200561883104,0.06729797695019821,,
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,fixed_all,621,28,28,0.7431685557176524,0.0,0.5129518153222747,0.06973022976419813,,
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,fixed_all,621,28,28,0.6466025137470542,2.1453585016911236e-18,0.4904559754788459,0.5072159609633904,0.12698412698412698,True
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,remove_unstable,621,25,21,0.7461424082594547,5.720956004509663e-18,0.5414361979434525,0.0740881381130964,,
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,remove_unstable,621,25,25,0.7444310402872854,0.0,0.5243326989613952,0.0813955228650538,,
