cell_id,model_id,subset,method_id,method_label,l1,l2,effective_feature_count,maximum_absolute_share,negative_absolute_mass,detector_mean,detector_std
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,6.020707084460515,1.5836242088139387,14.454089284017146,0.09467810688745384,0.0,13.519020059210156,3.6892049989289024
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,iu_pcr_active23,IU-PCR,0.582408925738468,0.13663024069840027,18.170311702442554,0.07806561429886509,0.0,1.234381336408957,0.3576155694149585
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,1.8819078026900018,0.43996934503245977
processbench_gsm8k_qwen3_4b,qwen3_4b,gsm8k,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.478439353339219,0.9999999999999999,12.099540334858967,0.16574207647360392,0.003896099054053788,8.963718223868229,2.554271528572577
processbench_math_qwen3_4b,qwen3_4b,math,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,3.9738742408299923,1.0,15.791676481932146,0.08853208214342438,0.0,10.109617709370548,2.4671077594471837
processbench_math_qwen3_4b,qwen3_4b,math,iu_pcr_active23,IU-PCR,0.6419350067695246,0.14856620414903418,18.66990314576785,0.07237285554125479,0.0,1.3855259778348363,0.3559768765803404
processbench_math_qwen3_4b,qwen3_4b,math,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,2.049666768159064,0.3688692232111491
processbench_math_qwen3_4b,qwen3_4b,math,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.71268680719125,0.9999999999999997,13.784043328291963,0.1468878608447973,0.0033117698892992276,9.362544541160556,2.36358891452057
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,6.486809376463305,1.6858509084528184,14.805529466886469,0.08895680822602127,0.0,16.582717993680248,3.1540799509262287
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,iu_pcr_active23,IU-PCR,0.6464033054350733,0.14964160308385577,18.659604439478674,0.07128772969842655,0.0006257175479812083,1.509152126091892,0.30668841399145147
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,2.2069817696420406,0.29760570128421626
processbench_olympiadbench_qwen3_4b,qwen3_4b,olympiadbench,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.7593469964764354,1.0,14.132689839916395,0.14287667742165372,0.001966925376277927,10.09721465696899,2.0568089664691502
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,6.774290831571529,1.7775105729726937,14.524570203101284,0.08571073615856901,0.0,16.490427892529556,3.3057680792953876
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,iu_pcr_active23,IU-PCR,0.6532104808979081,0.15119023722389657,18.666323664724175,0.07120596290974131,0.0005095462506883824,1.399343611379142,0.3013964200716752
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,2.0750608230336582,0.24677676828118206
processbench_omnimath_qwen3_4b,qwen3_4b,omnimath,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.7702536182780997,1.0,14.214812346139102,0.14048105582726672,0.0022139495256129453,9.156677649359409,1.932950606660893
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,5.039157261734681,1.3033264688129642,14.948905394814203,0.0979550710628638,0.0,9.226725074820935,2.5842462747867305
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,iu_pcr_active23,IU-PCR,0.5766439412599792,0.13501585100776076,18.240886889987994,0.07881209023747274,0.0,1.1736681265806679,0.3622331604544728
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,1.7862263231836915,0.4332808826087772
processbench_gsm8k_qwen3_8b,qwen3_8b,gsm8k,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.4706540743107186,0.9999999999999998,12.045439703529594,0.17215279126635316,0.004372366041216429,8.566195685885337,2.5709392579108785
processbench_math_qwen3_8b,qwen3_8b,math,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,5.859107481195155,1.5123601933648128,15.009024072266106,0.0980436875176584,0.0,13.456899730355053,2.8045017180847265
processbench_math_qwen3_8b,qwen3_8b,math,iu_pcr_active23,IU-PCR,0.6401993273439477,0.14753795205438264,18.82881226956742,0.07308818576102119,0.0,1.3451221643137279,0.32955462970082267
processbench_math_qwen3_8b,qwen3_8b,math,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,1.9692559603493416,0.30648440605158095
processbench_math_qwen3_8b,qwen3_8b,math,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.7558977372007485,0.9999999999999999,14.106767812309705,0.15185820018728236,0.0037171488847738345,9.094962411435093,2.1660149732306007
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,6.4443541707749405,1.6478583495385954,15.29392820935677,0.08957954225948019,0.0,15.868024930109337,3.0258819889200614
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,iu_pcr_active23,IU-PCR,0.647106131575806,0.14896956244132223,18.8693067906923,0.0719168492952248,0.0,1.4748098902373412,0.30587992558525023
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,2.151424926070997,0.26050985695996703
processbench_olympiadbench_qwen3_8b,qwen3_8b,olympiadbench,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.804118795292217,0.9999999999999996,14.471319808695519,0.14761941376685792,0.002112691715712661,9.88163072995549,2.0032290991434243
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,6.649582300147612,1.7181224025861368,14.97892098388496,0.08769044101306697,0.0,15.48894678467646,3.0569399135618376
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,iu_pcr_active23,IU-PCR,0.6476302481752964,0.14884750644471903,18.93089393472316,0.07174786515818564,0.0002896620177965786,1.3578167043593696,0.29084443022880024
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,equal_family_active23,Equal-family,1.0,0.2891995221924885,11.956521739130439,0.2,0.0,2.000815893377967,0.22954493965993897
processbench_omnimath_qwen3_8b,qwen3_8b,omnimath,fixed_family_continuous_lsml_active23,Fixed-family L-SML,3.794005143697359,0.9999999999999997,14.39447503040203,0.14650101478125988,0.0018809694978848559,9.023082642419832,1.8762276936050366
