contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::official_macro_f1,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,-0.014069168676766775,-0.02392633928916833,-0.004635347487107384,1,0,7,-0.026017688529140715,processbench_gsm8k_qwen3_8b,3
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_exact,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,-0.01621643820963037,-0.02543141838963784,-0.007425370083889088,1,0,7,-0.03864734299516909,processbench_gsm8k_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_within_one,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,-0.011818964159785061,-0.022338957200437118,-0.0014072255208326283,2,1,5,-0.0408472012102874,processbench_olympiadbench_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::clean_abstention_accuracy,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::overall_decision_accuracy,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,-0.01006250000000003,-0.01574999999999993,-0.004624999999999935,1,0,7,-0.020000000000000018,processbench_gsm8k_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::official_macro_f1,P3B_H2_OUTER_IU,P3_H0_REFERENCE,macro_f1,-0.004240066956473498,-0.015408934802552631,0.006552301492919086,3,1,4,-0.01406215340119854,processbench_math_qwen3_4b,3
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::first_error_exact,P3B_H2_OUTER_IU,P3_H0_REFERENCE,first_error_exact,-0.004876886672420477,-0.015012918214832414,0.005166469858555829,3,1,4,-0.01932367149758457,processbench_gsm8k_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::first_error_within_one,P3B_H2_OUTER_IU,P3_H0_REFERENCE,first_error_within_one,0.0011585078348217426,-0.010242148923497351,0.012616897277199475,4,1,3,-0.018154311649016652,processbench_olympiadbench_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::clean_abstention_accuracy,P3B_H2_OUTER_IU,P3_H0_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::overall_decision_accuracy,P3B_H2_OUTER_IU,P3_H0_REFERENCE,overall_decision_accuracy,-0.0028750000000000164,-0.009000000000000008,0.003249999999999975,3,1,4,-0.010000000000000009,processbench_math_qwen3_4b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::official_macro_f1,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,macro_f1,0.009829101720293276,-0.00033036961509997216,0.020203820041356693,6,0,2,-0.005552653507011174,processbench_math_qwen3_4b,3
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::first_error_exact,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,first_error_exact,0.011339551537209891,0.0010645508444951963,0.02191355713467011,6,0,2,-0.006734006734006703,processbench_math_qwen3_4b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::first_error_within_one,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,first_error_within_one,0.012977471994606804,0.0018168883216902298,0.024243967028149953,8,0,0,0.003952569169960507,processbench_omnimath_qwen3_8b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::clean_abstention_accuracy,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::overall_decision_accuracy,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,overall_decision_accuracy,0.007187500000000013,0.0011875000000000635,0.013312499999999894,6,0,2,-0.0040000000000000036,processbench_math_qwen3_4b,1
