=== load the 23 source cells ===
loaded 23 cells
atoms: 17

=== crossed design: phi2-orthogonalization x winsorization ===
pooled cos(gamma3, g*) under three pooling conventions
 phi2?  winsor       raw   unitRMS  dir-only  percell med   signs
 False   0.000   +0.7617   +0.7837   +0.7254      +0.5129   13/17
 False   0.005   +0.7424   +0.7509   +0.7006      +0.4690   13/17
 False   0.010   +0.7335   +0.7452   +0.7003      +0.4445   13/17
 False   0.025   +0.7203   +0.7365   +0.7024      +0.3837   12/17
 False   0.050   +0.7064   +0.7171   +0.6810      +0.3982   11/17
 False   0.100   +0.6830   +0.6845   +0.6517      +0.3616   11/17
  True   0.000   -0.0806   -0.1254   -0.1261      +0.1535    7/17
  True   0.005   +0.2366   +0.1546   +0.1085      +0.3231    9/17
  True   0.010   +0.3350   +0.2757   +0.2141      +0.4470   12/17
  True   0.025   +0.4254   +0.3857   +0.3196      +0.4615   12/17
  True   0.050   +0.4648   +0.4317   +0.3793      +0.5612   11/17
  True   0.100   +0.4445   +0.4118   +0.3810      +0.4911   12/17

=== how much does removing phi2 change the probe itself? ===
                            cell      n  cos(phi3_base, phi3_corr)
           ars_gsm8k_r1distill8b    500                    +0.6365
  internalstates_gsm8k_qwen25_7b    500                    +0.4927
        lapeigvals_gsm8k_llama3b   1319                    +0.3650
        lapeigvals_gsm8k_llama8b    500                    +0.3238
     lapeigvals_gsm8k_mistral24b   1319                    +0.3013
           lapeigvals_gsm8k_nemo   1319                    +0.3506
          lapeigvals_gsm8k_phi35   1319                    +0.3290
           noise_gsm8k_mistral7b   1319                    +0.6033
            noise_gsm8k_phi3mini   1319                    +0.3546
         trace_gsm8k_llama8b_k10   5000                    +0.3734
       losnet_hotpotqa_mistral7b    500                    +0.6328
                math500_dsmath7b    300                    +0.6402
              math500_qwenmath7b    300                    +0.5313
             math500_r1distill8b    300                    +0.7433
      math500_r1distill8b_mn4096    300                    +0.6092
   trace_math500_qwenmath15b_k10   3000                    +0.8176
              se_nq_open_llama8b   8460                    +0.5701
                    sciq_llama8b    198                    +0.9631
             se_squad_v2_llama8b   2933                    +0.5639
         epr_triviaqa_mistral24b    621                    +0.5934
          seiclr_triviaqa_opt30b   5000                    +0.5156
     semenergy_triviaqa_qwen3_8b   4392                    +0.4152
              truthfulqa_llama8b   7633                    +0.8300
median cos between probes: +0.5639

elapsed 81.7s
