phase,candidate,utility,primary_rho_reduction,primary_rho_ci_low,primary_rho_ci_high,primary_auc_delta,primary_auc_ci_low,primary_auc_ci_high,primary_auc_p05,clean_auc_delta,stress_auc_delta,step,running_best,promoted
development,diag_var,-0.02919619564748619,-0.02918419086438582,-0.08316067453521142,0.016556813978003786,-6.002391550186115e-06,-3.416792133807498e-05,1.7995010959418485e-05,-8.361260073602161e-05,-2.0625727024103924e-06,-2.2695857370788608e-05,1,-0.02919619564748619,True
development,diag_mad,-0.007840681893618945,-0.007823382603096576,-0.02843477279456705,0.0129112241249194,-8.649645261184224e-06,-3.05281070095211e-05,6.3847811771791806e-06,-2.2725309382626292e-05,1.9073993795387656e-06,3.517000741036502e-05,2,-0.007840681893618945,True
development,gaussian_gls,-0.0907515044770916,-0.09080665354984019,-0.17793876140557274,-0.014057437415539161,2.7574536374291164e-05,-3.747235225351622e-05,0.00012039420941162759,-0.00012083867840246288,5.345618169630417e-06,-3.407067441889289e-05,3,-0.007840681893618945,False
development,lw_gls,-0.04957868129855301,-0.04959956002328808,-0.1533959576250109,0.04811761931459995,1.0439362367536259e-05,-8.961077570815626e-05,0.00015378787018421202,-0.0002929814751022386,-3.3755563512011255e-06,-1.3284687338355194e-05,4,-0.007840681893618945,True
development,hybrid_gls,-0.05308251488019104,-0.05312948895661553,-0.1522038555361551,0.035681274610273275,2.3487038212244987e-05,-5.839219767638515e-05,0.00014664050554594698,-0.00015898844461802452,1.062762915962634e-06,-9.0977711395962e-06,5,-0.007840681893618945,False
