step,candidate,utility,running_best
1,diag_var,-0.02919619564748619,-0.02919619564748619
2,diag_mad,-0.007840681893618945,-0.007840681893618945
3,gaussian_gls,-0.0907515044770916,-0.007840681893618945
4,lw_gls,-0.04957868129855301,-0.007840681893618945
5,hybrid_gls,-0.05308251488019104,-0.007840681893618945
