phase,world,repetition,auc_ols,rho_nrmse_ols,rho_cosine_ols,g2_ols,pair_rmse_ols,moment_condition_ols,auc_diag_var,rho_nrmse_diag_var,rho_cosine_diag_var,g2_diag_var,pair_rmse_diag_var,moment_condition_diag_var,auc_diag_mad,rho_nrmse_diag_mad,rho_cosine_diag_mad,g2_diag_mad,pair_rmse_diag_mad,moment_condition_diag_mad,auc_gaussian_gls,rho_nrmse_gaussian_gls,rho_cosine_gaussian_gls,g2_gaussian_gls,pair_rmse_gaussian_gls,moment_condition_gaussian_gls,auc_lw_gls,rho_nrmse_lw_gls,rho_cosine_lw_gls,g2_lw_gls,pair_rmse_lw_gls,moment_condition_lw_gls,auc_hybrid_gls,rho_nrmse_hybrid_gls,rho_cosine_hybrid_gls,g2_hybrid_gls,pair_rmse_hybrid_gls,moment_condition_hybrid_gls,auc_delta_ols,rho_relative_reduction_ols,auc_delta_diag_var,rho_relative_reduction_diag_var,auc_delta_diag_mad,rho_relative_reduction_diag_mad,auc_delta_gaussian_gls,rho_relative_reduction_gaussian_gls,auc_delta_lw_gls,rho_relative_reduction_lw_gls,auc_delta_hybrid_gls,rho_relative_reduction_hybrid_gls
development,clean_gaussian,0,0.6681935806090264,0.09045725298533996,0.9959395655440146,0.2123745819397993,0.013118174984658986,1.0,0.6681903293727439,0.09025047764876652,0.995927263717882,0.21070234113712372,0.013123613498586251,1.3419359799569999,0.6682063354590584,0.09088953307555048,0.9959211043627387,0.2132107023411371,0.013122828723402643,1.6669731520841076,0.6682025840325785,0.09168386637916728,0.9959894375324176,0.201505016722408,0.01321778877771341,17.932629276596426,0.6681918299433359,0.09103504017690653,0.9960629014355116,0.20401337792642138,0.01387866351469264,18.4486163886618,0.6681898291825468,0.09250917638945243,0.9959949376795002,0.201505016722408,0.013418114026510223,16.97662485550742,0.0,0.0,-3.2512362825309893e-06,0.0022858900723490617,1.2754850031937437e-05,-0.004778832829201566,9.003423552034207e-06,-0.013560144193330206,-1.7506656905252882e-06,-0.0063874059015899655,-3.751426479681186e-06,-0.02268390136081543
development,clean_gaussian,1,0.6662198093091865,0.06384346594791558,0.9984257387023827,0.21488294314381268,0.012954118546065962,1.0,0.666218308948725,0.06454372892317822,0.9984493351456081,0.21571906354515047,0.012959196793042716,1.4046688580280808,0.6662198093091866,0.06507147258831662,0.9984195898758343,0.21571906354515047,0.012956015550520054,1.5136008648068815,0.6663128316578057,0.058475595220030645,0.9984460518050368,0.20986622073578592,0.012995506097812776,17.699802126937904,0.6663213337004216,0.055065623825904346,0.9985036718680291,0.20401337792642138,0.013318471773128667,15.905752742105284,0.6663133317779595,0.05625899063172801,0.9984763624093513,0.20652173913043476,0.013101828959734375,15.2922244598123,0.0,0.0,-1.500360461426098e-06,-0.010968436078062518,1.1102230246251565e-16,-0.019234648716967093,9.302234861929826e-05,0.08407862336578098,0.00010152439123511936,0.13749006247616372,9.352246877303294e-05,0.11879798822727286
development,clean_gaussian,2,0.6783895320836383,0.2266469484436399,0.9977969847695463,0.25000000000000006,0.012403607015570403,1.0,0.6783912834080774,0.2264801770274864,0.9977856427886853,0.25000000000000006,0.012408391462176517,1.388649873352276,0.6783925343541054,0.2266189063372402,0.9977899419854769,0.25000000000000006,0.01240747961957022,1.5785555025738554,0.6783875305699936,0.20940084754828783,0.9978159027880705,0.24331103678929772,0.012429364200196311,25.167976930776884,0.6783977883274227,0.22374723799344556,0.9976750952117798,0.25000000000000006,0.012897914480916126,33.13401929640188,0.6783922841648996,0.216734253717385,0.9977567344237422,0.2466555183946489,0.012529914214256309,26.6367844629357,0.0,0.0,1.7513244391365035e-06,0.0007358202583266541,3.0022704671228695e-06,0.0001237259384789378,-2.0015136447115722e-06,0.0760923586825372,8.256243784421358e-06,0.01279395319501776,2.752081261325756e-06,0.04373628144689596
development,clean_gaussian,3,0.6671341036414565,0.18402647032093336,0.9970349453206867,0.2408026755852843,0.016077792378297935,1.0,0.6671371048419368,0.19028680066847045,0.9970195769795065,0.24331103678929766,0.016080897368221225,1.3206937734486526,0.6671438575430173,0.18785929978052657,0.9970914434180304,0.24247491638795987,0.016085538479119584,1.4976482173801078,0.6671338535414166,0.16444153670463166,0.9970246113045024,0.23244147157190634,0.016105619238333327,22.646347550738824,0.6670873349339737,0.15127855049063638,0.9967883299838393,0.22742474916387959,0.016392680922103706,23.285367454748755,0.6671038415366146,0.15601261336173558,0.9968873867078706,0.22909698996655517,0.016189866462648122,21.43830994548588,0.0,0.0,3.0012004802459913e-06,-0.034018640560704964,9.753901560771716e-06,-0.020827598621481504,-2.501000399002251e-07,0.10642454632771085,-4.676870748288042e-05,0.17795222487834617,-3.026210484191605e-05,0.1522273231138473
development,clean_gaussian,4,0.666376131511913,0.04709243954490402,0.9989125685453766,0.20903010033444816,0.012716337918979477,1.0,0.6663728811186154,0.0471877021559218,0.9988860677020612,0.21153846153846154,0.012720380603830002,1.4027120362095942,0.6663656302412593,0.04769623422472648,0.9988718195564062,0.20986622073578595,0.012723983272946639,1.5127362402628615,0.6663498783352786,0.050070152965935824,0.9988928091870946,0.2048494983277592,0.012733247031366787,16.98966732403746,0.6663643800899909,0.04831577967148528,0.9989773989622318,0.21739130434782608,0.012861939135966683,18.648131723389042,0.6663603796059323,0.045962875131407635,0.9989490534242752,0.20986622073578595,0.012761627007586922,16.381417480431914,0.0,0.0,-3.2503932976268857e-06,-0.0020228854554227363,-1.0501270653717754e-05,-0.012821478047105686,-2.6253176634405406e-05,-0.06323124156966298,-1.1751421922112648e-05,-0.025977420969852172,-1.5751905980687653e-05,0.023986109540902502
development,clean_gaussian,5,0.6742074185518547,0.20869632078273645,0.9978142363529492,0.245819397993311,0.012955135148681927,1.0,0.674206668551667,0.21533215405011208,0.997810081303111,0.2483277591973244,0.012956827890977622,1.3494677989215518,0.6742051685512921,0.20877642334557114,0.9978098879529984,0.245819397993311,0.012957403957057616,1.433388037559796,0.6741929185482297,0.18728033458517276,0.9978807858013153,0.23745819397993306,0.012990355812482276,23.622304138004587,0.6741879185469796,0.20853399349653656,0.9977058162006252,0.24498327759197322,0.013112344655792198,25.763910196311794,0.6742049185512297,0.19200009929642647,0.9978167459279812,0.23913043478260865,0.013005985465737767,22.93815840416738,0.0,0.0,-7.500001877325246e-07,-0.03179659920431503,-2.2500005626424624e-06,-0.00038382355057280153,-1.4500003625017577e-05,0.10261793843388453,-1.950000487516146e-05,0.0007778157544430321,-2.500000625071941e-06,0.08000247164688444
development,clean_gaussian,6,0.653257581439536,0.08445611643689271,0.998752125169222,0.21906354515050178,0.015066300118448348,1.0,0.6532483312082802,0.07488375388166159,0.9987757646662242,0.21488294314381282,0.01507453980235255,1.3845940159703176,0.6532625815645392,0.07513011774987992,0.9987598213930214,0.21488294314381282,0.01507403859258815,1.6025278747127099,0.6532640816020401,0.05848826439856807,0.9987407670735735,0.2048494983277593,0.015117970502077555,21.841670129211526,0.6532525813145329,0.05243772761351904,0.9986748850015031,0.19983277591973253,0.015319468545953834,19.87405679432901,0.6532468311707792,0.05577766743253982,0.9987013488185406,0.20317725752508373,0.015152773366688643,19.518526713820663,0.0,0.0,-9.250231255863994e-06,0.11334125885684601,5.000125003151723e-06,0.1104241951957493,6.5001625040306266e-06,0.3074715382801299,-5.000125003151723e-06,0.3791127294719896,-1.075026875685392e-05,0.33956627671179307
development,clean_gaussian,7,0.6792584281070522,0.14931227573184416,0.9971289133463749,0.22826086956521732,0.013126220505225787,1.0,0.6792551772219987,0.1471559200574063,0.9971219354725203,0.22742474916387953,0.013128981475402817,1.3176227036265262,0.6792559274262417,0.14518165378309977,0.9971100083948068,0.22658862876254174,0.013129273569078767,1.5833895467983206,0.6792356719116779,0.12870816077302533,0.9971112183949916,0.2190635451505016,0.013171920592210383,20.729650008882647,0.6792064139461969,0.13467064921597685,0.9972644119307611,0.2207357859531772,0.013403857449174958,21.417909355760386,0.6792336713670297,0.12762412515541205,0.9971955837252224,0.21822742474916382,0.013238332899646,19.823316807556044,0.0,0.0,-3.250885053485142e-06,0.014441918213718128,-2.500680810424427e-06,0.02766431580036375,-2.275619537428497e-05,0.13799344265360064,-5.201416085531818e-05,0.09806043370516118,-2.4756740022446877e-05,0.14525363350055337
development,sparse_gaussian,0,0.649219230480762,0.19571856577904037,0.9988214887393677,0.24999999999999994,0.01030274061375637,1.0,0.649241481037026,0.1957672618324797,0.9988318349614196,0.24999999999999994,0.010314151375750338,1.6275508325229529,0.6492252306307658,0.1956217257798408,0.9988156454340756,0.24999999999999994,0.010303977198693307,1.3875599772721527,0.6492067301682544,0.1944209931675715,0.998868571459136,0.24999999999999994,0.01057903336919203,100.0,0.6492249806245156,0.19689836870155278,0.9988464051513797,0.24999999999999994,0.010681802178646272,81.02800101684745,0.6492077301932548,0.19564428814819396,0.9988625459458844,0.24999999999999994,0.01060297879693049,90.2138393658032,0.0,0.0,2.2250556263925247e-05,-0.0002488065107428319,6.000150003737659e-06,0.0004947920950351023,-1.2500312507657263e-05,0.006629788064802999,5.750143753591175e-06,-0.006028058287726964,-1.150028750718235e-05,0.0003795124420127408
development,sparse_gaussian,1,0.6620640872285609,0.1451626890139601,0.998932363758009,0.25000000000000017,0.008555185935327506,1.0,0.6620698380566801,0.14494497519259686,0.9989383835467951,0.25000000000000017,0.008557538181591358,1.5599203847242944,0.662065587444592,0.1450376378833713,0.9989384486462205,0.25000000000000017,0.00855807376806351,1.4165550428311484,0.662058836472452,0.14672661556978697,0.998907377756956,0.25000000000000017,0.008617512457612407,95.38194765845103,0.6620510853562913,0.14724401449005403,0.998935313131521,0.25000000000000017,0.008650762437972182,65.48271267187411,0.6620583364004416,0.14692897006956232,0.9989227290116552,0.25000000000000017,0.008625228702388322,76.63972775435005,0.0,0.0,5.750828119155393e-06,0.0014997918737975338,1.5002160310695345e-06,0.0008614550435609334,-5.250756108909904e-06,-0.01077361246501643,-1.3001872269602366e-05,-0.014337881794676873,-5.750828119266416e-06,-0.012167596698489082
development,sparse_gaussian,2,0.6679960920750376,0.14799692329954825,0.9991344378101227,0.2198996655518395,0.011909925038589715,1.0,0.6679935889204369,0.15239261003911073,0.999152708303818,0.2215719063545151,0.011911423494125576,1.6154812203639983,0.6679963423904977,0.15461935990612066,0.9991463823513999,0.2224080267558529,0.011910626050727277,1.3248671977007929,0.6679320113172627,0.23158361823087428,0.99931492763712,0.25000000000000006,0.012145016752227508,100.0,0.667903725670276,0.2321523634277166,0.9993284875072163,0.25000000000000006,0.012242114194748913,86.02092247571974,0.6679147395505185,0.23184943525883656,0.9993226360960955,0.25000000000000006,0.012179109836531785,100.0,0.0,0.0,-2.5031546007081573e-06,-0.0297012035218856,2.503154600264068e-07,-0.04474712351366753,-6.40807577749758e-05,-0.5647867068261978,-9.23664047616235e-05,-0.568629659667098,-8.135252451912933e-05,-0.5665828051641508
development,sparse_gaussian,3,0.6595405865278752,0.22120441472496238,0.999514297738653,0.2500000000000001,0.009476960793963601,1.0,0.65954383945551,0.22058640867430668,0.9995157202981125,0.2500000000000001,0.009494574232262706,1.5545752992227597,0.6595475928335502,0.22128931584774825,0.999514422461251,0.2500000000000001,0.009478858929256153,1.3718230776040716,0.6595566009408467,0.22218263348431158,0.9995203153719862,0.2500000000000001,0.009538799616315053,100.0,0.659555600040036,0.21916058024241902,0.9995633508538736,0.2500000000000001,0.0096387937402117,94.18262252997678,0.659554849364428,0.22089970160845343,0.9995407175008822,0.2500000000000001,0.009553081325485038,100.0,0.0,0.0,3.252927634811442e-06,0.0027938233123480775,7.006305675072433e-06,-0.0003838129672549363,1.601441297149897e-05,-0.004422238862461481,1.5013512160821918e-05,0.009239573654419833,1.4262836552814129e-05,0.0013775182420587998
development,sparse_gaussian,4,0.6429387499999999,0.09294164137191198,0.9987843269623587,0.21153846153846165,0.014091969891842781,1.0,0.642977,0.13554693808476523,0.9988459850996453,0.2290969899665553,0.014102255977783746,1.7119373277709145,0.64291575,0.10097573337925972,0.9987898202237331,0.21488294314381282,0.014094606016953327,1.342815237217677,0.643071,0.16996577731995188,0.9989559828591213,0.2416387959866222,0.014457547592825857,100.0,0.6431025000000001,0.1884729944089726,0.999008973820038,0.2500000000000001,0.014688496090531971,83.18913985099448,0.643091,0.19042890753141212,0.9989893986237507,0.2500000000000001,0.01452494701843776,93.81177216385284,0.0,0.0,3.825000000012846e-05,-0.4584091273136332,-2.2999999999884224e-05,-0.0864423297100205,0.00013225000000005593,-0.8287365578039891,0.0001637500000002401,-1.0278638468816994,0.00015225000000007594,-1.0489083764762626
development,sparse_gaussian,5,0.6685475525606726,0.21303427965153376,0.99917683888166,0.25000000000000006,0.014641211362135411,1.0,0.6685555531387143,0.2115823154462586,0.9992251740076443,0.25000000000000006,0.014693404600198473,1.6193347230864972,0.6685348016394185,0.21379382394330762,0.999150689475873,0.25000000000000006,0.01465597972443989,1.3421444785570906,0.6685420521632689,0.12049616191445472,0.9990734859621485,0.21404682274247497,0.014815163967508146,100.0,0.6685518028677573,0.16780528321004823,0.9991029142815888,0.2332775919732442,0.014763756108878643,75.276953243737,0.6685453023980983,0.14516923534686585,0.9990867735776114,0.22408026755852847,0.01477468527844744,90.0401366536122,0.0,0.0,8.000578041733597e-06,0.006815636467724168,-1.275092125407884e-05,-0.0035653618422945774,-5.5003974036571535e-06,0.43438134880457685,4.250307084729954e-06,0.21230853792758417,-2.250162574268799e-06,0.31856396264187214
development,sparse_gaussian,6,0.6628863110301852,0.1977971666025844,0.9991668014061487,0.2500000000000001,0.012545525679452479,1.0,0.6628870611668977,0.1978430997304861,0.9991822761660011,0.2500000000000001,0.01255428823453578,1.612278725697841,0.662885310847902,0.19791726372722188,0.9991533991537681,0.2500000000000001,0.012551305781470566,1.3818980583181402,0.662857055698401,0.19473798801661935,0.9991842294418769,0.2500000000000001,0.012728173541731624,100.0,0.662852054786985,0.19365583714540605,0.9992432835437408,0.2500000000000001,0.012824882008262536,82.94009049971069,0.6628573057439718,0.19416692168764424,0.9992141959570316,0.2500000000000001,0.012761563740741578,92.96647807639721,0.0,0.0,7.501367124129743e-07,-0.00023222338666646308,-1.000182283217299e-06,-0.0006071731294218858,-2.925533178421702e-05,0.015466240687340628,-3.4256243200303516e-05,0.020937253694226086,-2.9005286213412695e-05,0.01835337167501352
