cell,argmin_RES_within_legacy_range,legacy_pinned_at_ceiling,argmin_RES_full_range,argmin_RES_paper_k1,argmax_AUROC,auroc_at_legacy_pick,auroc_at_full_pick,auroc_best_possible,auroc_spread_over_q,auroc_spread_k1,k_auto,lambda2_frac,lambda1_over_m,spearman_RES_vs_AUROC,auroc_monotone_in_q,criterion_points_wrong_way,g2_pre_exclusion_frac_of_var_y,g2_post_exclusion_frac_of_var_y,post_exclusion_at_ceiling,n_kept_after_exclusion,m_pool
ars_gsm8k_r1distill8b,0.05012531328320802,False,0.05012531328320802,0.05012531328320802,0.0,0.6487758564964448,0.6487758564964448,0.6520079185520362,0.038522139625080776,0.0,2,0.21481231614899682,0.31765662524277977,-0.9998997796432697,False,False,0.1806020066889632,0.4180602006672241,False,15,30
epr_triviaqa_mistral24b,0.040100250626566414,False,0.040100250626566414,0.03007518796992481,0.0,0.7319043878352598,0.7319043878352598,0.7360425317023902,0.08350634047806071,0.0,2,0.13428354724817526,0.4606977353796801,-0.9999838748888512,False,False,0.11705685618729096,0.9999999999960001,True,11,28
inside_coqa_llama7b,0.08020050125313283,False,0.08020050125313283,0.08020050125313283,4.0,0.5401375479475538,0.5401375479475538,0.5533996958406923,0.014920555287323611,0.0,2,0.1625373750893796,0.42111347271237237,0.9999173119831999,True,True,0.3110367892976589,0.9999999999960001,True,15,27
internalstates_gsm8k_qwen25_7b,0.05012531328320802,False,0.05012531328320802,0.02005012531328321,0.0,0.5709082499855467,0.5709082499855467,0.5818928137827368,0.07525389759303147,0.0,2,0.14619728275948318,0.40968657472095005,-0.9999101394912902,False,False,0.07023411371237459,0.9999999999960001,True,10,29
lapeigvals_gsm8k_llama3b,0.040100250626566414,False,0.040100250626566414,0.010025062656641603,0.0,0.6379409054095568,0.6379409054095568,0.646842796101321,0.06746353133930993,0.0,2,0.11874396060410045,0.4817820845122895,-0.9999875780467816,False,False,0.056856187290969896,0.9999999999960001,True,13,30
lapeigvals_gsm8k_llama8b,0.05012531328320802,False,0.05012531328320802,0.010025062656641603,0.0,0.6277724397469774,0.6277724397469774,0.6551165025222194,0.13237649131235474,0.0,2,0.10849832052737649,0.5092806756567357,-0.9999659214742226,False,False,0.06020066889632107,0.9999999999960001,True,14,29
lapeigvals_gsm8k_mistral24b,0.040100250626566414,False,0.040100250626566414,0.020050125313283207,0.0,0.6623322465691106,0.6623322465691106,0.6837819394950337,0.15616043672757596,0.0,2,0.1021355317590032,0.4906565294212106,-0.9999868749155248,False,False,0.07357859531772575,0.9999999999960001,True,13,30
lapeigvals_gsm8k_nemo,0.05012531328320802,False,0.05012531328320802,0.020050125313283207,0.0,0.6961040016250254,0.6961040016250254,0.7103432866138534,0.10794231159861878,0.0,2,0.15842976414758436,0.39956298154190173,-0.9999819061352214,False,False,0.08695652173913043,0.9999999999960001,True,10,29
lapeigvals_gsm8k_phi35,0.07017543859649122,False,0.07017543859649122,0.03007518796992481,0.0,0.6963438620849243,0.6963438620849243,0.7092800754723698,0.08282380583664861,0.0,2,0.1586165947004387,0.3740897877889752,-0.9999286089187762,False,False,0.13377926421404682,0.9999999999960001,True,11,29
losnet_hotpotqa_mistral7b,0.06015037593984962,False,0.06015037593984962,0.03007518796992481,0.0,0.5512075653837216,0.5512075653837216,0.5545326158851607,0.018931335919483816,0.0,2,0.16667070787803073,0.381801452823974,-0.9962856932663903,False,False,0.11371237458193979,0.9999999999960001,True,11,29
math500_dsmath7b,0.07017543859649122,False,0.07017543859649122,0.040100250626566414,0.0,0.6998050682261209,0.6998050682261209,0.7133780954443723,0.07457945274709421,0.0,2,0.1889298167150708,0.3621427017190382,-0.9998101437879945,False,False,0.1471571906354515,0.9999999999960001,True,11,30
math500_qwenmath7b,0.03007518796992481,False,0.03007518796992481,0.03007518796992481,0.0,0.8938894523326572,0.8938894523326572,0.8938894523326572,0.0,0.0,1,0.09415953048782733,0.6179536670689458,nan,True,False,0.11036789297658862,0.9999999999960001,True,14,28
math500_r1distill8b,0.08020050125313284,False,0.08020050125313284,0.030075187969924814,0.0,0.8008585090197783,0.8008585090197783,0.8172679852206042,0.1510541186698543,0.0,2,0.15894083829749142,0.521991102819669,-0.9998881550477314,False,False,0.14046822742474918,0.999999999996,True,13,28
math500_r1distill8b_mn4096,0.07017543859649122,False,0.07017543859649122,0.03007518796992481,0.0,0.8082294147867919,0.8082294147867919,0.8247629723039559,0.1411424034374853,0.0,2,0.11385770957081995,0.5817436771908303,-0.9999191396841307,False,False,0.11036789297658862,0.9999999999960001,True,15,29
noise_gsm8k_mistral7b,0.06015037593984962,False,0.06015037593984962,0.03007518796992481,0.0,0.681786829387177,0.681786829387177,0.6943495394745919,0.0921671594572101,0.0,2,0.17639423174566707,0.42321806769129655,-0.9999654997843735,False,False,0.11036789297658862,0.9999999999960001,True,10,29
noise_gsm8k_phi3mini,0.08020050125313283,False,0.08020050125313283,0.06015037593984962,0.0,0.6317617326102967,0.6317617326102967,0.637898618642744,0.04181729932382672,0.0,2,0.19799598231388468,0.32974331745730706,-0.9999056400219906,False,False,0.22408026755852842,0.9999999999960001,True,11,29
sciq_llama8b,0.05012531328320802,False,0.05012531328320802,0.030075187969924814,0.0,0.6959097641563177,0.6959097641563177,0.7117466104591547,0.1515324142645551,0.0,2,0.10116861474823831,0.49055700791716617,-0.9996594281284947,False,False,0.13377926421404682,0.9999999999960001,True,16,30
se_nq_open_llama8b,0.040100250626566414,False,0.040100250626566414,0.03007518796992481,0.0,0.7399990770405445,0.7399990770405445,0.7442966559500819,0.07654813163639318,0.0,2,0.14133747617580378,0.40817385743792184,-0.9999879999249994,True,False,0.11371237458193979,0.9999999999960001,True,9,27
se_squad_v2_llama8b,0.030075187969924814,False,0.030075187969924814,0.02005012531328321,0.0,0.7005996560202232,0.7005996560202232,0.7130371798275484,0.16505488670598967,0.0,2,0.13910454517144016,0.4005965526447957,-0.9999953124707027,False,False,0.06688963210702341,0.9999999999960001,True,9,27
seiclr_triviaqa_opt30b,0.040100250626566414,False,0.040100250626566414,0.020050125313283207,0.0,0.5542184606820248,0.5542184606820248,0.5566490340438309,0.029371202027541954,0.0,2,0.14352465157584104,0.3705889407062847,-0.9999879999249994,True,False,0.06354515050167224,0.9999999999960001,True,10,28
semenergy_triviaqa_qwen3_8b,0.03007518796992481,False,0.03007518796992481,0.03007518796992481,0.0,0.7532148714508609,0.7532148714508609,0.7552140352102197,0.035479130143482585,0.0,2,0.23282438477530318,0.33459643360594726,-0.9999855624097649,False,False,0.10367892976588629,0.9999999999960001,True,8,27
spilled_triviaqa_llama8b,0.030075187969924814,False,0.030075187969924814,0.030075187969924814,0.0,0.8733333333333333,0.8733333333333333,0.8906666666666666,0.34533333333333327,0.0,2,0.11190411486119026,0.5017765018865253,-0.9997145825089012,False,False,0.11371237458193979,0.999999999996,True,12,28
trace_gsm8k_llama8b_k10,0.05012531328320802,False,0.05012531328320802,0.020050125313283207,0.0,0.6700889328063241,0.6700889328063241,0.6917201910408433,0.12393013010540188,0.0,2,0.11463094997752049,0.5074521976477172,-0.9999756248476552,True,False,0.06020066889632107,0.9999999999960001,True,14,29
trace_math500_qwenmath15b_k10,0.03007518796992481,False,0.03007518796992481,0.010025062656641603,4.0,0.46246401547172156,0.46246401547172156,0.5023053813652356,0.04766749875110832,0.0,2,0.10289658847230211,0.5161952445512761,0.9999896874355464,False,True,0.05016722408026756,0.9999999999960001,True,11,30
truthfulqa_llama8b,0.040100250626566414,False,0.040100250626566414,0.040100250626566414,0.0,0.6415186276314092,0.6415186276314092,0.642996542414832,0.023664750455383965,0.0,2,0.17343658811689325,0.34458975212062665,-0.9999868749179682,True,False,0.15384615384615385,0.9999999999960001,True,13,29
