feature_name,source_cell_count,source_cell_fraction,missing_cells
epr,23,1.0,[]
trace_length,20,0.8695652173913043,"[""math500_qwenmath7b"", ""math500_r1distill8b"", ""math500_r1distill8b_mn4096""]"
spectral_entropy,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
low_band_power,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
high_band_power,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
hl_ratio,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
dominant_freq,20,0.8695652173913043,"[""math500_qwenmath7b"", ""math500_r1distill8b"", ""seiclr_triviaqa_opt30b""]"
spectral_centroid,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
stft_max_high_power,18,0.782608695652174,"[""se_nq_open_llama8b"", ""se_squad_v2_llama8b"", ""epr_triviaqa_mistral24b"", ""seiclr_triviaqa_opt30b"", ""semenergy_triviaqa_qwen3_8b""]"
stft_spectral_entropy,18,0.782608695652174,"[""se_nq_open_llama8b"", ""se_squad_v2_llama8b"", ""epr_triviaqa_mistral24b"", ""seiclr_triviaqa_opt30b"", ""semenergy_triviaqa_qwen3_8b""]"
rpdi,23,1.0,[]
sw_var_peak,23,1.0,[]
pe_mean,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
hurst_exponent,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
cusum_max,23,1.0,[]
cusum_shift_idx,22,0.9565217391304348,"[""seiclr_triviaqa_opt30b""]"
epr_spilled,23,1.0,[]
sw_var_peak_spilled,23,1.0,[]
cusum_max_spilled,23,1.0,[]
min_spilled,11,0.4782608695652174,"[""internalstates_gsm8k_qwen25_7b"", ""lapeigvals_gsm8k_llama8b"", ""lapeigvals_gsm8k_nemo"", ""lapeigvals_gsm8k_phi35"", ""noise_gsm8k_mistral7b"", ""noise_gsm8k_phi3mini"", ""trace_gsm8k_llama8b_k10"", ""losnet_hotpotqa_mistral7b"", ""se_nq_open_llama8b"", ""se_squad_v2_llama8b"", ""semenergy_triviaqa_qwen3_8b"", ""truthfulqa_llama8b""]"
epr_energy,23,1.0,[]
min_energy,23,1.0,[]
sw_var_peak_energy,23,1.0,[]
cusum_max_energy,23,1.0,[]
mean_top1_logprob,23,1.0,[]
logprob_margin,23,1.0,[]
mean_logprob_entropy,23,1.0,[]
varentropy,23,1.0,[]
renyi_entropy_2,23,1.0,[]
topk_tail_mass,23,1.0,[]
