feature_a,feature_b,joint_source_cells
epr,epr,23
epr,trace_length,20
epr,spectral_entropy,22
epr,low_band_power,22
epr,high_band_power,22
epr,hl_ratio,22
epr,dominant_freq,20
epr,spectral_centroid,22
epr,stft_max_high_power,18
epr,stft_spectral_entropy,18
epr,rpdi,23
epr,sw_var_peak,23
epr,pe_mean,22
epr,hurst_exponent,22
epr,cusum_max,23
epr,cusum_shift_idx,22
epr,epr_spilled,23
epr,sw_var_peak_spilled,23
epr,cusum_max_spilled,23
epr,min_spilled,11
epr,epr_energy,23
epr,min_energy,23
epr,sw_var_peak_energy,23
epr,cusum_max_energy,23
epr,mean_top1_logprob,23
epr,logprob_margin,23
epr,mean_logprob_entropy,23
epr,varentropy,23
epr,renyi_entropy_2,23
epr,topk_tail_mass,23
trace_length,trace_length,20
trace_length,spectral_entropy,19
trace_length,low_band_power,19
trace_length,high_band_power,19
trace_length,hl_ratio,19
trace_length,dominant_freq,19
trace_length,spectral_centroid,19
trace_length,stft_max_high_power,15
trace_length,stft_spectral_entropy,15
trace_length,rpdi,20
trace_length,sw_var_peak,20
trace_length,pe_mean,19
trace_length,hurst_exponent,19
trace_length,cusum_max,20
trace_length,cusum_shift_idx,19
trace_length,epr_spilled,20
trace_length,sw_var_peak_spilled,20
trace_length,cusum_max_spilled,20
trace_length,min_spilled,8
trace_length,epr_energy,20
trace_length,min_energy,20
trace_length,sw_var_peak_energy,20
trace_length,cusum_max_energy,20
trace_length,mean_top1_logprob,20
trace_length,logprob_margin,20
trace_length,mean_logprob_entropy,20
trace_length,varentropy,20
trace_length,renyi_entropy_2,20
trace_length,topk_tail_mass,20
spectral_entropy,spectral_entropy,22
spectral_entropy,low_band_power,22
spectral_entropy,high_band_power,22
spectral_entropy,hl_ratio,22
spectral_entropy,dominant_freq,20
spectral_entropy,spectral_centroid,22
spectral_entropy,stft_max_high_power,18
spectral_entropy,stft_spectral_entropy,18
spectral_entropy,rpdi,22
spectral_entropy,sw_var_peak,22
spectral_entropy,pe_mean,22
spectral_entropy,hurst_exponent,22
spectral_entropy,cusum_max,22
spectral_entropy,cusum_shift_idx,22
spectral_entropy,epr_spilled,22
spectral_entropy,sw_var_peak_spilled,22
spectral_entropy,cusum_max_spilled,22
spectral_entropy,min_spilled,10
spectral_entropy,epr_energy,22
spectral_entropy,min_energy,22
spectral_entropy,sw_var_peak_energy,22
spectral_entropy,cusum_max_energy,22
spectral_entropy,mean_top1_logprob,22
spectral_entropy,logprob_margin,22
spectral_entropy,mean_logprob_entropy,22
spectral_entropy,varentropy,22
spectral_entropy,renyi_entropy_2,22
spectral_entropy,topk_tail_mass,22
low_band_power,low_band_power,22
low_band_power,high_band_power,22
low_band_power,hl_ratio,22
low_band_power,dominant_freq,20
low_band_power,spectral_centroid,22
low_band_power,stft_max_high_power,18
low_band_power,stft_spectral_entropy,18
low_band_power,rpdi,22
low_band_power,sw_var_peak,22
low_band_power,pe_mean,22
low_band_power,hurst_exponent,22
low_band_power,cusum_max,22
low_band_power,cusum_shift_idx,22
low_band_power,epr_spilled,22
low_band_power,sw_var_peak_spilled,22
low_band_power,cusum_max_spilled,22
low_band_power,min_spilled,10
low_band_power,epr_energy,22
low_band_power,min_energy,22
low_band_power,sw_var_peak_energy,22
low_band_power,cusum_max_energy,22
low_band_power,mean_top1_logprob,22
low_band_power,logprob_margin,22
low_band_power,mean_logprob_entropy,22
low_band_power,varentropy,22
low_band_power,renyi_entropy_2,22
low_band_power,topk_tail_mass,22
high_band_power,high_band_power,22
high_band_power,hl_ratio,22
high_band_power,dominant_freq,20
high_band_power,spectral_centroid,22
high_band_power,stft_max_high_power,18
high_band_power,stft_spectral_entropy,18
high_band_power,rpdi,22
high_band_power,sw_var_peak,22
high_band_power,pe_mean,22
high_band_power,hurst_exponent,22
high_band_power,cusum_max,22
high_band_power,cusum_shift_idx,22
high_band_power,epr_spilled,22
high_band_power,sw_var_peak_spilled,22
high_band_power,cusum_max_spilled,22
high_band_power,min_spilled,10
high_band_power,epr_energy,22
high_band_power,min_energy,22
high_band_power,sw_var_peak_energy,22
high_band_power,cusum_max_energy,22
high_band_power,mean_top1_logprob,22
high_band_power,logprob_margin,22
high_band_power,mean_logprob_entropy,22
high_band_power,varentropy,22
high_band_power,renyi_entropy_2,22
high_band_power,topk_tail_mass,22
hl_ratio,hl_ratio,22
hl_ratio,dominant_freq,20
hl_ratio,spectral_centroid,22
hl_ratio,stft_max_high_power,18
hl_ratio,stft_spectral_entropy,18
hl_ratio,rpdi,22
hl_ratio,sw_var_peak,22
hl_ratio,pe_mean,22
hl_ratio,hurst_exponent,22
hl_ratio,cusum_max,22
hl_ratio,cusum_shift_idx,22
hl_ratio,epr_spilled,22
hl_ratio,sw_var_peak_spilled,22
hl_ratio,cusum_max_spilled,22
hl_ratio,min_spilled,10
hl_ratio,epr_energy,22
hl_ratio,min_energy,22
hl_ratio,sw_var_peak_energy,22
hl_ratio,cusum_max_energy,22
hl_ratio,mean_top1_logprob,22
hl_ratio,logprob_margin,22
hl_ratio,mean_logprob_entropy,22
hl_ratio,varentropy,22
hl_ratio,renyi_entropy_2,22
hl_ratio,topk_tail_mass,22
dominant_freq,dominant_freq,20
dominant_freq,spectral_centroid,20
dominant_freq,stft_max_high_power,16
dominant_freq,stft_spectral_entropy,16
dominant_freq,rpdi,20
dominant_freq,sw_var_peak,20
dominant_freq,pe_mean,20
dominant_freq,hurst_exponent,20
dominant_freq,cusum_max,20
dominant_freq,cusum_shift_idx,20
dominant_freq,epr_spilled,20
dominant_freq,sw_var_peak_spilled,20
dominant_freq,cusum_max_spilled,20
dominant_freq,min_spilled,8
dominant_freq,epr_energy,20
dominant_freq,min_energy,20
dominant_freq,sw_var_peak_energy,20
dominant_freq,cusum_max_energy,20
dominant_freq,mean_top1_logprob,20
dominant_freq,logprob_margin,20
dominant_freq,mean_logprob_entropy,20
dominant_freq,varentropy,20
dominant_freq,renyi_entropy_2,20
dominant_freq,topk_tail_mass,20
spectral_centroid,spectral_centroid,22
spectral_centroid,stft_max_high_power,18
spectral_centroid,stft_spectral_entropy,18
spectral_centroid,rpdi,22
spectral_centroid,sw_var_peak,22
spectral_centroid,pe_mean,22
spectral_centroid,hurst_exponent,22
spectral_centroid,cusum_max,22
spectral_centroid,cusum_shift_idx,22
spectral_centroid,epr_spilled,22
spectral_centroid,sw_var_peak_spilled,22
spectral_centroid,cusum_max_spilled,22
spectral_centroid,min_spilled,10
spectral_centroid,epr_energy,22
spectral_centroid,min_energy,22
spectral_centroid,sw_var_peak_energy,22
spectral_centroid,cusum_max_energy,22
spectral_centroid,mean_top1_logprob,22
spectral_centroid,logprob_margin,22
spectral_centroid,mean_logprob_entropy,22
spectral_centroid,varentropy,22
spectral_centroid,renyi_entropy_2,22
spectral_centroid,topk_tail_mass,22
stft_max_high_power,stft_max_high_power,18
stft_max_high_power,stft_spectral_entropy,18
stft_max_high_power,rpdi,18
stft_max_high_power,sw_var_peak,18
stft_max_high_power,pe_mean,18
