feature_a,feature_b,joint_source_cells
stft_max_high_power,hurst_exponent,18
stft_max_high_power,cusum_max,18
stft_max_high_power,cusum_shift_idx,18
stft_max_high_power,epr_spilled,18
stft_max_high_power,sw_var_peak_spilled,18
stft_max_high_power,cusum_max_spilled,18
stft_max_high_power,min_spilled,9
stft_max_high_power,epr_energy,18
stft_max_high_power,min_energy,18
stft_max_high_power,sw_var_peak_energy,18
stft_max_high_power,cusum_max_energy,18
stft_max_high_power,mean_top1_logprob,18
stft_max_high_power,logprob_margin,18
stft_max_high_power,mean_logprob_entropy,18
stft_max_high_power,varentropy,18
stft_max_high_power,renyi_entropy_2,18
stft_max_high_power,topk_tail_mass,18
stft_spectral_entropy,stft_spectral_entropy,18
stft_spectral_entropy,rpdi,18
stft_spectral_entropy,sw_var_peak,18
stft_spectral_entropy,pe_mean,18
stft_spectral_entropy,hurst_exponent,18
stft_spectral_entropy,cusum_max,18
stft_spectral_entropy,cusum_shift_idx,18
stft_spectral_entropy,epr_spilled,18
stft_spectral_entropy,sw_var_peak_spilled,18
stft_spectral_entropy,cusum_max_spilled,18
stft_spectral_entropy,min_spilled,9
stft_spectral_entropy,epr_energy,18
stft_spectral_entropy,min_energy,18
stft_spectral_entropy,sw_var_peak_energy,18
stft_spectral_entropy,cusum_max_energy,18
stft_spectral_entropy,mean_top1_logprob,18
stft_spectral_entropy,logprob_margin,18
stft_spectral_entropy,mean_logprob_entropy,18
stft_spectral_entropy,varentropy,18
stft_spectral_entropy,renyi_entropy_2,18
stft_spectral_entropy,topk_tail_mass,18
rpdi,rpdi,23
rpdi,sw_var_peak,23
rpdi,pe_mean,22
rpdi,hurst_exponent,22
rpdi,cusum_max,23
rpdi,cusum_shift_idx,22
rpdi,epr_spilled,23
rpdi,sw_var_peak_spilled,23
rpdi,cusum_max_spilled,23
rpdi,min_spilled,11
rpdi,epr_energy,23
rpdi,min_energy,23
rpdi,sw_var_peak_energy,23
rpdi,cusum_max_energy,23
rpdi,mean_top1_logprob,23
rpdi,logprob_margin,23
rpdi,mean_logprob_entropy,23
rpdi,varentropy,23
rpdi,renyi_entropy_2,23
rpdi,topk_tail_mass,23
sw_var_peak,sw_var_peak,23
sw_var_peak,pe_mean,22
sw_var_peak,hurst_exponent,22
sw_var_peak,cusum_max,23
sw_var_peak,cusum_shift_idx,22
sw_var_peak,epr_spilled,23
sw_var_peak,sw_var_peak_spilled,23
sw_var_peak,cusum_max_spilled,23
sw_var_peak,min_spilled,11
sw_var_peak,epr_energy,23
sw_var_peak,min_energy,23
sw_var_peak,sw_var_peak_energy,23
sw_var_peak,cusum_max_energy,23
sw_var_peak,mean_top1_logprob,23
sw_var_peak,logprob_margin,23
sw_var_peak,mean_logprob_entropy,23
sw_var_peak,varentropy,23
sw_var_peak,renyi_entropy_2,23
sw_var_peak,topk_tail_mass,23
pe_mean,pe_mean,22
pe_mean,hurst_exponent,22
pe_mean,cusum_max,22
pe_mean,cusum_shift_idx,22
pe_mean,epr_spilled,22
pe_mean,sw_var_peak_spilled,22
pe_mean,cusum_max_spilled,22
pe_mean,min_spilled,10
pe_mean,epr_energy,22
pe_mean,min_energy,22
pe_mean,sw_var_peak_energy,22
pe_mean,cusum_max_energy,22
pe_mean,mean_top1_logprob,22
pe_mean,logprob_margin,22
pe_mean,mean_logprob_entropy,22
pe_mean,varentropy,22
pe_mean,renyi_entropy_2,22
pe_mean,topk_tail_mass,22
hurst_exponent,hurst_exponent,22
hurst_exponent,cusum_max,22
hurst_exponent,cusum_shift_idx,22
hurst_exponent,epr_spilled,22
hurst_exponent,sw_var_peak_spilled,22
hurst_exponent,cusum_max_spilled,22
hurst_exponent,min_spilled,10
hurst_exponent,epr_energy,22
hurst_exponent,min_energy,22
hurst_exponent,sw_var_peak_energy,22
hurst_exponent,cusum_max_energy,22
hurst_exponent,mean_top1_logprob,22
hurst_exponent,logprob_margin,22
hurst_exponent,mean_logprob_entropy,22
hurst_exponent,varentropy,22
hurst_exponent,renyi_entropy_2,22
hurst_exponent,topk_tail_mass,22
cusum_max,cusum_max,23
cusum_max,cusum_shift_idx,22
cusum_max,epr_spilled,23
cusum_max,sw_var_peak_spilled,23
cusum_max,cusum_max_spilled,23
cusum_max,min_spilled,11
cusum_max,epr_energy,23
cusum_max,min_energy,23
cusum_max,sw_var_peak_energy,23
cusum_max,cusum_max_energy,23
cusum_max,mean_top1_logprob,23
cusum_max,logprob_margin,23
cusum_max,mean_logprob_entropy,23
cusum_max,varentropy,23
cusum_max,renyi_entropy_2,23
cusum_max,topk_tail_mass,23
cusum_shift_idx,cusum_shift_idx,22
cusum_shift_idx,epr_spilled,22
cusum_shift_idx,sw_var_peak_spilled,22
cusum_shift_idx,cusum_max_spilled,22
cusum_shift_idx,min_spilled,10
cusum_shift_idx,epr_energy,22
cusum_shift_idx,min_energy,22
cusum_shift_idx,sw_var_peak_energy,22
cusum_shift_idx,cusum_max_energy,22
cusum_shift_idx,mean_top1_logprob,22
cusum_shift_idx,logprob_margin,22
cusum_shift_idx,mean_logprob_entropy,22
cusum_shift_idx,varentropy,22
cusum_shift_idx,renyi_entropy_2,22
cusum_shift_idx,topk_tail_mass,22
epr_spilled,epr_spilled,23
epr_spilled,sw_var_peak_spilled,23
epr_spilled,cusum_max_spilled,23
epr_spilled,min_spilled,11
epr_spilled,epr_energy,23
epr_spilled,min_energy,23
epr_spilled,sw_var_peak_energy,23
epr_spilled,cusum_max_energy,23
epr_spilled,mean_top1_logprob,23
epr_spilled,logprob_margin,23
epr_spilled,mean_logprob_entropy,23
epr_spilled,varentropy,23
epr_spilled,renyi_entropy_2,23
epr_spilled,topk_tail_mass,23
sw_var_peak_spilled,sw_var_peak_spilled,23
sw_var_peak_spilled,cusum_max_spilled,23
sw_var_peak_spilled,min_spilled,11
sw_var_peak_spilled,epr_energy,23
sw_var_peak_spilled,min_energy,23
sw_var_peak_spilled,sw_var_peak_energy,23
sw_var_peak_spilled,cusum_max_energy,23
sw_var_peak_spilled,mean_top1_logprob,23
sw_var_peak_spilled,logprob_margin,23
sw_var_peak_spilled,mean_logprob_entropy,23
sw_var_peak_spilled,varentropy,23
sw_var_peak_spilled,renyi_entropy_2,23
sw_var_peak_spilled,topk_tail_mass,23
cusum_max_spilled,cusum_max_spilled,23
cusum_max_spilled,min_spilled,11
cusum_max_spilled,epr_energy,23
cusum_max_spilled,min_energy,23
cusum_max_spilled,sw_var_peak_energy,23
cusum_max_spilled,cusum_max_energy,23
cusum_max_spilled,mean_top1_logprob,23
cusum_max_spilled,logprob_margin,23
cusum_max_spilled,mean_logprob_entropy,23
cusum_max_spilled,varentropy,23
cusum_max_spilled,renyi_entropy_2,23
cusum_max_spilled,topk_tail_mass,23
min_spilled,min_spilled,11
min_spilled,epr_energy,11
min_spilled,min_energy,11
min_spilled,sw_var_peak_energy,11
min_spilled,cusum_max_energy,11
min_spilled,mean_top1_logprob,11
min_spilled,logprob_margin,11
min_spilled,mean_logprob_entropy,11
min_spilled,varentropy,11
min_spilled,renyi_entropy_2,11
min_spilled,topk_tail_mass,11
epr_energy,epr_energy,23
epr_energy,min_energy,23
epr_energy,sw_var_peak_energy,23
epr_energy,cusum_max_energy,23
epr_energy,mean_top1_logprob,23
epr_energy,logprob_margin,23
epr_energy,mean_logprob_entropy,23
epr_energy,varentropy,23
epr_energy,renyi_entropy_2,23
epr_energy,topk_tail_mass,23
min_energy,min_energy,23
min_energy,sw_var_peak_energy,23
min_energy,cusum_max_energy,23
min_energy,mean_top1_logprob,23
min_energy,logprob_margin,23
min_energy,mean_logprob_entropy,23
min_energy,varentropy,23
min_energy,renyi_entropy_2,23
min_energy,topk_tail_mass,23
sw_var_peak_energy,sw_var_peak_energy,23
sw_var_peak_energy,cusum_max_energy,23
sw_var_peak_energy,mean_top1_logprob,23
sw_var_peak_energy,logprob_margin,23
sw_var_peak_energy,mean_logprob_entropy,23
sw_var_peak_energy,varentropy,23
sw_var_peak_energy,renyi_entropy_2,23
sw_var_peak_energy,topk_tail_mass,23
cusum_max_energy,cusum_max_energy,23
cusum_max_energy,mean_top1_logprob,23
cusum_max_energy,logprob_margin,23
cusum_max_energy,mean_logprob_entropy,23
cusum_max_energy,varentropy,23
cusum_max_energy,renyi_entropy_2,23
cusum_max_energy,topk_tail_mass,23
mean_top1_logprob,mean_top1_logprob,23
mean_top1_logprob,logprob_margin,23
mean_top1_logprob,mean_logprob_entropy,23
mean_top1_logprob,varentropy,23
mean_top1_logprob,renyi_entropy_2,23
mean_top1_logprob,topk_tail_mass,23
logprob_margin,logprob_margin,23
logprob_margin,mean_logprob_entropy,23
logprob_margin,varentropy,23
logprob_margin,renyi_entropy_2,23
logprob_margin,topk_tail_mass,23
mean_logprob_entropy,mean_logprob_entropy,23
mean_logprob_entropy,varentropy,23
mean_logprob_entropy,renyi_entropy_2,23
mean_logprob_entropy,topk_tail_mass,23
varentropy,varentropy,23
varentropy,renyi_entropy_2,23
varentropy,topk_tail_mass,23
renyi_entropy_2,renyi_entropy_2,23
renyi_entropy_2,topk_tail_mass,23
topk_tail_mass,topk_tail_mass,23
