cell,fold,feature,early,late,position_intercept
pb_gsm8k_q4,0,entropy15,-2.18830638840745,-1.2922703850188224,0.22928525835376803
pb_gsm8k_q4,0,varentropy15,0.44664324098868696,0.8992349283007458,0.22928525835376803
pb_gsm8k_q4,0,moment3_15,1.3217311517123822,-3.963103086678257,0.22928525835376803
pb_gsm8k_q4,0,selected_surprisal,0.2524834568659663,-1.7823832009276774,0.22928525835376803
pb_gsm8k_q4,0,selected_squared,6.248329454503472,2.519285764455754,0.22928525835376803
pb_gsm8k_q4,0,selected_cubed,2.1602984432559658,3.972285003129502,0.22928525835376803
pb_gsm8k_q4,0,moment4_15,0.639574306852165,-0.6585863992260164,0.22928525835376803
pb_gsm8k_q4,0,selected_power4,-2.0122822340429414,3.2925048152890315,0.22928525835376803
pb_gsm8k_q4,0,moment5_15,0.26236779666985904,2.1450350121604838,0.22928525835376803
pb_gsm8k_q4,0,selected_power5,-4.405963272811207,2.5036254351118137,0.22928525835376803
pb_gsm8k_q4,0,moment6_15,0.725472820397808,4.422524210504208,0.22928525835376803
pb_gsm8k_q4,0,selected_power6,-5.626531444573124,1.9669624164208555,0.22928525835376803
pb_gsm8k_q4,1,entropy15,-1.7628282431662148,-3.1990132295935356,-0.059840217434167974
pb_gsm8k_q4,1,varentropy15,0.775532968270393,-0.1736956759723775,-0.059840217434167974
pb_gsm8k_q4,1,moment3_15,0.6618564179473876,-3.9176355552976547,-0.059840217434167974
pb_gsm8k_q4,1,selected_surprisal,1.7612962971794641,0.6114937067264156,-0.059840217434167974
pb_gsm8k_q4,1,selected_squared,3.2280589242302007,1.5890898906250235,-0.059840217434167974
pb_gsm8k_q4,1,selected_cubed,0.6435859713911277,1.3033732135075615,-0.059840217434167974
pb_gsm8k_q4,1,moment4_15,0.09842579657678485,0.044760927491013756,-0.059840217434167974
pb_gsm8k_q4,1,selected_power4,-1.9174841338363737,0.7941698514755063,-0.059840217434167974
pb_gsm8k_q4,1,moment5_15,0.08672364881709214,3.0288043244674445,-0.059840217434167974
pb_gsm8k_q4,1,selected_power5,-3.401662041614887,0.44179923859594067,-0.059840217434167974
pb_gsm8k_q4,1,moment6_15,1.066576974182817,4.749701833990845,-0.059840217434167974
pb_gsm8k_q4,1,selected_power6,-4.149669607831266,0.23820497812679306,-0.059840217434167974
pb_gsm8k_q4,2,entropy15,-2.1017772323613535,-2.305082481050022,-0.14680851320075752
pb_gsm8k_q4,2,varentropy15,0.6950665005203188,0.649118026351759,-0.14680851320075752
pb_gsm8k_q4,2,moment3_15,1.3954707782228735,-3.5527043901632887,-0.14680851320075752
pb_gsm8k_q4,2,selected_surprisal,0.54738647338178,0.0522584802003499,-0.14680851320075752
pb_gsm8k_q4,2,selected_squared,2.553432659235523,1.459298944468984,-0.14680851320075752
pb_gsm8k_q4,2,selected_cubed,1.1302360279038701,1.460497743070854,-0.14680851320075752
pb_gsm8k_q4,2,moment4_15,0.3655330242848952,-0.27873866358452304,-0.14680851320075752
pb_gsm8k_q4,2,selected_power4,-1.2352964726872642,0.8568677174520186,-0.14680851320075752
pb_gsm8k_q4,2,moment5_15,0.10333878461354029,2.3302210155845033,-0.14680851320075752
pb_gsm8k_q4,2,selected_power5,-2.7994026362162128,0.30355046167640654,-0.14680851320075752
pb_gsm8k_q4,2,moment6_15,0.6407281035645986,4.202187246540354,-0.14680851320075752
pb_gsm8k_q4,2,selected_power6,-3.637609916852477,-0.07971756404216387,-0.14680851320075752
pb_gsm8k_q4,3,entropy15,-1.3449364833948547,-3.1221213893094695,-0.16903705623242252
pb_gsm8k_q4,3,varentropy15,-0.4774103139204237,0.7745011267226309,-0.16903705623242252
pb_gsm8k_q4,3,moment3_15,-0.021730156833566782,-3.8704137079240972,-0.16903705623242252
pb_gsm8k_q4,3,selected_surprisal,0.34885058668966556,0.10992860305000164,-0.16903705623242252
pb_gsm8k_q4,3,selected_squared,3.311998066476859,1.6664402045577653,-0.16903705623242252
pb_gsm8k_q4,3,selected_cubed,1.1180411594942297,1.5039234336494276,-0.16903705623242252
pb_gsm8k_q4,3,moment4_15,0.519532200732928,-0.007858840050752379,-0.16903705623242252
pb_gsm8k_q4,3,selected_power4,-1.542359146692937,0.8141386812298979,-0.16903705623242252
pb_gsm8k_q4,3,moment5_15,0.8940592868651626,2.636852946011391,-0.16903705623242252
pb_gsm8k_q4,3,selected_power5,-3.0675528322414003,0.30646614877802586,-0.16903705623242252
pb_gsm8k_q4,3,moment6_15,1.6313489050323373,3.925794080709526,-0.16903705623242252
pb_gsm8k_q4,3,selected_power6,-3.79622180208939,0.022228323141070365,-0.16903705623242252
pb_gsm8k_q4,4,entropy15,-2.381931853075263,-2.9893015310808653,-0.09611662984621813
pb_gsm8k_q4,4,varentropy15,0.02671904494234399,1.4480141741655368,-0.09611662984621813
pb_gsm8k_q4,4,moment3_15,0.7969894579998349,-3.068546602135446,-0.09611662984621813
pb_gsm8k_q4,4,selected_surprisal,2.133337632491296,-0.5811728357902274,-0.09611662984621813
pb_gsm8k_q4,4,selected_squared,0.826209058508448,2.479371648254903,-0.09611662984621813
pb_gsm8k_q4,4,selected_cubed,-0.40373711725496325,1.960725252105482,-0.09611662984621813
pb_gsm8k_q4,4,moment4_15,1.0518832123454123,-0.2955078996340513,-0.09611662984621813
pb_gsm8k_q4,4,selected_power4,-1.5876758715408665,1.1836194895172125,-0.09611662984621813
pb_gsm8k_q4,4,moment5_15,0.753090201853757,2.0493175907648773,-0.09611662984621813
