contrast_id,left_variant_id,right_variant_id,task_id,population_id,metric_id,delta,ci_low,ci_high,p_adjusted,wins,ties,losses,worst_unit_delta,inference
pb::R0_ENTROPY_MAX::R3_IU29::official_macro_f1,R0_ENTROPY_MAX,R3_IU29,processbench_first_error,current_common_eight_qwen,macro_f1,-0.011314408825505995,-0.026548249518630225,0.004092617040180528,,1,0,7,-0.024572783016994337,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R0_ENTROPY_MAX::R3_IU29::first_error_exact,R0_ENTROPY_MAX,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_exact,-0.014181948627452784,-0.029200914639556336,0.0006718288063162655,,0,1,7,-0.024154589371980673,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R0_ENTROPY_MAX::R3_IU29::first_error_within_one,R0_ENTROPY_MAX,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_within_one,-0.007728765432836959,-0.02385807204169886,0.00885401269795897,,2,1,5,-0.03479576399394857,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R0_ENTROPY_MAX::R3_IU29::clean_abstention_accuracy,R0_ENTROPY_MAX,R3_IU29,processbench_first_error,current_common_eight_qwen,clean_abstention_accuracy,0.015991159535587718,0.005602531899120918,0.026734367846566486,,7,0,1,-0.004149377593360981,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R0_ENTROPY_MAX::R3_IU29::overall_decision_accuracy,R0_ENTROPY_MAX,R3_IU29,processbench_first_error,current_common_eight_qwen,overall_decision_accuracy,-0.002375000000000016,-0.012312499999999948,0.007500000000000062,,3,2,3,-0.015000000000000013,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R1_ENTROPY_TOP5::R3_IU29::official_macro_f1,R1_ENTROPY_TOP5,R3_IU29,processbench_first_error,current_common_eight_qwen,macro_f1,0.03817494518190401,0.019931366394001053,0.05691372771374294,,8,0,0,0.02337142624100763,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R1_ENTROPY_TOP5::R3_IU29::first_error_exact,R1_ENTROPY_TOP5,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_exact,0.04524190688927915,0.024338513615444375,0.06622039561917645,,8,0,0,0.023715415019762848,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R1_ENTROPY_TOP5::R3_IU29::first_error_within_one,R1_ENTROPY_TOP5,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_within_one,0.018589070449722966,-0.0020202578845737854,0.03936081522603889,,8,0,0,0.0039525691699604515,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R1_ENTROPY_TOP5::R3_IU29::clean_abstention_accuracy,R1_ENTROPY_TOP5,R3_IU29,processbench_first_error,current_common_eight_qwen,clean_abstention_accuracy,-0.011139517809799049,-0.023779873356567335,0.0011321123526113427,,0,1,7,-0.02904564315352698,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R1_ENTROPY_TOP5::R3_IU29::overall_decision_accuracy,R1_ENTROPY_TOP5,R3_IU29,processbench_first_error,current_common_eight_qwen,overall_decision_accuracy,0.023062499999999986,0.00974960937499987,0.03649999999999998,,8,0,0,0.01100000000000001,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R2_FAMILY6_TOP5_CURRENT::R3_IU29::official_macro_f1,R2_FAMILY6_TOP5_CURRENT,R3_IU29,processbench_first_error,current_common_eight_qwen,macro_f1,0.02638187227439137,0.007465551014368617,0.045154136424920284,,8,0,0,0.008228572176583682,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R2_FAMILY6_TOP5_CURRENT::R3_IU29::first_error_exact,R2_FAMILY6_TOP5_CURRENT,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_exact,0.027381762327167825,0.007099181600960625,0.047630096242481774,,8,0,0,0.006587615283267456,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R2_FAMILY6_TOP5_CURRENT::R3_IU29::first_error_within_one,R2_FAMILY6_TOP5_CURRENT,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_within_one,-0.009225582027824974,-0.030621882679235497,0.012699637850522406,,2,0,6,-0.026936026936026924,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R2_FAMILY6_TOP5_CURRENT::R3_IU29::clean_abstention_accuracy,R2_FAMILY6_TOP5_CURRENT,R3_IU29,processbench_first_error,current_common_eight_qwen,clean_abstention_accuracy,0.014843507367161113,0.002502386049443007,0.027712537368253576,,7,1,0,0.0,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R2_FAMILY6_TOP5_CURRENT::R3_IU29::overall_decision_accuracy,R2_FAMILY6_TOP5_CURRENT,R3_IU29,processbench_first_error,current_common_eight_qwen,overall_decision_accuracy,0.021187500000000026,0.008125000000000049,0.034125000000000016,,8,0,0,0.007999999999999952,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R4_MIND_GAP::R3_IU29::official_macro_f1,R4_MIND_GAP,R3_IU29,processbench_first_error,current_common_eight_qwen,macro_f1,-0.029999056630588328,-0.05199997242022482,-0.008819796120496753,,1,0,7,-0.07524930776683114,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R4_MIND_GAP::R3_IU29::first_error_exact,R4_MIND_GAP,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_exact,-0.027817905313300917,-0.04904804814957376,-0.006994805200529633,,1,0,7,-0.06763285024154592,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R4_MIND_GAP::R3_IU29::first_error_within_one,R4_MIND_GAP,R3_IU29,processbench_first_error,current_common_eight_qwen,first_error_within_one,-0.03394551425367709,-0.05812788591208153,-0.010396811243729391,,0,0,8,-0.07246376811594196,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R4_MIND_GAP::R3_IU29::clean_abstention_accuracy,R4_MIND_GAP,R3_IU29,processbench_first_error,current_common_eight_qwen,clean_abstention_accuracy,-0.02566149557699171,-0.04041914600855705,-0.011041084648146042,,4,0,4,-0.09359605911330049,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R4_MIND_GAP::R3_IU29::overall_decision_accuracy,R4_MIND_GAP,R3_IU29,processbench_first_error,current_common_eight_qwen,overall_decision_accuracy,-0.02531250000000007,-0.03931249999999997,-0.011624999999999996,,1,0,7,-0.07500000000000001,familywise Bonferroni percentile interval across four planned incumbent contrasts
pb::R1_ENTROPY_TOP5::R0_ENTROPY_MAX::official_macro_f1,R1_ENTROPY_TOP5,R0_ENTROPY_MAX,processbench_first_error,current_common_eight_qwen,macro_f1,0.04948935400741,0.034853630499483645,0.0639961203028812,,8,0,0,0.03265836514141246,unadjusted parent diagnostic interval
pb::R1_ENTROPY_TOP5::R0_ENTROPY_MAX::first_error_exact,R1_ENTROPY_TOP5,R0_ENTROPY_MAX,processbench_first_error,current_common_eight_qwen,first_error_exact,0.05942385551673193,0.04343192008574519,0.07563540684680414,,8,0,0,0.030303030303030304,unadjusted parent diagnostic interval
pb::R1_ENTROPY_TOP5::R0_ENTROPY_MAX::first_error_within_one,R1_ENTROPY_TOP5,R0_ENTROPY_MAX,processbench_first_error,current_common_eight_qwen,first_error_within_one,0.026317835882559926,0.009966882269945946,0.042607366780969616,,7,0,1,-0.0033670033670033517,unadjusted parent diagnostic interval
pb::R1_ENTROPY_TOP5::R0_ENTROPY_MAX::clean_abstention_accuracy,R1_ENTROPY_TOP5,R0_ENTROPY_MAX,processbench_first_error,current_common_eight_qwen,clean_abstention_accuracy,-0.027130677345386767,-0.03721711022819642,-0.017182652473563334,,0,0,8,-0.047197640117994044,unadjusted parent diagnostic interval
pb::R1_ENTROPY_TOP5::R0_ENTROPY_MAX::overall_decision_accuracy,R1_ENTROPY_TOP5,R0_ENTROPY_MAX,processbench_first_error,current_common_eight_qwen,overall_decision_accuracy,0.025437500000000002,0.015062500000000032,0.035937499999999956,,8,0,0,0.01100000000000001,unadjusted parent diagnostic interval
pb::R2_FAMILY6_TOP5_CURRENT::R1_ENTROPY_TOP5::official_macro_f1,R2_FAMILY6_TOP5_CURRENT,R1_ENTROPY_TOP5,processbench_first_error,current_common_eight_qwen,macro_f1,-0.011793072907512636,-0.022482621329807446,-0.0009033203984559809,,1,0,7,-0.02550533102989705,unadjusted parent diagnostic interval
pb::R2_FAMILY6_TOP5_CURRENT::R1_ENTROPY_TOP5::first_error_exact,R2_FAMILY6_TOP5_CURRENT,R1_ENTROPY_TOP5,processbench_first_error,current_common_eight_qwen,first_error_exact,-0.017860144562111324,-0.029355432913759843,-0.006044062467338216,,1,0,7,-0.033816425120772986,unadjusted parent diagnostic interval
pb::R2_FAMILY6_TOP5_CURRENT::R1_ENTROPY_TOP5::first_error_within_one,R2_FAMILY6_TOP5_CURRENT,R1_ENTROPY_TOP5,processbench_first_error,current_common_eight_qwen,first_error_within_one,-0.02781465247754794,-0.040926115187500854,-0.015091309229976054,,0,0,8,-0.04040404040404039,unadjusted parent diagnostic interval
pb::R2_FAMILY6_TOP5_CURRENT::R1_ENTROPY_TOP5::clean_abstention_accuracy,R2_FAMILY6_TOP5_CURRENT,R1_ENTROPY_TOP5,processbench_first_error,current_common_eight_qwen,clean_abstention_accuracy,0.02598302517696016,0.01630903502127847,0.03601346324511655,,8,0,0,0.010362694300518116,unadjusted parent diagnostic interval
pb::R2_FAMILY6_TOP5_CURRENT::R1_ENTROPY_TOP5::overall_decision_accuracy,R2_FAMILY6_TOP5_CURRENT,R1_ENTROPY_TOP5,processbench_first_error,current_common_eight_qwen,overall_decision_accuracy,-0.00187499999999996,-0.009937500000000044,0.006250000000000033,,4,0,4,-0.014000000000000012,unadjusted parent diagnostic interval
prm::R0_ENTROPY_MAX::R3_IU29::auroc,R0_ENTROPY_MAX,R3_IU29,prmbench_step_error,prmbench_error_responses,auroc,-0.00670316768617385,-0.008432351432861175,-0.004989424240747979,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R0_ENTROPY_MAX::R3_IU29::auprc,R0_ENTROPY_MAX,R3_IU29,prmbench_step_error,prmbench_error_responses,auprc,-0.0042390818891634985,-0.005564356579788185,-0.00295705940214781,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R1_ENTROPY_TOP5::R3_IU29::auroc,R1_ENTROPY_TOP5,R3_IU29,prmbench_step_error,prmbench_error_responses,auroc,0.010736035925090093,0.008197230319102189,0.013304112432635122,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R1_ENTROPY_TOP5::R3_IU29::auprc,R1_ENTROPY_TOP5,R3_IU29,prmbench_step_error,prmbench_error_responses,auprc,0.010559665048610029,0.008669401596920897,0.01246816285412295,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R2_FAMILY6_TOP5_CURRENT::R3_IU29::auroc,R2_FAMILY6_TOP5_CURRENT,R3_IU29,prmbench_step_error,prmbench_error_responses,auroc,-0.0032539201421795116,-0.006006223028187946,-0.0006081424954064182,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R2_FAMILY6_TOP5_CURRENT::R3_IU29::auprc,R2_FAMILY6_TOP5_CURRENT,R3_IU29,prmbench_step_error,prmbench_error_responses,auprc,0.0020580514323545185,-4.2772092178033025e-05,0.00423574396388907,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R4_MIND_GAP::R3_IU29::auroc,R4_MIND_GAP,R3_IU29,prmbench_step_error,prmbench_error_responses,auroc,-0.033949185374545054,-0.0376592669510234,-0.03019308174495765,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
prm::R4_MIND_GAP::R3_IU29::auprc,R4_MIND_GAP,R3_IU29,prmbench_step_error,prmbench_error_responses,auprc,-0.020271818121082252,-0.02392381344347139,-0.01686535809946946,,,,,,familywise Bonferroni percentile interval across four planned incumbent contrasts
