lane,cell,split,condition,n,target_smoothness_effect,target_smoothness_z,length_smoothness_effect,length_smoothness_z,target_smoother_than_length
global24,ars_gsm8k_r1distill8b,validation,original,500,0.1626270990465764,8.191418997464945,0.5606280407264792,27.438884588862408,False
global24,ars_gsm8k_r1distill8b,validation,drop_length_fixed_gates,500,0.15449237611913616,6.971542943449053,0.5040151286839585,23.10367553683965,False
global24,ars_gsm8k_r1distill8b,validation,drop_length_refit_gates,500,0.14489144135969076,7.970517207076722,0.4088370425823536,18.791864836454458,False
global24,epr_triviaqa_mistral24b,validation,original,621,0.15943530966548852,8.844085672162876,0.8768099781938603,47.445093656852926,False
global24,epr_triviaqa_mistral24b,validation,drop_length_fixed_gates,621,0.14918264106008705,8.048406275962586,0.7560467689335417,39.27689053498687,False
global24,epr_triviaqa_mistral24b,validation,drop_length_refit_gates,621,0.15086786303240135,8.177969913242581,0.7064818742902378,35.54987490789695,False
global24,internalstates_gsm8k_qwen25_7b,validation,original,500,0.15034004594220193,6.9868391824306295,0.3222081976022836,17.355094892291074,False
global24,internalstates_gsm8k_qwen25_7b,validation,drop_length_fixed_gates,500,0.1501010721166427,7.270129169836818,0.3204919969542101,15.343318514909893,False
global24,internalstates_gsm8k_qwen25_7b,validation,drop_length_refit_gates,500,0.15383618883457234,7.357822519981747,0.31850137369548703,16.333583642073926,False
global24,lapeigvals_gsm8k_llama3b,validation,original,1319,0.128715836536507,10.169952091008803,0.5775130481708198,44.449874659674904,False
global24,lapeigvals_gsm8k_llama3b,validation,drop_length_fixed_gates,1319,0.13204981714468925,11.1652346928356,0.5256987986373204,38.01113408417391,False
global24,lapeigvals_gsm8k_llama3b,validation,drop_length_refit_gates,1319,0.13914385408719124,10.729148390263093,0.5315478502009385,45.423068102577716,False
global24,lapeigvals_gsm8k_llama8b,validation,original,500,0.30391830669433484,15.900045707765821,0.6798381352368447,34.148946804310754,False
global24,lapeigvals_gsm8k_llama8b,validation,drop_length_fixed_gates,500,0.2884915317756026,15.269169241391896,0.559498687734034,29.42912532938991,False
global24,lapeigvals_gsm8k_llama8b,validation,drop_length_refit_gates,500,0.2913735952529028,14.50891269822185,0.5606320527947232,28.74889417168183,False
global24,lapeigvals_gsm8k_mistral24b,validation,original,1319,0.26663006773564857,22.674157176166435,0.6068544413658075,46.27820839144324,False
global24,lapeigvals_gsm8k_mistral24b,validation,drop_length_fixed_gates,1319,0.2688162946503376,21.91284092229157,0.47270807686490934,38.076754964215326,False
global24,lapeigvals_gsm8k_mistral24b,validation,drop_length_refit_gates,1319,0.26881642478852075,20.72692799952253,0.3402697855532697,30.04698248055028,False
global24,lapeigvals_gsm8k_nemo,validation,original,1319,0.18243043599210748,14.32937501401443,0.3688996410927455,30.815751006911825,False
global24,lapeigvals_gsm8k_nemo,validation,drop_length_fixed_gates,1319,0.18155787794206668,14.586959900826672,0.3668566346176304,30.761765720076674,False
global24,lapeigvals_gsm8k_nemo,validation,drop_length_refit_gates,1319,0.18256570888550958,13.39983994642084,0.33828189906772627,27.34433364034112,False
global24,lapeigvals_gsm8k_phi35,validation,original,1319,0.21061964715707382,15.495995033330079,0.41797963488314727,30.401090429310187,False
global24,lapeigvals_gsm8k_phi35,validation,drop_length_fixed_gates,1319,0.21076107199759456,20.03612781178402,0.4082513827177768,31.599561711752443,False
global24,lapeigvals_gsm8k_phi35,validation,drop_length_refit_gates,1319,0.21612549012387114,16.589578000848437,0.4072928924060207,30.55151066140238,False
global24,losnet_hotpotqa_mistral7b,validation,original,500,0.03151432264917063,1.5696796342987984,0.6718026128981756,32.097511020960326,False
global24,losnet_hotpotqa_mistral7b,validation,drop_length_fixed_gates,500,0.031759963863589556,1.5657137340473204,0.5557571412874719,28.564302553176248,False
global24,losnet_hotpotqa_mistral7b,validation,drop_length_refit_gates,500,0.04162988581858464,2.0755768931663865,0.46956894935358906,22.39667659187347,False
global24,math500_dsmath7b,validation,original,300,0.14270282969780687,5.189417830133287,0.8100505718348804,29.227479611884075,False
global24,math500_dsmath7b,validation,drop_length_fixed_gates,300,0.13781513779147886,4.849948112664723,0.7104386344034491,27.86432612478168,False
global24,math500_dsmath7b,validation,drop_length_refit_gates,300,0.15131502923137052,5.741925411204482,0.7164893903660376,25.017237764460813,False
global24,noise_gsm8k_mistral7b,validation,original,1319,0.28508497051098447,21.95486446889182,0.8195535549239401,59.49871852752633,False
global24,noise_gsm8k_mistral7b,validation,drop_length_fixed_gates,1319,0.25978100996716796,18.797877525958537,0.5788277901494012,45.31747292979974,False
global24,noise_gsm8k_mistral7b,validation,drop_length_refit_gates,1319,0.25574899646113397,19.76235517439318,0.5624905450904004,48.89215842355924,False
global24,noise_gsm8k_phi3mini,validation,original,1319,0.10679439667269314,7.823477295467512,0.3752410346109364,30.17901186466795,False
global24,noise_gsm8k_phi3mini,validation,drop_length_fixed_gates,1319,0.10740122302658343,9.436926591579264,0.3661921594730518,29.883298991095803,False
global24,noise_gsm8k_phi3mini,validation,drop_length_refit_gates,1319,0.10963220424646211,9.151232436174023,0.388087832425492,32.29779523025088,False
global24,sciq_llama8b,validation,original,198,0.15181480226365798,4.44424525888246,0.823294100600928,23.304888027690996,False
global24,sciq_llama8b,validation,drop_length_fixed_gates,198,0.15014324379993502,4.754253947386083,0.7436320484127086,23.243480221231874,False
global24,sciq_llama8b,validation,drop_length_refit_gates,198,0.11881231229482542,3.4521311908455816,0.7266234320528268,24.145410750301064,False
global24,se_nq_open_llama8b,validation,original,8460,0.4378765617938963,91.14315389088398,0.9492317962620166,171.07653235596467,False
global24,se_nq_open_llama8b,validation,drop_length_fixed_gates,8460,0.4316653587669985,77.67453510928473,0.8867655091264235,153.76386404108771,False
global24,se_nq_open_llama8b,validation,drop_length_refit_gates,8460,0.42726234174010225,80.00163821847612,0.7794979281111399,153.5274051853773,False
global24,se_squad_v2_llama8b,validation,original,2933,0.7487931891497122,82.94819476139122,0.8729866857301303,96.60017290612578,False
global24,se_squad_v2_llama8b,validation,drop_length_fixed_gates,2933,0.7424079898149848,79.56244396030345,0.7940956538497087,78.75609427760249,False
global24,se_squad_v2_llama8b,validation,drop_length_refit_gates,2933,0.7484284899694285,82.06101235739982,0.7201437699495019,82.89789819996001,True
global24,seiclr_triviaqa_opt30b,validation,original,5000,0.80430445431019,111.19265753662448,0.840790505671137,110.93203485479756,False
global24,seiclr_triviaqa_opt30b,validation,drop_length_fixed_gates,5000,0.8026290588849271,107.14877180798904,0.7608262342487984,119.2662115532584,True
global24,seiclr_triviaqa_opt30b,validation,drop_length_refit_gates,5000,0.8004430614838713,111.50348998677343,0.7607924252849847,101.5779861666882,True
global24,semenergy_triviaqa_qwen3_8b,validation,original,4392,0.8898674779056139,113.81681686190663,0.9727152864315097,117.29916228550505,False
global24,semenergy_triviaqa_qwen3_8b,validation,drop_length_fixed_gates,4392,0.8895032555473308,115.35616987926795,0.9540930537187888,122.85630764890331,False
global24,semenergy_triviaqa_qwen3_8b,validation,drop_length_refit_gates,4392,0.8812265966843298,105.84620148119559,0.9432349050771474,133.83113081548987,False
global24,spilled_triviaqa_llama8b,validation,original,256,0.12671643338700672,4.495772638471609,0.7426530158149387,27.60973656789028,False
global24,spilled_triviaqa_llama8b,validation,drop_length_fixed_gates,256,0.1264615736395088,5.047240374450325,0.6361433847506034,20.491063522595862,False
global24,spilled_triviaqa_llama8b,validation,drop_length_refit_gates,256,0.12796879475005923,4.549721913771547,0.6537040033438436,24.126170751709658,False
global24,trace_gsm8k_llama8b_k10,validation,original,5000,0.31956479978416824,45.35610379683055,0.8394297745886673,126.62122465712609,False
global24,trace_gsm8k_llama8b_k10,validation,drop_length_fixed_gates,5000,0.3167517314196669,47.82624040553739,0.7554134120147596,122.41512413236127,False
global24,trace_gsm8k_llama8b_k10,validation,drop_length_refit_gates,5000,0.3160596347017817,48.06740563706295,0.7549964317865899,118.49431541870271,False
global24,trace_math500_qwenmath15b_k10,validation,original,3000,0.0988092948578158,12.235697804765657,0.8584797776835451,98.59261237490124,False
global24,trace_math500_qwenmath15b_k10,validation,drop_length_fixed_gates,3000,0.09699824914253664,11.75284622139903,0.7943832084383857,94.72990569873996,False
global24,trace_math500_qwenmath15b_k10,validation,drop_length_refit_gates,3000,0.09833690022994845,11.778198270763212,0.7867129089645646,96.97236592336304,False
global24,truthfulqa_llama8b,validation,original,7633,0.22489674002014615,48.21315639011678,0.9590664112858253,182.17980944664626,False
global24,truthfulqa_llama8b,validation,drop_length_fixed_gates,7633,0.22081483886511571,42.54236714257963,0.9227180497771157,164.90348398053095,False
global24,truthfulqa_llama8b,validation,drop_length_refit_gates,7633,0.22251471088144845,38.09508914046416,0.9190122914567712,171.77919784276494,False
processbench,qwen3_8b__gsm8k,model_validation,original,400,0.2233650118720737,9.509394460614518,0.4106008966178768,18.834589851491753,False
processbench,qwen3_8b__gsm8k,model_validation,drop_length_fixed_gates,400,0.21985168427556714,9.18643964968085,0.3929693178516599,17.907705515081815,False
processbench,qwen3_8b__gsm8k,model_validation,drop_length_refit_gates,400,0.21651483766902774,8.924716524761221,0.4000468155288032,17.41442832773724,False
processbench,qwen3_8b__math,model_validation,original,1000,0.2801455054708982,19.619589465290865,0.8787387335751055,60.35866215703601,False
processbench,qwen3_8b__math,model_validation,drop_length_fixed_gates,1000,0.2746751336458946,17.318884762681826,0.7876641474153597,52.36266611649492,False
processbench,qwen3_8b__math,model_validation,drop_length_refit_gates,1000,0.26985569914867397,18.914033105330134,0.7314049843131374,51.59740535457716,False
processbench,qwen3_8b__olympiadbench,model_validation,original,1000,0.24482465811331153,16.803661464773548,0.5600808118813233,36.70794513850967,False
processbench,qwen3_8b__olympiadbench,model_validation,drop_length_fixed_gates,1000,0.24236196437772758,15.338744734671675,0.5225263172159331,36.12170118045994,False
processbench,qwen3_8b__olympiadbench,model_validation,drop_length_refit_gates,1000,0.24507636731606244,16.59033524160762,0.5236431342556644,35.22642885907538,False
processbench,qwen3_8b__omnimath,model_validation,original,1000,0.3272347497278764,21.563606329396038,0.6991091172221324,47.115061491055954,False
processbench,qwen3_8b__omnimath,model_validation,drop_length_fixed_gates,1000,0.3096395699701573,20.281211863645964,0.5494139285168333,38.328882355768144,False
