lane,condition,cells,median_target_smoothness_effect,median_length_smoothness_effect,fraction_target_smoother_than_length
global24,original,21,0.18243043599210748,0.8100505718348804,0.0
global24,drop_length_fixed_gates,21,0.18155787794206668,0.6361433847506034,0.047619047619047616
global24,drop_length_refit_gates,21,0.18256570888550958,0.6537040033438436,0.09523809523809523
processbench,original,4,0.2624850817921049,0.6295949645517278,0.0
processbench,drop_length_fixed_gates,4,0.2585185490118111,0.5359701228663832,0.0
processbench,drop_length_refit_gates,4,0.2574660332323682,0.5357091874072623,0.0
ragtruth,original,1,0.3130227158704341,0.9395445111355238,0.0
ragtruth,drop_length_fixed_gates,1,0.3042329597678443,0.8771054023834495,0.0
ragtruth,drop_length_refit_gates,1,0.30624362881829564,0.8077725401113112,0.0
