method,macro_auroc,difference_vs_worst_group_pp,test_sets_better,test_sets_worse,wilcoxon_p
Localize to a RANDOM group (control),0.7301996436241542,2.222835012041957,18,7,0.03180783987045288
"Worst group + smoothness, graph = anchor only",0.7112218662204646,0.3250572716729905,10,9,0.7475000777680043
"Worst group + smoothness, graph = group minus candidate",0.7092453351104575,0.12740416067228422,8,9,0.9057940914405992
Localize to worst-fitting group,0.7079712935037347,0.0,0,0,nan
"Worst group + smoothness, graph = the group itself",0.7063711788479309,-0.1600114655803786,8,12,0.3317228918094638
Worst group + coin-flip tie-break (control),0.706282591529684,-0.1688701974050688,8,9,0.8684061308988609
"Worst group + smoothness, graph = all 30 measurements",0.6997395485950781,-0.8231744908656524,6,11,0.14879179284657834
Remove globally (no groups),0.6980267121496252,-0.9944581354109472,8,13,0.13054460509877688
