model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.303808779180163,0.2318840579710145,0.5169082125603864,0.44041450777202074,0.3325,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.27195800936940473,0.18855218855218855,0.43434343434343436,0.4876847290640394,0.31,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.28207953520985674,0.19364599092284418,0.4372163388804841,0.5191740412979351,0.304,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.24230907286586006,0.15019762845849802,0.33992094861660077,0.6265560165975104,0.265,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.3117852330442594,0.22705314009661837,0.47342995169082125,0.49740932642487046,0.3575,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.2721880170638092,0.18013468013468015,0.4208754208754209,0.5566502463054187,0.333,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.26660398977583216,0.17246596066565809,0.4145234493192133,0.5870206489675516,0.313,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.24126485318668367,0.14624505928853754,0.3438735177865613,0.6887966804979253,0.277,1000,759,241
