outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4779,2021,90.44674618120946,78.0,168.19999999999982
error,4442,3718,724,93.34588488434642,82.0,170.30000000000018
clean,2358,1061,1297,80.28746465598492,68.0,153.0
