source_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,notes
panel::official_macro_f1,current_common_eight_qwen,aggregate,all,macro_f1,0.2739996862119836,0.25515347267752125,0.2914824578690824,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_exact,current_common_eight_qwen,aggregate,all,first_error_exact,0.18627233826125494,0.1693861479410019,0.20395509631238437,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_within_one,current_common_eight_qwen,aggregate,all,first_error_within_one,0.42263640925911533,0.40150788535142035,0.44375644275832465,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::clean_abstention_accuracy,current_common_eight_qwen,aggregate,all,clean_abstention_accuracy,0.5504632746159089,0.5229656149061255,0.5777235037036598,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::overall_decision_accuracy,current_common_eight_qwen,aggregate,all,overall_decision_accuracy,0.3115,0.29574843749999996,0.32731250000000006,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
cell::processbench_gsm8k_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_4b,gsm8k,macro_f1,0.303808779180163,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_4b,math,macro_f1,0.27195800936940473,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_4b,olympiadbench,macro_f1,0.28207953520985674,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_omnimath_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_omnimath_qwen3_4b,omnimath,macro_f1,0.24230907286586006,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_gsm8k_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_8b,gsm8k,macro_f1,0.3117852330442594,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_8b,math,macro_f1,0.2721880170638092,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_8b,olympiadbench,macro_f1,0.26660398977583216,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
