contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm
resid_target_nll_burst__iu_pcr_minus_resid_target_nll_burst__equal_mean,resid_target_nll_burst__iu_pcr,resid_target_nll_burst__equal_mean,auprc,-0.04186508300846682,-0.04978859872813913,-0.034968066603035704,1,0,12,-0.14251854085634255,0.00048828125,0.015625
resid_target_nll_burst__dufs_liu_pcr_minus_resid_target_nll_burst__best_layer_oracle,resid_target_nll_burst__dufs_liu_pcr,resid_target_nll_burst__best_layer_oracle,auroc,-0.16169425727132314,-0.17533790827637416,-0.14723971789713736,0,0,13,-0.40150735294117645,0.000244140625,0.01171875
resid_target_nll_burst__dufs_liu_pcr_minus_resid_target_nll_burst__best_layer_oracle,resid_target_nll_burst__dufs_liu_pcr,resid_target_nll_burst__best_layer_oracle,auprc,-0.14630275216130575,-0.16059016755973612,-0.13064745061319408,0,0,13,-0.2905868692733795,0.000244140625,0.01171875
resid_target_nll_burst__dufs_liu_pcr_minus_resid_target_nll_burst__equal_mean,resid_target_nll_burst__dufs_liu_pcr,resid_target_nll_burst__equal_mean,auroc,-0.05719679229646914,-0.06500631555171278,-0.05002493943474741,1,0,12,-0.1406243595314024,0.00048828125,0.015625
resid_target_nll_burst__dufs_liu_pcr_minus_resid_target_nll_burst__equal_mean,resid_target_nll_burst__dufs_liu_pcr,resid_target_nll_burst__equal_mean,auprc,-0.04231726361400313,-0.05045653846058422,-0.035319351802803496,1,0,12,-0.14265416947753856,0.001708984375,0.042724609375
module_entropy_disagreement__iu_pcr_minus_module_entropy_disagreement__best_layer_oracle,module_entropy_disagreement__iu_pcr,module_entropy_disagreement__best_layer_oracle,auroc,-0.088342839374486,-0.10197777304292853,-0.0733304462071288,3,0,10,-0.42799632352941186,0.010498046875,0.157470703125
module_entropy_disagreement__iu_pcr_minus_module_entropy_disagreement__best_layer_oracle,module_entropy_disagreement__iu_pcr,module_entropy_disagreement__best_layer_oracle,auprc,-0.08000851157484005,-0.09688862072298123,-0.06441787255451202,3,0,10,-0.33607903636090747,0.01708984375,0.157470703125
module_entropy_disagreement__iu_pcr_minus_module_entropy_disagreement__equal_mean,module_entropy_disagreement__iu_pcr,module_entropy_disagreement__equal_mean,auroc,-0.05686956014677837,-0.06655946540362413,-0.04649424293854349,2,1,10,-0.1873161764705883,0.013427734375,0.157470703125
module_entropy_disagreement__iu_pcr_minus_module_entropy_disagreement__equal_mean,module_entropy_disagreement__iu_pcr,module_entropy_disagreement__equal_mean,auprc,-0.049497918606473235,-0.059922647932659744,-0.03806493194757919,3,0,10,-0.2298145848768628,0.026611328125,0.15966796875
module_entropy_disagreement__dufs_liu_pcr_minus_module_entropy_disagreement__best_layer_oracle,module_entropy_disagreement__dufs_liu_pcr,module_entropy_disagreement__best_layer_oracle,auroc,-0.08946133108677821,-0.1032285431012115,-0.07455375928293254,3,0,10,-0.43136029411764715,0.010498046875,0.157470703125
