cell,contract,selected_feature,auroc,auprc,selection_uses_evaluation_outcomes
gsm8k_t1.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.7651521398532202,0.625888742146143,True
gsm8k_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.7863032901789395,0.6473263691947608,True
gsm8k_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_30,0.7686979467304362,0.6168658096414261,True
gsm8k_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_13,0.6811247629257029,0.5247880901391481,True
gsm8k_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_17,0.6638080316648802,0.40352475577344477,True
gsm8k_t1.0,resid_kl_tail,resid_kl_tail.layer_12,0.7729755916549849,0.5999747256859135,True
triviaqa_t1.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.7775551470588236,0.8711492946495639,True
triviaqa_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.8103308823529412,0.8961680588329126,True
triviaqa_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.8443933823529411,0.9096766145782197,True
triviaqa_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_00,0.8117830882352942,0.8863999950197314,True
triviaqa_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_31,0.7925367647058823,0.897877134742312,True
triviaqa_t1.0,resid_kl_tail,resid_kl_tail.layer_30,0.7762867647058823,0.8470386852910978,True
sciq_t1.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.7714677716902599,0.37173818121072594,True
sciq_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.7690018633367633,0.3968947630644842,True
sciq_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.692799733014434,0.20618744249574647,True
sciq_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_17,0.7521113181485294,0.3353511365667837,True
sciq_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_19,0.7411537855401359,0.28067693717001707,True
sciq_t1.0,resid_kl_tail,resid_kl_tail.layer_29,0.7886456971753298,0.3394966047876962,True
truthfulqa_t0.5,resid_entropy_burst,resid_entropy_burst.layer_30,0.6653386792625546,0.9260792592276218,True
truthfulqa_t0.5,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.6516946961791252,0.9316461218991989,True
truthfulqa_t0.5,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.6361214917339485,0.9223795297464417,True
truthfulqa_t0.5,module_entropy_disagreement,module_entropy_disagreement.layer_05,0.5811376576774501,0.8959835846977732,True
truthfulqa_t0.5,module_target_nll_disagreement,module_target_nll_disagreement.layer_30,0.6026187729993958,0.9055556357306497,True
truthfulqa_t0.5,resid_kl_tail,resid_kl_tail.layer_29,0.5097714798337636,0.884802792961638,True
squadv2_t0.5,resid_entropy_burst,resid_entropy_burst.layer_28,0.766121550503195,0.6464038086964603,True
squadv2_t0.5,resid_entropy_dispersion,resid_entropy_dispersion.layer_27,0.7641906099787847,0.6546554746236838,True
squadv2_t0.5,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.689383918659277,0.5377143100434532,True
squadv2_t0.5,module_entropy_disagreement,module_entropy_disagreement.layer_29,0.7243098703064457,0.6275608162201922,True
squadv2_t0.5,module_target_nll_disagreement,module_target_nll_disagreement.layer_22,0.7463271068025618,0.6174698018051329,True
squadv2_t0.5,resid_kl_tail,resid_kl_tail.layer_30,0.7099971526709843,0.6334342397950534,True
nq_open_t0.5,resid_entropy_burst,resid_entropy_burst.layer_31,0.7097837911762308,0.6824535117783076,True
nq_open_t0.5,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.7316095539547258,0.7115567352938145,True
nq_open_t0.5,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.6964535650489874,0.6679142769705974,True
nq_open_t0.5,module_entropy_disagreement,module_entropy_disagreement.layer_13,0.5883349531365081,0.5853817747679742,True
nq_open_t0.5,module_target_nll_disagreement,module_target_nll_disagreement.layer_18,0.5636989048498535,0.5361096820735598,True
nq_open_t0.5,resid_kl_tail,resid_kl_tail.layer_03,0.6556269450288122,0.6273810441378469,True
gsm8k_r1distill_t0.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.6838827838827839,0.47237088762715523,True
gsm8k_r1distill_t0.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.7044770044770045,0.5019365856066941,True
gsm8k_r1distill_t0.0,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.6811558811558812,0.47328894840721114,True
gsm8k_r1distill_t0.0,module_entropy_disagreement,module_entropy_disagreement.layer_15,0.6196174196174196,0.3504361183146613,True
gsm8k_r1distill_t0.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_05,0.574094424094424,0.33072154358357697,True
gsm8k_r1distill_t0.0,resid_kl_tail,resid_kl_tail.layer_07,0.6774216524216524,0.4458321408011652,True
coqa_llama7b_t0.5,resid_entropy_burst,resid_entropy_burst.layer_04,0.6596657236896171,0.9350091280226741,True
coqa_llama7b_t0.5,resid_entropy_dispersion,resid_entropy_dispersion.layer_04,0.6389658452876916,0.930413124412861,True
coqa_llama7b_t0.5,resid_target_nll_burst,resid_target_nll_burst.layer_03,0.6603482329278672,0.9335829027189352,True
coqa_llama7b_t0.5,module_entropy_disagreement,module_entropy_disagreement.layer_31,0.6892914996956566,0.9429916707626679,True
coqa_llama7b_t0.5,module_target_nll_disagreement,module_target_nll_disagreement.layer_22,0.75064350871035,0.9552945937913676,True
coqa_llama7b_t0.5,resid_kl_tail,resid_kl_tail.layer_04,0.628216498894753,0.9272786373424409,True
gsm8k_mistral24b_t1.0,resid_entropy_burst,resid_entropy_burst.layer_39,0.8416407612404276,0.45871360374601666,True
gsm8k_mistral24b_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_39,0.8472742436879218,0.4960652862676827,True
gsm8k_mistral24b_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_39,0.8031313973766017,0.399991891613253,True
gsm8k_mistral24b_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_39,0.7772613541587687,0.4348881341784431,True
gsm8k_mistral24b_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_19,0.7379634543938131,0.32722982894093383,True
gsm8k_mistral24b_t1.0,resid_kl_tail,resid_kl_tail.layer_36,0.7828682993403594,0.3858808685229422,True
gsm8k_nemo_t1.0,resid_entropy_burst,resid_entropy_burst.layer_39,0.7561669440322673,0.4403755417225162,True
gsm8k_nemo_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_39,0.775001844549561,0.4675623424545591,True
gsm8k_nemo_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_39,0.7065731548355891,0.33880930039311,True
gsm8k_nemo_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_39,0.644801239537305,0.34805754749853796,True
gsm8k_nemo_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_37,0.6024052926275404,0.23806032937025084,True
gsm8k_nemo_t1.0,resid_kl_tail,resid_kl_tail.layer_00,0.7367438371549668,0.3985057259993463,True
gsm8k_phi35_t1.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.7560652725995569,0.4455742585919772,True
gsm8k_phi35_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.7799256137317411,0.42588423036993656,True
