method,n_cells,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high,analysis_role
original_proxy__trilens_grouped_l2_probe,13,0.7689325299729851,,,0.6455426487561878,,,supervised_original_method_approximation
resid_entropy_dispersion__best_layer_oracle,13,0.7582278301027364,0.7475289510080293,0.7681782518949178,0.6294046378042287,0.6138303163055395,0.6488147285481843,evaluation_only_oracle
resid_entropy_burst__best_layer_oracle,13,0.744607435902947,0.7341293813452199,0.7549319088916128,0.610296884142348,0.5949486481255671,0.6295911452933082,evaluation_only_oracle
baseline__generation_entropy,13,0.7398721745791298,0.7285352724301019,0.75001979464306,0.6153916900485339,0.5990742181445675,0.6340247978410124,existing_baseline
baseline__final_nll,13,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194,existing_baseline
baseline__lens96_dufs,13,0.7252613703349737,0.7138517602348682,0.7361869295245299,0.6025244987258745,0.5870181215277581,0.6221748923449535,existing_baseline
resid_target_nll_burst__best_layer_oracle,13,0.7133351879101724,0.7023277574270865,0.723191398757348,0.5538329778392523,0.5401594882845268,0.5713444535397986,evaluation_only_oracle
resid_kl_tail__best_layer_oracle,13,0.7047309395605263,0.6933998857316962,0.7156866481790716,0.5600458635453927,0.544203248315523,0.5796357597456203,evaluation_only_oracle
module_entropy_disagreement__best_layer_oracle,13,0.6739277573800464,0.6618304349594588,0.6852126855523019,0.5341184716694594,0.5202817421813971,0.5543741446672346,evaluation_only_oracle
module_target_nll_disagreement__best_layer_oracle,13,0.6641316756164345,0.6523622171454343,0.6760230222610437,0.4980896253720832,0.4856770616202057,0.5166482758730097,evaluation_only_oracle
resid_entropy_dispersion__equal_mean,13,0.6608084142130972,0.6481913017369726,0.6721515783352665,0.5113640393353609,0.49801344545061876,0.5293152799666804,retrospective_discovery_iteration_2
resid_entropy_burst__equal_mean,13,0.6484064064762051,0.6359998548426787,0.659544587170609,0.4960904696722989,0.4829816452455445,0.5140554920724739,retrospective_discovery_iteration_2
resid_kl_tail__equal_mean,13,0.6482817551097517,0.6359376555217302,0.6604215447600319,0.5328774246611103,0.5166567089118821,0.5525604581803304,retrospective_discovery_iteration_2
module_entropy_disagreement__equal_mean,13,0.642454478152339,0.6301120892650598,0.6543163917616435,0.5036078787010925,0.4894565051681185,0.5220777141974611,retrospective_discovery_iteration_2
resid_kl_tail__dufs_liu_pcr,13,0.6348084896621334,0.6223380411451152,0.6472023308079615,0.5200620503747418,0.5038464988641582,0.5391412199403361,retrospective_discovery_iteration_2
resid_kl_tail__iu_pcr,13,0.6332847153784934,0.6208771798854251,0.645576075680629,0.5183179395907427,0.5019437225982253,0.537444365525216,retrospective_discovery_iteration_2
resid_entropy_dispersion__dufs_liu_pcr,13,0.6134483405558288,0.6006658764692074,0.6255833368612921,0.4617523513936605,0.4501294358621678,0.4781875360941803,retrospective_discovery_iteration_2
resid_entropy_dispersion__iu_pcr,13,0.6129564237409864,0.6002195159981797,0.6251878321266385,0.4612679834906507,0.44986533673532686,0.4778438347792765,retrospective_discovery_iteration_2
module_target_nll_disagreement__equal_mean,13,0.6123103561521275,0.5996039475427398,0.6246391424052262,0.4669163071296267,0.45431749587564585,0.48544601735191817,retrospective_discovery_iteration_2
resid_target_nll_burst__equal_mean,13,0.6088377229353183,0.5959436562629443,0.6213979145717751,0.4498474892919497,0.4372303627656103,0.46766412676891744,retrospective_discovery_iteration_2
resid_entropy_burst__dufs_liu_pcr,13,0.5936327882897182,0.5798835797077282,0.6054707784803417,0.4435912752771905,0.4328714667095119,0.46010828320029235,retrospective_discovery_iteration_2
resid_entropy_burst__iu_pcr,13,0.593404551896151,0.5798333224427914,0.6054518842643843,0.4433961820004686,0.43259019097576307,0.46000280851215186,retrospective_discovery_iteration_2
module_entropy_disagreement__iu_pcr,13,0.5855849180055606,0.5732895641024358,0.5982283949270724,0.4541099600946192,0.4420415411890761,0.4715900834901812,retrospective_discovery_iteration_2
module_entropy_disagreement__dufs_liu_pcr,13,0.5844664262932684,0.5721561597436199,0.5971808694085526,0.45359134732260026,0.44135452283604154,0.4708441261577582,retrospective_discovery_iteration_2
module_target_nll_disagreement__dufs_liu_pcr,13,0.5841698955816153,0.5716095675804287,0.5965704380545194,0.4389190908186892,0.42774194156067197,0.456212410873216,retrospective_discovery_iteration_2
module_target_nll_disagreement__iu_pcr,13,0.5838987235318598,0.5714026717447905,0.5964393513592082,0.43853387080949463,0.427450399899605,0.4557060927128998,retrospective_discovery_iteration_2
resid_target_nll_burst__iu_pcr,13,0.5532251673955847,0.5407348137632058,0.5657535877560219,0.4079824062834828,0.39666460845446755,0.4238009481249138,retrospective_discovery_iteration_2
resid_target_nll_burst__dufs_liu_pcr,13,0.5516409306388492,0.5391393171197876,0.5641994890187896,0.40753022567794656,0.39616601037791616,0.4234499308099156,retrospective_discovery_iteration_2
