cell,dataset,model,method,auroc,auprc,prevalence,n_samples,n_groups,analysis_role
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,baseline__final_nll,0.770161622825101,0.6531795472926021,0.2701612903225806,496,496,existing_baseline
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,baseline__generation_entropy,0.7779953822049971,0.6539883089491257,0.2701612903225806,496,496,existing_baseline
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,baseline__lens96_dufs,0.7528448915642783,0.6202540492357403,0.2701612903225806,496,496,existing_baseline
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_entropy_burst__equal_mean,0.676321431516451,0.49958432977739864,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_entropy_burst__iu_pcr,0.5600519501937825,0.3473515514324431,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_entropy_burst__dufs_liu_pcr,0.5571452131607157,0.3441935088217607,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_entropy_dispersion__equal_mean,0.6936793930897995,0.5444844748196669,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_entropy_dispersion__iu_pcr,0.5808938731755586,0.39358404630350374,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_entropy_dispersion__dufs_liu_pcr,0.579409581924631,0.3918917647628243,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_target_nll_burst__equal_mean,0.7042549682526594,0.519548637739022,0.2701612903225806,496,496,retrospective_discovery_iteration_2
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,resid_target_nll_burst__iu_pcr,0.7143976251339985,0.5254653969606468,0.2701612903225806,496,496,retrospective_discovery_iteration_2
