cell,contract,n_samples,n_layers,median_abs_layer_correlation,effective_rank,effective_rank_fraction,standardized_matrix_sha256,outcomes_seen
gsm8k_t1.0,resid_entropy_burst,496,32,0.10907070621975898,15.521968123191279,0.48506150384972746,2fbd317fe7f6eb4e1389f7d0d630a20893e31e31c09efce168b6150f90ae34b3,False
gsm8k_t1.0,resid_entropy_dispersion,496,32,0.12218294378588204,14.358186665775387,0.44869333330548083,0a7ec65f5543063a72144ebc925f4942bbab8952732b4f22a33dd3b4ac5f4029,False
gsm8k_t1.0,resid_target_nll_burst,496,32,0.18531186416139855,9.928206586151232,0.310256455817226,8f31058523a2c555c95bd265ff5a31cbcdcfbb52835e3e01ae13781e22acd00b,False
gsm8k_t1.0,module_entropy_disagreement,496,32,0.11371765379553386,22.532184381649955,0.7041307619265611,0825860c302c3e67c63e5ff4f54be5b6b760b0297d00c4ddcbb87b6920ceca93,False
gsm8k_t1.0,module_target_nll_disagreement,496,32,0.10162311728512041,23.230895491082787,0.7259654840963371,f38d277b1ef5a45d0c1e2adfc3919538c77621b9e3f37873343847ae49f955e0,False
gsm8k_t1.0,resid_kl_tail,496,31,0.9279630584333183,1.892505754504696,0.061048572725957935,5939d36afa7662407a524382aa8d934645e71e050823b9309c393beae7397867,False
triviaqa_t1.0,resid_entropy_burst,500,32,0.17352330935356652,12.15791393551527,0.37993481048485217,9c223c418b09adae1d3625378d1cdbd83ae7851412af3a08082496cf1fedbebb,False
triviaqa_t1.0,resid_entropy_dispersion,500,32,0.19904526625134647,12.061777121993261,0.3769305350622894,f29f378b660ccc179f79bf3decbafa7f92698a6913b0bc8a827a13d74111ab54,False
triviaqa_t1.0,resid_target_nll_burst,500,32,0.2800876305073231,9.695715640959328,0.302991113779979,c68b57d8a966e4307d240697ecf2f5baac3da9f510ec3130b2f1c39650ecc3b9,False
triviaqa_t1.0,module_entropy_disagreement,500,32,0.10250344278865073,20.910547170006563,0.6534545990627051,bde51b6007b8be99192c6b6a9b2e4889043bf01911352526eb7f0dcf52f8356a,False
triviaqa_t1.0,module_target_nll_disagreement,500,32,0.2558662388584367,18.517147049040286,0.5786608452825089,e820dcbd0fba106d6505c32f30076bc7f306b4ee94c254c5aa2381a05723d538,False
triviaqa_t1.0,resid_kl_tail,500,31,0.8908154014332272,1.9748047936987434,0.06370338044189496,90a06e84f07c5c07d23edbf063692a5a915d649aebc27eab648a6f7336bd0757,False
sciq_t1.0,resid_entropy_burst,1000,32,0.2712007475186229,10.396671987341437,0.3248959996044199,3b9c39bc7ec4b160e5da3067a57fd5e8fd4204b73d657cba82c59de2e636891e,False
