contract,fusion,macro_auroc,best_layer_macro_auroc,trilens_probe_macro_auroc,delta_vs_best_layer,delta_vs_trilens_probe,paired_ci_low_vs_best_layer,paired_ci_high_vs_best_layer,discovery_success,independent_confirmation_complete
resid_entropy_burst,iu_pcr,0.593404551896151,0.744607435902947,0.7689325299729851,-0.15120288400679593,-0.17552797807683407,-0.1653552557699905,-0.1369246054970241,False,False
resid_entropy_burst,dufs_liu_pcr,0.5936327882897182,0.744607435902947,0.7689325299729851,-0.15097464761322876,-0.1752997416832669,-0.16511895159312082,-0.13666758072700977,False,False
resid_entropy_dispersion,iu_pcr,0.6129564237409864,0.7582278301027364,0.7689325299729851,-0.14527140636175007,-0.15597610623199876,-0.15878230883393252,-0.1322092648908671,False,False
resid_entropy_dispersion,dufs_liu_pcr,0.6134483405558288,0.7582278301027364,0.7689325299729851,-0.14477948954690767,-0.15548418941715636,-0.15814777317751777,-0.13177176403736976,False,False
resid_target_nll_burst,iu_pcr,0.5532251673955847,0.7133351879101724,0.7689325299729851,-0.16011002051458767,-0.21570736257740042,-0.17374387778477948,-0.14578924380529035,False,False
resid_target_nll_burst,dufs_liu_pcr,0.5516409306388492,0.7133351879101724,0.7689325299729851,-0.16169425727132314,-0.2172915993341359,-0.17533790827637416,-0.14723971789713736,False,False
module_entropy_disagreement,iu_pcr,0.5855849180055606,0.6739277573800464,0.7689325299729851,-0.08834283937448584,-0.18334761196742455,-0.10197777304292853,-0.0733304462071288,False,False
module_entropy_disagreement,dufs_liu_pcr,0.5844664262932684,0.6739277573800464,0.7689325299729851,-0.089461331086778,-0.18446610367971672,-0.1032285431012115,-0.07455375928293254,False,False
module_target_nll_disagreement,iu_pcr,0.5838987235318598,0.6641316756164345,0.7689325299729851,-0.0802329520845747,-0.18503380644112533,-0.09515127974450803,-0.06612784321866769,False,False
module_target_nll_disagreement,dufs_liu_pcr,0.5841698955816153,0.6641316756164345,0.7689325299729851,-0.07996178003481924,-0.18476263439136986,-0.09504929081662895,-0.06588412607968547,False,False
resid_kl_tail,iu_pcr,0.6332847153784934,0.7047309395605263,0.7689325299729851,-0.07144622418203295,-0.1356478145944917,-0.08465723275339589,-0.05815578186425178,False,False
resid_kl_tail,dufs_liu_pcr,0.6348084896621334,0.7047309395605263,0.7689325299729851,-0.06992244989839291,-0.13412404031085168,-0.08290680871965445,-0.056531718101623066,False,False
