method,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,valid_answers,prm_within_n,coverage,pb_all8_conditional
rbm6__old,0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,6030,1.0,0.36201684493602676
rbm6__logit_old,0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000044693128635,0.622232585877287,13769,6030,1.0,0.349707841643353
rbm12__old,0.36375046669893774,0.37118546805583574,0.35631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,6030,1.0,0.36375046669893774
rbm12__logit_old,0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494397346221,0.622215135338216,13769,6030,1.0,0.3627123083012945
initial6__old,0.35966210065316107,0.36767337993745064,0.35165082136887144,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,6030,1.0,0.35966210065316107
initial12__old,0.3629459417341435,0.3714627820322608,0.3544291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769,6030,1.0,0.3629459417341435
entropy__old,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030,1.0,0.35444376642134146
var15__old,0.35960987290405433,0.36635390100610593,0.3528658448020027,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,6030,1.0,0.35960987290405433
var50__old,0.3567552412698325,0.36080751148342693,0.35270297105623816,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,6030,1.0,0.3567552412698325
var15_iu__old,0.3534983585022531,0.35898223922652384,0.34801447777798244,0.74682374405604,0.710261309641098,0.6226885909285921,13769,6030,1.0,0.3534983585022531
var15_equal__old,0.3559804364327355,0.3612819032849405,0.3506789695805306,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,6030,1.0,0.3559804364327355
shrinkage__old,0.35871143187885435,0.36697741533481043,0.35044544842289826,0.738630248995498,0.7079965583222773,0.6295438953640439,13769,6030,1.0,0.35871143187885435
diagonal__old,0.35806949103323005,0.36788322126251166,0.3482557608039484,0.7330448590587003,0.7047273028297086,0.6253013416428403,13769,6030,1.0,0.35806949103323005
b6_layer2_exact_logit,0.18977294093942165,0.19383633132850198,0.1857095505503413,0.6344697188424568,0.530104576051827,,13629,6022,0.9898322318251144,0.19344716004799176
b6_layer2_exact_posterior,0.19270553113772498,0.1988049628194404,0.18660609945600953,0.6215334738904161,0.511115340612933,,13629,6022,0.9898322318251144,0.19642289115023093
b6_layer2_cd_logit,0.18884452119481798,0.1916706370391823,0.1860184053504537,0.6516763929944036,0.6416028354408744,,13629,6022,0.9898322318251144,0.19252861409193364
b6_layer2_cd_posterior,0.28157072485032614,0.2999646527680575,0.26317679693259477,0.7268668713690406,0.6823648164763545,,13629,6022,0.9898322318251144,0.2876234082964587
b6_layer2_logit_exact_logit,0.2977150159008023,0.2930683517091012,0.3023616800925033,0.698674387305903,0.589496409558797,0.5683947856883502,13769,6030,1.0,0.2977150159008023
b6_layer2_logit_exact_posterior,0.3169327854936861,0.3129890366468958,0.32087653434047636,0.6894888201493726,0.5912061654475425,0.5694628441323886,13769,6030,1.0,0.3169327854936861
b6_layer2_logit_cd_logit,0.19602355217680278,0.1951975999703478,0.1968495043832578,0.6716479787421347,0.6568777005210515,0.5695308361634526,13769,6030,1.0,0.19602355217680278
b6_layer2_logit_cd_posterior,0.32320863971823965,0.32970505407618034,0.31671222536029897,0.7373892650657695,0.6873616503809552,0.6101077176966011,13769,6030,1.0,0.32320863971823965
b12_layer2_exact_logit,0.2209652240149908,0.22059981932035555,0.22133062870962603,0.5794885434726861,0.5120723011929532,,13416,5914,0.9743626988161813,0.22964541549244336
b12_layer2_exact_posterior,0.2278226109169268,0.2301851509781063,0.22546007085574726,0.572058758287099,0.4999347601636534,,13416,5914,0.9743626988161813,0.2367627977115749
b12_layer2_cd_logit,0.20307946693507656,0.2046391803665017,0.20151975350365142,0.6567641178001191,0.6237180022135376,,13416,5914,0.9743626988161813,0.21126738402253034
b12_layer2_cd_posterior,0.2914385596089917,0.30107955643544637,0.28179756278253704,0.7226019418161029,0.6632768781173743,,13416,5914,0.9743626988161813,0.3035245680627919
b12_layer2_logit_exact_logit,0.3277662521732846,0.3268864546143488,0.3286460497322204,0.7150803680198792,0.6061423832872015,0.5955168899917822,13769,6030,1.0,0.3277662521732846
b12_layer2_logit_exact_posterior,0.34500547987532765,0.34758129662485987,0.3424296631257954,0.7085798280267298,0.6096171142963154,0.5980283371380561,13769,6030,1.0,0.34500547987532765
b12_layer2_logit_cd_logit,0.22974005493086716,0.23604806227463365,0.22343204758710067,0.6734826837873965,0.6261830531428931,0.5430160003497895,13769,6030,1.0,0.22974005493086716
b12_layer2_logit_cd_posterior,0.34681213508462744,0.35966353975131077,0.3339607304179441,0.7343496079743665,0.6610205132518622,0.587323386827071,13769,6030,1.0,0.34681213508462744
b6_exact1_posterior,0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359819427631672,0.7081099073325186,0.6307492926682718,13769,6030,1.0,0.36201684493602676
b6_exact1_logit,0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000044693128635,0.622232585877287,13769,6030,1.0,0.349707841643353
b6_exact4_posterior,0.25320459097152115,0.2599637872676357,0.24644539467540663,0.7100998062444043,0.6875843785354361,0.6167573322745383,13769,6030,1.0,0.25320459097152115
b6_exact4_logit,0.24646095305506396,0.25459574448565725,0.23832616162447065,0.7126083270331239,0.686928773602479,0.6143577591380698,13769,6030,1.0,0.24646095305506396
b12_exact1_posterior,0.36375046669893774,0.37118546805583574,0.35631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,6030,1.0,0.36375046669893774
b12_exact1_logit,0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494397346221,0.622215135338216,13769,6030,1.0,0.3627123083012945
b12_exact4_posterior,0.27836583148057226,0.2831433716087518,0.2735882913523927,0.715044461605975,0.6707500590136392,0.5888552127509552,13769,6030,1.0,0.27836583148057226
b12_exact4_logit,0.286553210259071,0.29144122005160344,0.28166520046653865,0.7216932576239864,0.6764719260581147,0.6017249351927991,13769,6030,1.0,0.286553210259071
