version,cell,family,domain,config,arm,lambda,auroc,auprc,orientation_failure,score_variance,weight_norm,weight_cosine_vs_iu,condition_number,score_laplacian_energy,graph_components,graph_edges,algebra_valid,graph_collapsed,score_spearman_vs_iu,mean_abs_percentile_rank_change_vs_iu
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,iu,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,1.0,,,,,,,,
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,deployed_upcr,0.0,0.7391725921137686,0.8731907738764855,False,0.20611014344200726,0.15057649309399881,0.941561263003622,,,,,,,,
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_sample,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.050749428129345006,1,22490,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_embedding,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.10201312805776026,1,4527,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_uniform_embedding,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.05903252335348448,1,4456,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_global,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.05904303192349563,1,22490,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_uniform,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.07399575124319434,1,22490,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_permuted,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.059458380491579775,1,22490,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,dufs_liu,0.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,0.9999999999381445,1.5711806140235927,0.014177194982529845,1,2568,True,False,1.0,0.0
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,iu,0.1,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,1.0,,,,,,,,
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,deployed_upcr,0.1,0.7391725921137686,0.8731907738764855,False,0.20611014344200726,0.15057649309399881,0.941561263003622,,,,,,,,
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_sample,0.1,0.7565449256625728,0.8835626839103097,False,0.11669045383586539,0.1157337936926589,0.9994239255206525,1.4831417094415178,0.04164488508477817,1,22490,True,False,0.9992900771603086,0.007640000000000002
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_embedding,0.1,0.7578983516483517,0.8832596219859832,False,0.11219276296863004,0.11459673441092923,0.9996369625083625,1.6718691672501778,0.08127891787853384,1,4527,True,False,0.9995525422101686,0.006408000000000001
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_uniform_embedding,0.1,0.7564035229476407,0.8835451232333948,False,0.12140705253223769,0.1180071029030387,0.9993405496613624,1.4287430297000332,0.04990280010793792,1,4456,True,False,0.999210492841971,0.008112000000000001
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_global,0.1,0.7568883322559794,0.8836515919274828,False,0.11655410805954415,0.11573161185485666,0.9995429218409386,1.4917262598611374,0.04860091118799282,1,22490,True,False,0.9994131496525985,0.006896000000000001
