cell,family,config,training_arm,model_seed,epoch,optimizer_updates,updates_this_epoch,loss,training_loss,validation_loss,orthogonality_error,alpha_entropy,validation_orthogonality_error,validation_alpha_entropy,gradient_norm,rayleigh_loss,agreement_loss,edge_mass_loss,orthogonal_condition,orthogonal_condition_max,orthogonal_transform_norm,orthogonal_clipped_fraction,validation_rayleigh_loss,validation_agreement_loss,validation_edge_mass_loss,learning_rate
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,1,3,3,0.13291701674461365,0.21229604383309683,0.13291701674461365,0.33620936175187427,1.755792538324992,1.7897947657274926e-07,1.7093960046768188,0.47126617034276325,0.0028557882954676947,0.10464957108100255,0.001411143826165547,1.3831926981608074,1.5778120756149292,33.783419926961265,0.0,0.0064562479965388775,0.06300574541091919,0.0044928244315087795,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,2,6,3,0.11629705876111984,0.14736371239026388,0.11629705876111984,0.1855779935916265,1.6926162242889404,1.593709413327815e-07,1.6970458030700684,0.2814553032318751,0.0018986169792090852,0.07264372209707896,0.0017764885754634936,1.3467216491699219,1.421788215637207,40.09451039632162,0.0,0.007055469788610935,0.05437827110290527,0.004850481171160936,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,3,9,3,0.10371311753988266,0.13289703925450644,0.10371311753988266,0.22064948081970215,1.7012994289398193,5.346639113668061e-07,1.7189726829528809,0.22828422983487448,0.002681265507514278,0.06502207865317662,0.0017161584886101384,1.4058355887730916,1.5204839706420898,63.17972946166992,0.0,0.005879439879208803,0.04865351691842079,0.005266453605145216,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,4,12,3,0.1047859787940979,0.11870639274517696,0.1047859787940979,0.2285053829352061,1.7213300069173176,4.636136452518258e-07,1.7316198348999023,0.15916640559832254,0.0019109004642814398,0.05833653608957926,0.0012242065276950598,2.0315064191818237,2.2819983959198,69.45489247639973,0.0,0.005658742040395737,0.04932015389204025,0.0048692249692976475,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,5,15,3,0.10976201295852661,0.11151166260242462,0.10976201295852661,0.41824175293246907,1.7297433217366536,6.355167556648667e-07,1.7362197637557983,0.14773883918921152,0.002409071118260423,0.05449989934762319,0.0010279340397876997,1.7527787685394287,2.141235828399658,92.67315928141277,0.0,0.0052688829600811005,0.052058201283216476,0.003767309943214059,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,6,18,3,0.10120491683483124,0.10626794397830963,0.10120491683483124,0.4087505241235097,1.7323372761408489,4.1460381794422574e-07,1.7361260652542114,0.1266445368528366,0.0019467211871718366,0.05213165531555811,0.0005791245591050634,2.7224291960398355,3.129016160964966,110.61732228597005,0.0,0.0035723599139600992,0.04867658019065857,0.002793947933241725,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,7,21,3,0.09591826796531677,0.10186354567607243,0.09591826796531677,0.19991881400346756,1.7279316981633503,2.621135593017243e-07,1.7306677103042603,0.11808101832866669,0.0017107441478098433,0.05004716292023659,0.000584755611877578,2.7556731700897217,3.131350517272949,97.41575113932292,0.0,0.003441316308453679,0.04606612026691437,0.0034471210092306137,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,8,24,3,0.09423358738422394,0.09849463154872258,0.09423358738422394,0.20346738894780478,1.7216602166493733,6.011392770233215e-07,1.728339433670044,0.10625948756933212,0.0015005869790911674,0.04845100889603297,0.0009202800671725223,3.0544939041137695,3.5037569999694824,107.41129048665364,0.0,0.003447253257036209,0.045162707567214966,0.0046092551201581955,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,9,27,3,0.09598122537136078,0.09698554873466492,0.09598122537136078,0.206500510374705,1.7227342923482258,4.119989682749292e-07,1.7274776697158813,0.1106691062450409,0.0015196446717406313,0.04769439250230789,0.0007712056782717506,3.4517227013905845,4.063540458679199,118.6142069498698,0.0,0.00435730442404747,0.04551687091588974,0.0059017459861934185,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,10,30,3,0.09286274015903473,0.0952407494187355,0.09286274015903473,0.2672544817129771,1.7213873863220215,2.560658458605758e-07,1.7209906578063965,0.10165890057881673,0.00138483673799783,0.046906969199577965,0.00041974599783619243,2.8197909196217856,3.937349557876587,97.3147455851237,0.0,0.003937479108572006,0.044129181653261185,0.006668990943580866,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,11,33,3,0.0942796841263771,0.09368571887413661,0.0942796841263771,0.3806221932172775,1.7170113325119019,1.900481123584541e-07,1.7161601781845093,0.10135089606046677,0.001336061356899639,0.04613024244705836,0.0008917444162458802,2.6500542958577475,2.8753881454467773,94.82974751790364,0.0,0.004299598280340433,0.04466849938035011,0.006430916488170624,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,12,36,3,0.09448687732219696,0.09113864103953044,0.09448687732219696,0.39839838445186615,1.7151536146799724,3.7906642091911635e-07,1.7209582328796387,0.11112101624409358,0.0013827088599403699,0.04483604431152344,0.0008384418130541841,2.6932310263315835,2.8258233070373535,114.89305114746094,0.0,0.0038168905302882195,0.045112598687410355,0.004447916988283396,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,13,39,3,0.09850168973207474,0.08711906522512436,0.09850168973207474,0.20817368725935617,1.7227143843968709,3.9028000742291624e-07,1.7251708507537842,0.0938549389441808,0.0011543038999661803,0.04295402144392332,0.0005672003317158669,3.1987036863962808,3.747389793395996,116.91302490234375,0.0,0.0029693052638322115,0.04757900536060333,0.0037437917198985815,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,14,42,3,0.10082296282052994,0.08724857370058696,0.10082296282052994,0.2713756610949834,1.724604328473409,4.6679772935931396e-07,1.722048044204712,0.09802116950352986,0.0012465684752290447,0.04297377417484919,0.0005445522062170008,5.54502805074056,7.233203887939453,133.83533477783203,0.0,0.0045550232753157616,0.047912999987602234,0.004419362638145685,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,15,45,3,0.09285635501146317,0.08737534532944362,0.09285635501146317,0.21840877582629523,1.7194184859593709,2.1557750073952775e-07,1.7171145677566528,0.1180556317170461,0.0016199952612320583,0.04283943027257919,0.0007648989267181605,8.693123499552408,10.699996948242188,142.90982564290366,0.0,0.003653143532574177,0.04433672875165939,0.005297490861266851,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,16,48,3,0.096879743039608,0.08845965564250946,0.096879743039608,0.2479132115840912,1.715137203534444,1.5350107673839375e-07,1.7173277139663696,0.14249813308318457,0.002043886731068293,0.04315685605009397,0.0010205562769745786,15.358003934224447,20.194795608520508,201.95988972981772,0.0,0.005380859598517418,0.04548537731170654,0.005281305406242609,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,17,51,3,0.10058706253767014,0.08659779280424118,0.10058706253767014,0.3214010000228882,1.718170126279195,3.4108973068214254e-07,1.7184863090515137,0.14285777509212494,0.001845143308552603,0.04233881706992785,0.0007501661505860587,14.029547055562338,15.735313415527344,178.39063517252603,0.0,0.00327506335452199,0.04838002100586891,0.00551956333220005,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,18,54,3,0.09550493955612183,0.08192269752422969,0.09550493955612183,0.14504724740982056,1.718123237291972,3.305823099708505e-07,1.7186436653137207,0.1027402604619662,0.0014919411235799391,0.04017892231543859,0.0007291296885038415,10.438616434733072,13.079541206359863,133.59154510498047,0.0,0.003990071825683117,0.04550986364483833,0.004951458889991045,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,19,57,3,0.09821174293756485,0.07995145519574483,0.09821174293756485,0.29458794991175336,1.7186731894810994,1.6899922172797233e-07,1.7192089557647705,0.1282100280125936,0.001689571188762784,0.03910280639926592,0.0005627475135649244,13.520415623982748,14.539571762084961,164.29654947916666,0.0,0.005920711439102888,0.04594620689749718,0.003986179828643799,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,20,60,3,0.09896949678659439,0.08086808522542317,0.09896949678659439,0.29086586833000183,1.7161996761957805,5.162329443919589e-07,1.7173211574554443,0.12673927346865335,0.0016952308748538296,0.0395321361720562,0.001085845346096903,13.810706774393717,15.918558120727539,154.6710433959961,0.0,0.003456724341958761,0.047563232481479645,0.0038630820345133543,0.01
ars_gsm8k_r1distill8b,gsm8k,agreement_k15,sample,11,21,63,3,0.09625601768493652,0.0796502282222112,0.09625601768493652,0.3423270583152771,1.715921680132548,3.5793553365692787e-07,1.716059684753418,0.09244643648465474,0.0011943589973573883,0.039198245853185654,0.0005937746803586682,6.510916709899902,6.9196271896362305,64.56729253133138,0.0,0.003502286272123456,0.04612884670495987,0.00496036047115922,0.01
