auroc,budget,cell_id,eligibility,error_auprc,error_prevalence,final_auroc_same_cohort,method_id,n,n_correct,n_error,ordered_id_sha256,population_id,positive_class,prevalence_normalized_ap,recovered_above_chance_signal
0.643820065276004,128,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.672198780834085,0.5178571428571429,0.8027529445153966,max_entropy,168,81,87,c470d15290e6919619495fd3724318753a6f4ad27d390eddb5228b0f154f5be1,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.3201159898781022,0.47504101242090474
0.7644869750132908,256,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.8331203036700663,0.6333333333333333,0.8080808080808081,max_entropy,90,33,57,eddd147dcf208d1866d265a744feff68072b1e8f8c9e44194c9169fb0c288cad,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.5448735554638172,0.8584987057808455
,512,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,1.0,1.0,,max_entropy,1,0,1,349a474ba1135878e996a2ee5442cfee99e8246427c976da8fab3136f2a2bcb5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,,
0.5943564862104188,16,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.6165367792645586,0.5028248587570622,0.8243105209397344,mean_entropy,177,88,89,f3b478b8f258f8bb854b5d15f83b871f2e6468dee978de801a1cca4f98d10ced,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.22871602192985083,0.2909448818897638
0.6412155260469867,32,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.6637458545702811,0.5028248587570622,0.8243105209397344,mean_entropy,177,88,89,f3b478b8f258f8bb854b5d15f83b871f2e6468dee978de801a1cca4f98d10ced,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.3236706393061336,0.43543307086614175
0.6921487603305785,64,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.7242500003986674,0.5,0.8241219008264463,mean_entropy,176,88,88,f4246b11acf2cc3374db3dbd823e9e195462c00f3ab8154e2796f57d8d41c2a2,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.44850000079733476,0.592828685258964
0.7628778203490847,128,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.7824161489272301,0.5178571428571429,0.834113807293884,mean_entropy,168,81,87,c470d15290e6919619495fd3724318753a6f4ad27d390eddb5228b0f154f5be1,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.5487149755527735,0.7867912507963473
0.8447634237107922,256,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.913795284216521,0.6333333333333333,0.8341307814992025,mean_entropy,90,33,57,eddd147dcf208d1866d265a744feff68072b1e8f8c9e44194c9169fb0c288cad,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.7648962296814209,1.0318217979315834
,512,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,1.0,1.0,,mean_entropy,1,0,1,349a474ba1135878e996a2ee5442cfee99e8246427c976da8fab3136f2a2bcb5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,,
0.5236210418794689,16,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.6021011477888559,0.5028248587570622,0.8203524004085802,step272_two_head_global_local_w0p50_peak,177,88,89,f3b478b8f258f8bb854b5d15f83b871f2e6468dee978de801a1cca4f98d10ced,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.1996807177116761,0.07373455559984074
