contrast_id,left,right,metric,delta,ci_low,ci_high,wins,ties,losses,worst_family,worst_family_delta,interval
P2F_H2_CLEAN_C7_PRM__vs__P2F_H0_FAMILY6_TOP10_PRM__auroc,P2F_H2_CLEAN_C7_PRM,P2F_H0_FAMILY6_TOP10_PRM,auroc,0.005813674428973181,0.004709915874582581,0.006973449253346585,8,0,0,redundency,0.0009214937199469864,Bonferroni simultaneous across three frozen contrasts for this metric
P2F_H2_CLEAN_C7_PRM__vs__P2F_H0_FAMILY6_TOP10_PRM__auprc,P2F_H2_CLEAN_C7_PRM,P2F_H0_FAMILY6_TOP10_PRM,auprc,0.001017658614279382,-3.352063140399283e-05,0.002062088489898476,6,0,2,step_contradiction,-0.0013776883464249323,Bonferroni simultaneous across three frozen contrasts for this metric
P2F_H3_EQUAL_C8_RERANK_PRM__vs__P2F_H0_FAMILY6_TOP10_PRM__auroc,P2F_H3_EQUAL_C8_RERANK_PRM,P2F_H0_FAMILY6_TOP10_PRM,auroc,0.027411652647936102,0.023675457094332514,0.031090945987244076,8,0,0,deception,0.0216551101411947,Bonferroni simultaneous across three frozen contrasts for this metric
P2F_H3_EQUAL_C8_RERANK_PRM__vs__P2F_H0_FAMILY6_TOP10_PRM__auprc,P2F_H3_EQUAL_C8_RERANK_PRM,P2F_H0_FAMILY6_TOP10_PRM,auprc,0.015434191656334001,0.011378242683235139,0.019403801443389556,8,0,0,deception,0.00570710044783615,Bonferroni simultaneous across three frozen contrasts for this metric
P2F_H3_EQUAL_C8_RERANK_PRM__vs__P2F_H2_CLEAN_C7_PRM__auroc,P2F_H3_EQUAL_C8_RERANK_PRM,P2F_H2_CLEAN_C7_PRM,auroc,0.02159797821896292,0.01765339733520443,0.02545692257967748,8,0,0,deception,0.011402544197806508,Bonferroni simultaneous across three frozen contrasts for this metric
P2F_H3_EQUAL_C8_RERANK_PRM__vs__P2F_H2_CLEAN_C7_PRM__auprc,P2F_H3_EQUAL_C8_RERANK_PRM,P2F_H2_CLEAN_C7_PRM,auprc,0.014416533042054619,0.010252017696591174,0.01847523627700816,8,0,0,deception,0.003758154288604182,Bonferroni simultaneous across three frozen contrasts for this metric
