kind,id,metric,value,ci_low,ci_high
absolute,P2F_H0_FAMILY6_TOP10_PRM,auroc,0.5920569634651563,,
absolute,P2F_H0_FAMILY6_TOP10_PRM,auprc,0.20975995458887403,,
absolute,P2F_H2_CLEAN_C7_PRM,auroc,0.5978706378941295,,
absolute,P2F_H2_CLEAN_C7_PRM,auprc,0.2107776132031534,,
absolute,P2F_H3_EQUAL_C8_RERANK_PRM,auroc,0.6194686161130925,,
absolute,P2F_H3_EQUAL_C8_RERANK_PRM,auprc,0.22519414624520803,,
contrast,P2F_H2_CLEAN_C7_PRM__vs__P2F_H0_FAMILY6_TOP10_PRM__auroc,auroc,0.005813674428973181,0.004709915874582581,0.006973449253346585
contrast,P2F_H3_EQUAL_C8_RERANK_PRM__vs__P2F_H0_FAMILY6_TOP10_PRM__auroc,auroc,0.027411652647936102,0.023675457094332514,0.031090945987244076
contrast,P2F_H3_EQUAL_C8_RERANK_PRM__vs__P2F_H2_CLEAN_C7_PRM__auroc,auroc,0.02159797821896292,0.01765339733520443,0.02545692257967748
