arm_id,error_family,status,positive_class,auroc,auprc,mean_risk,risk_q90,coverage,n_examples,n_positive,n_negative,metric_status
P2F_H0_FAMILY6_TOP10_PRM,circular,COMPLETE,annotated_error_step,0.6138914071567568,0.338338211840067,0.6109313688712857,0.9253226921414648,1.0,7813,2135,5678,OK
P2F_H0_FAMILY6_TOP10_PRM,confidence,COMPLETE,annotated_error_step,0.5775543813073963,0.16274564658781462,0.5105680893873725,0.8534365815536632,1.0,10711,1303,9408,OK
P2F_H0_FAMILY6_TOP10_PRM,counterfactual,COMPLETE,annotated_error_step,0.5462473165034621,0.23748981881733738,0.5038431171642644,0.860648156051752,1.0,10477,2074,8403,OK
P2F_H0_FAMILY6_TOP10_PRM,deception,COMPLETE,annotated_error_step,0.5008193537791142,0.18387788321345072,0.47242947704639165,0.857232772066832,1.0,10053,1698,8355,OK
P2F_H0_FAMILY6_TOP10_PRM,domain_inconsistency,COMPLETE,annotated_error_step,0.6380918825981835,0.19114853388178377,0.580166165684917,0.9118710953379427,1.0,10031,1338,8693,OK
P2F_H0_FAMILY6_TOP10_PRM,missing_condition,COMPLETE,annotated_error_step,0.5593371930674025,0.23798789809825874,0.5623623770375341,0.9398247981214866,1.0,9613,1869,7744,OK
P2F_H0_FAMILY6_TOP10_PRM,multi_solutions,BLOCKED,annotated_error_step,,,0.22294193357367634,0.52085456733562,1.0,2241,0,2241,METRIC_UNDEFINED_SINGLE_CLASS
P2F_H0_FAMILY6_TOP10_PRM,redundency,COMPLETE,annotated_error_step,0.6107413843468882,0.1822907500218519,0.5039809993632823,0.8300044127739414,1.0,11613,1537,10076,OK
P2F_H0_FAMILY6_TOP10_PRM,step_contradiction,COMPLETE,annotated_error_step,0.5971323022813655,0.1457669438731885,0.5068032844572279,0.8471986445252114,1.0,10728,1190,9538,OK
P2F_H2_CLEAN_C7_PRM,circular,COMPLETE,annotated_error_step,0.6255002049902124,0.34190734940684103,0.6043170409758943,0.9241558381901898,1.0,7813,2135,5678,OK
P2F_H2_CLEAN_C7_PRM,confidence,COMPLETE,annotated_error_step,0.5828017075978511,0.16357987480585331,0.5114458283807194,0.8550425544355009,1.0,10711,1303,9408,OK
P2F_H2_CLEAN_C7_PRM,counterfactual,COMPLETE,annotated_error_step,0.5563383651726532,0.24050870451168818,0.5036494574435543,0.8578524925990668,1.0,10477,2074,8403,OK
P2F_H2_CLEAN_C7_PRM,deception,COMPLETE,annotated_error_step,0.5110719197225024,0.1858268293726827,0.47215807022178,0.8572481848876025,1.0,10053,1698,8355,OK
P2F_H2_CLEAN_C7_PRM,domain_inconsistency,COMPLETE,annotated_error_step,0.641363504508636,0.19180334097905924,0.5769083974055044,0.9106783658329072,1.0,10031,1338,8693,OK
P2F_H2_CLEAN_C7_PRM,missing_condition,COMPLETE,annotated_error_step,0.5652668428779256,0.23922929167978457,0.5592385146156328,0.9383861763587845,1.0,9613,1869,7744,OK
P2F_H2_CLEAN_C7_PRM,multi_solutions,BLOCKED,annotated_error_step,,,0.23360425284100783,0.5355072043883338,1.0,2241,0,2241,METRIC_UNDEFINED_SINGLE_CLASS
P2F_H2_CLEAN_C7_PRM,redundency,COMPLETE,annotated_error_step,0.6116628780668352,0.1812609995902968,0.507150313711847,0.8341203128994883,1.0,11613,1537,10076,OK
P2F_H2_CLEAN_C7_PRM,step_contradiction,COMPLETE,annotated_error_step,0.6002024630359588,0.14438925552676357,0.505184054252283,0.8486958797405841,1.0,10728,1190,9538,OK
P2F_H3_EQUAL_C8_RERANK_PRM,circular,COMPLETE,annotated_error_step,0.6659619732844546,0.3707944768576837,0.5335756800649294,0.8388330804248268,1.0,7813,2135,5678,OK
P2F_H3_EQUAL_C8_RERANK_PRM,confidence,COMPLETE,annotated_error_step,0.6168333411645548,0.19146412179690916,0.5047735076192511,0.804742867791409,1.0,10711,1303,9408,OK
P2F_H3_EQUAL_C8_RERANK_PRM,counterfactual,COMPLETE,annotated_error_step,0.5761386592082476,0.2581034491305441,0.4903706890356402,0.8030830762789452,1.0,10477,2074,8403,OK
P2F_H3_EQUAL_C8_RERANK_PRM,deception,COMPLETE,annotated_error_step,0.5224744639203089,0.18958498366128687,0.4594643843353955,0.7904862168304917,1.0,10053,1698,8355,OK
P2F_H3_EQUAL_C8_RERANK_PRM,domain_inconsistency,COMPLETE,annotated_error_step,0.665188448620327,0.20700198286089688,0.5361648620555789,0.8372417266266308,1.0,10031,1338,8693,OK
P2F_H3_EQUAL_C8_RERANK_PRM,missing_condition,COMPLETE,annotated_error_step,0.5828749795488815,0.24996011891087438,0.5098919338342777,0.8425102381007862,1.0,9613,1869,7744,OK
P2F_H3_EQUAL_C8_RERANK_PRM,multi_solutions,BLOCKED,annotated_error_step,,,0.24820352210810304,0.5165873865406987,1.0,2241,0,2241,METRIC_UNDEFINED_SINGLE_CLASS
P2F_H3_EQUAL_C8_RERANK_PRM,redundency,COMPLETE,annotated_error_step,0.652218707116739,0.2119955912880326,0.48966416651417316,0.7827601074974558,1.0,11613,1537,10076,OK
P2F_H3_EQUAL_C8_RERANK_PRM,step_contradiction,COMPLETE,annotated_error_step,0.6297719339360823,0.16462003025239422,0.4937345232001842,0.8010903279776848,1.0,10728,1190,9538,OK
