domain,cell,n,split,seed,greedy_subset,greedy_size,greedy_halfA_auroc,greedy_halfB_auroc,good5_halfB_auroc,fulloracle_subset,fulloracle_halfB_auroc,fulloracle_insample_auroc
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,0,0,epr|trace_length|low_band_power|stft_spectral_entropy|hurst_exponent|cusum_max,6,0.8374,0.9201,0.8965,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.9231,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,1,0,epr|trace_length|low_band_power|stft_spectral_entropy|hurst_exponent|cusum_max,6,0.8791,0.8853,0.8732,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.8916,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,2,0,epr|spectral_entropy|low_band_power|hurst_exponent|cusum_max,5,0.8543,0.8967,0.8937,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.9274,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,3,0,epr|trace_length|spectral_entropy|low_band_power|cusum_max,5,0.8741,0.8924,0.8806,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.897,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,4,0,epr|trace_length|low_band_power|dominant_freq|hurst_exponent|cusum_max,6,0.8892,0.8779,0.8683,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.8611,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,5,0,epr|low_band_power|rpdi|cusum_max,4,0.8661,0.8843,0.8805,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.9143,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,6,0,epr|trace_length|low_band_power|hurst_exponent|cusum_max,5,0.893,0.8713,0.8638,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.8734,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,7,0,epr|trace_length|low_band_power|high_band_power|sw_var_peak|cusum_max,6,0.8723,0.8817,0.8722,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.889,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,8,0,epr|trace_length|low_band_power|cusum_max,4,0.8897,0.8691,0.8742,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.8854,0.8863
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,9,0,epr|low_band_power|hl_ratio|rpdi|sw_var_peak|cusum_max,6,0.8349,0.9091,0.9063,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,0.9344,0.8863
