domain,cell,n,n_splits,greedy_halfA,greedy_halfB,good5_halfB,fulloracle_halfB,fulloracle_insample,optimism_gap
repgrid,ars_gsm8k_r1distill8b,500,10,0.7889299999999999,0.7372,0.73561,0.69509,0.779,0.05172999999999994
repgrid,epr_triviaqa_mistral24b,621,10,0.72893,0.71885,0.7039,0.72916,0.7384,0.010079999999999978
repgrid,inside_coqa_llama7b,4504,10,0.62893,0.59473,0.68584,0.68879,0.7227,0.03420000000000001
repgrid,internalstates_gsm8k_qwen25_7b,500,10,0.7385200000000001,0.72652,0.66749,0.72694,0.7283,0.01200000000000001
repgrid,lapeigvals_gsm8k_llama3b,1319,10,0.70724,0.68701,0.68489,0.63551,0.7096,0.02022999999999997
repgrid,lapeigvals_gsm8k_llama8b,500,10,0.8191900000000001,0.8227800000000001,0.82454,0.8407199999999999,0.8279,-0.003589999999999982
repgrid,lapeigvals_gsm8k_mistral24b,1319,10,0.8679500000000001,0.82363,0.78783,0.84705,0.8693,0.04432000000000014
repgrid,lapeigvals_gsm8k_nemo,1319,10,0.81214,0.7875300000000001,0.7798,0.80263,0.8139999999999998,0.02460999999999991
repgrid,lapeigvals_gsm8k_phi35,1319,10,0.8059900000000001,0.79959,0.80335,0.81699,0.8176,0.006400000000000072
repgrid,losnet_hotpotqa_mistral7b,500,10,0.61985,0.57502,0.5809599999999999,0.60291,0.6107,0.044830000000000036
repgrid,math500_dsmath7b,300,10,0.80977,0.7673099999999999,0.7486900000000001,,,0.04246000000000005
repgrid,math500_qwenmath7b,300,10,0.93119,0.9248900000000001,0.91075,,,0.006299999999999861
repgrid,math500_r1distill8b,300,10,0.86984,0.8388,0.8359300000000001,,,0.031039999999999957
repgrid,math500_r1distill8b_mn4096,300,10,0.8638600000000001,0.8490500000000001,0.8347,,,0.01480999999999999
repgrid,noise_gsm8k_mistral7b,1319,10,0.81748,0.80776,0.78508,0.8191900000000001,0.8183,0.009719999999999951
repgrid,noise_gsm8k_phi3mini,1319,10,0.68806,0.6553899999999999,0.66013,0.67254,0.6935,0.03267000000000009
repgrid,sciq_llama8b,198,10,0.76967,0.71116,0.7460600000000001,0.75801,0.7609,0.05850999999999995
repgrid,se_nq_open_llama8b,8460,10,0.73837,0.7388,0.7181200000000001,0.7204200000000001,0.7428,-0.00043000000000004146
repgrid,se_squad_v2_llama8b,2933,10,0.8101800000000001,0.82234,0.80482,0.8244400000000001,0.8181,-0.012159999999999838
repgrid,seiclr_triviaqa_opt30b,4993,10,0.6272,0.61415,0.59666,0.63432,0.6325,0.013050000000000006
repgrid,semenergy_triviaqa_qwen3_8b,4392,10,0.80495,0.80698,0.80291,0.8111599999999999,0.8093999999999999,-0.0020299999999999763
repgrid,spilled_triviaqa_llama8b,256,10,0.9852299999999999,0.8858,0.94673,0.9838699999999999,0.9827,0.09942999999999991
repgrid,trace_gsm8k_llama8b_k10,5000,10,0.81066,0.79867,0.8009999999999999,,,0.011990000000000056
repgrid,trace_math500_qwenmath15b_k10,3000,10,0.69572,0.69248,0.6639,,,0.0032400000000000206
repgrid,truthfulqa_llama8b,7633,10,0.68652,0.67734,0.65682,0.68384,0.6878,0.009179999999999966
