domain,cell,n,split,seed,greedy_subset,greedy_size,greedy_halfA_auroc,greedy_halfB_auroc,good5_halfB_auroc,fulloracle_subset,fulloracle_halfB_auroc,fulloracle_insample_auroc
repgrid,ars_gsm8k_r1distill8b,500,0,0,spectral_entropy|dominant_freq|sw_var_peak|cusum_max|epr_energy|topk_tail_mass,6,0.7837,0.7635,0.744,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.5106,0.779
repgrid,ars_gsm8k_r1distill8b,500,1,0,trace_length|dominant_freq|rpdi|mean_logprob_entropy|varentropy|topk_tail_mass,6,0.7783,0.6992,0.7547,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.669,0.779
repgrid,ars_gsm8k_r1distill8b,500,2,0,spectral_entropy|cusum_max|epr_energy|min_energy|varentropy|topk_tail_mass,6,0.7945,0.78,0.7541,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.5062,0.779
repgrid,ars_gsm8k_r1distill8b,500,3,0,trace_length|cusum_max_spilled|epr_energy|mean_logprob_entropy|varentropy|topk_tail_mass,6,0.7759,0.7505,0.7744,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7738,0.779
repgrid,ars_gsm8k_r1distill8b,500,4,0,trace_length|rpdi|sw_var_peak|cusum_max|cusum_max_spilled|topk_tail_mass,6,0.7993,0.6974,0.7242,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7579,0.779
repgrid,ars_gsm8k_r1distill8b,500,5,0,spectral_entropy|sw_var_peak|cusum_max|epr_energy,4,0.784,0.7702,0.7613,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7846,0.779
repgrid,ars_gsm8k_r1distill8b,500,6,0,spectral_entropy|rpdi|cusum_max|sw_var_peak_energy|varentropy,5,0.8159,0.7414,0.7508,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4858,0.779
repgrid,ars_gsm8k_r1distill8b,500,7,0,trace_length|spectral_entropy|rpdi|cusum_max|epr_energy|topk_tail_mass,6,0.8247,0.7074,0.7253,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7671,0.779
repgrid,ars_gsm8k_r1distill8b,500,8,0,trace_length|dominant_freq|cusum_max|epr_energy|varentropy|topk_tail_mass,6,0.7914,0.7798,0.7354,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4912,0.779
repgrid,ars_gsm8k_r1distill8b,500,9,0,trace_length|dominant_freq|sw_var_peak|min_energy|varentropy|topk_tail_mass,6,0.8111,0.7383,0.7325,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7632,0.779
