domain,cell,n,split,seed,greedy_subset,greedy_size,greedy_halfA_auroc,greedy_halfB_auroc,good5_halfB_auroc,fulloracle_subset,fulloracle_halfB_auroc,fulloracle_insample_auroc
repgrid,ars_gsm8k_r1distill8b,500,0,0,trace_length|epr_energy|sw_var_peak_energy|mean_logprob_entropy|varentropy|topk_tail_mass,6,0.8042,0.7321,0.7418,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7494,0.779
repgrid,ars_gsm8k_r1distill8b,500,1,0,spectral_entropy|stft_max_high_power|sw_var_peak_energy|mean_logprob_entropy|varentropy|topk_tail_mass,6,0.7491,0.7419,0.7941,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.8216,0.779
repgrid,ars_gsm8k_r1distill8b,500,2,0,spectral_entropy|rpdi|sw_var_peak|cusum_max|epr_energy,5,0.8287,0.7538,0.7184,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4543,0.779
repgrid,ars_gsm8k_r1distill8b,500,3,0,trace_length|dominant_freq|cusum_max_spilled|mean_logprob_entropy|varentropy|topk_tail_mass,6,0.8152,0.7018,0.3938,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4891,0.779
repgrid,ars_gsm8k_r1distill8b,500,4,0,spectral_entropy|rpdi|cusum_max|cusum_max_spilled|epr_energy|topk_tail_mass,6,0.8141,0.7661,0.7205,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.7194,0.779
repgrid,ars_gsm8k_r1distill8b,500,5,0,trace_length|sw_var_peak|cusum_max|epr_energy|min_energy|topk_tail_mass,6,0.8143,0.7502,0.7257,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.749,0.779
repgrid,ars_gsm8k_r1distill8b,500,6,0,trace_length|cusum_max|epr_energy|mean_logprob_entropy|varentropy|topk_tail_mass,6,0.7449,0.784,0.7839,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.8104,0.779
repgrid,ars_gsm8k_r1distill8b,500,7,0,trace_length|spectral_entropy|cusum_max|epr_energy|sw_var_peak_energy|varentropy,6,0.8192,0.3228,0.7648,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.4768,0.779
repgrid,ars_gsm8k_r1distill8b,500,8,0,spectral_entropy|cusum_max|min_spilled|sw_var_peak_energy|varentropy|topk_tail_mass,6,0.7771,0.7744,0.7711,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.8063,0.779
repgrid,ars_gsm8k_r1distill8b,500,9,0,hl_ratio|rpdi|sw_var_peak|cusum_max|min_energy|topk_tail_mass,6,0.8363,0.6502,0.7111,epr|trace_length|rpdi|cusum_max|cusum_shift_idx,0.5011,0.779
repgrid,epr_triviaqa_mistral24b,621,0,0,hl_ratio|min_energy|mean_logprob_entropy|varentropy|topk_tail_mass,5,0.7926,0.7333,0.6841,epr|hl_ratio|sw_var_peak|hurst_exponent,0.692,0.7384
